"Country","USA","Germany","Japan","UK","France","China","Canada","Italy","Netherlands","Mexico","Belgium","Korea","Spain","Singapore","Switzerland","Malaysia","Russia","Sweden","Ireland","Austria","Other"
"USA",0,60490608053,129708153625,42347144725,30980359906,109380467092,220104006852,24950543676,9953602491,132774583100,10383121556,36491187136,5581498513,15261401820,9965927885,23071705891,6531445721,9128092779,18626190028,4111734241,232095765542
"Germany",39831645000,0,20370217000,32813932000,44218349000,17689098000,2915215000,31300599000,35622414000,1384541000,23546663000,4348738000,13533889000,3449339000,17283076000,3167067000,8716694000,7996067000,14005284000,18222518000,118448037000
"Japan",63758228328,12400548591,0,6003594468,6182930493,57866084447,7753187622,5393874135,1865205286,2006610939,1472641502,17198026827,1288554519,5383213801,3287720578,12857813899,3857520678,2193316130,3634797827,899120657,117723377850
"United.Kingdom",47341166810,43056874329,17872351794,0,28031286894,16790045158,6025113493,14737176074,22111508808,1422009939,16407916955,4949076877,9813163080,2699591361,5292727672,3682566807,3700969530,6640144243,13846752608,2708697105,72923496771
"France",26289090322,48948805943,9858754706,22047083877,0,9704763138,1793235862,26299944814,13953923203,543577317,19280524490,1998184170,19993393920,1777950548,6814577706,1766834525,4543357223,3912209524,5328868198,2853424893,59099032485
"China",26217375157,13772189970,42787308141,3526938584,4106236413,0,4027798934,3784278356,1456696166,761275612,1720943900,23376945399,714406689,5128281291,1730429171,6203975945,7958794510,2167405606,612508381,662051931,46251720136
"Canada",140999523944,5167079130,9456954733,7568734044,3557540635,8218549936,0,2600744624,898458878,7830501937,653969685,2974378042,570504656,734434336,908217159,1227001160,233188250,1103048355,930084792,564018449,17050845616
"Italy",11453140446,42073508809,5618329391,12114162772,26500217637,6675752417,1392154263,0,13931008409,283780809,10296153460,2104896464,10006875019,366269782,8651953944,582940907,4631811504,3151681277,3215847198,5787478077,56739844710
"Netherlands",17730165362,26666246844,7214063659,14614710784,8854712606,7691627369,719424698,3717821113,0,596842448,13337562747,1845482386,3437631945,1918374808,2069021747,2198447519,2925104489,3291773674,2970740180,1045597993,33545442031
"Mexico",114059681973,6079199046,8085237098,1325551908,1578117556,4026825540,4234469159,2099915240,470643756,0,630245829,3531353174,1827070676,1147042145,772756075,2005995897,243279992,805846415,550753892,219412284,11002076983
"Belgium",12487177169,29045136564,5118234878,13882741396,24062290864,3866214739,1323116879,7632529288,30583810148,643926050,0,759935731,3489118646,572715379,1561526423,619791528,1699335219,4171076166,5009802625,1235454059,29351145261
"Rep..of.Korea",22430925903,4473357899,26633083756,2353528978,2096032368,13302623118,1821261596,1787484331,1017250436,266629326,571163329,0,327476658,3011444032,850741520,4125989989,1929476202,486014198,742540298,284962879,46878425618
"Spain",7044178439,24084520236,3888041400,10895794376,25956856268,4545038663,591298035,14301596617,6046661001,1428395625,5177257129,1842161116,0,343421138,2385345813,503639732,1845775126,1923800096,2145161053,1589844646,36979610904
"Singapore",19148654683,3832344565,16082402332,2442415070,2078059695,7205239364,417979386,1312855460,1143461317,352506488,628446244,3821836034,379270171,0,1956715209,20092955323,290365600,517101575,432581592,302274270,25651888181
"Switzerland",5647630160,25335380944,2009850571,4848787675,8627384095,1338181705,301286583,7892454291,4534563386,100286899,2511905583,338177260,1479218123,187690622,0,142586746,2826661944,881206291,3158229168,3011268439,7953248145
"Malaysia",11838700721,2743076823,14211127190,1808335966,1142576148,3804444781,298356633,753709340,649051181,158721647,324144850,2948127129,161954010,9291992394,937924246,0,136123537,540976931,1000448633,95865601,13536408150
"Russian.Federation",3257463556,5806064776,870771408,1002971790,1538022479,1646303881,236516443,1712373322,846217121,51186826,648209558,726497663,492204704,109267212,395814100,159983797,0,721407971,154331538,542963922,20478826682
"Sweden",3456391196,11280895672,1430126861,5689196725,4110466758,1070461753,255414160,2160245356,4414782699,26075912,2411038630,396299087,999354827,112804724,914876235,183777043,377256838,0,1176095391,719570621,21119581783
"Ireland",7813490909,3156613205,1796168124,18258003101,2528985760,969379759,569771006,1047109851,1720355457,217739906,757044241,709627360,576931678,1216648411,431623879,522860373,21459831,457140147,0,130669683,5151763267
"Austria",3761531673,28284774807,1573475524,1862439340,2858974974,1203760985,346041490,5035614067,2047992595,136666845,1343210980,338044899,971715360,128184673,2349215791,518926869,412534329,932617326,748433837,0,13189081120
"Other",135112337059,127193285687,75050497251,49724219883,56881648527,47060484742,11594788660,58539043478,26542868478,7985177548,27039378021,29229719409,31328641301,20986649657,21269380643,15625749757,48810744263,25935546888,6868506796,13274652125,315944200208
