"Country","USA","Germany","France","Netherlands","Japan","UK","Italy","Canada","Spain","Belgium","China","Brazil","Mexico","Australia","Denmark","Argentina","Russia","Thailand","Korea","Ireland","Other"
"USA",0,799072257,2077862262,1869674029,473498049,1359817130,1789250601,12553161639,832667173,187378678,1622532903,1278211342,6374097513,1919935750,455177835,751447173,325673997,2299056257,244100460,391687977,16930977822
"Germany",1409174000,0,4331672000,7648065000,20851000,897837000,3505154000,195604000,2505393000,2065652000,597527000,1670850000,89942000,149017000,1828871000,483093000,193195000,349553000,7339000,735045000,10143676000
"France",596465094,2833408702,0,3906273095,16172916,1533965834,1807873622,140953459,3034951710,3097735625,256229270,1113876625,66007391,67757508,514811433,261159871,56645065,169190904,8770293,525236011,5344006660
"Netherlands",1343033003,3192273059,1597989833,0,37728916,699106445,288632486,70238307,645160901,2096694095,267114822,1631266881,49614601,110899010,235744821,497493216,56301360,301226708,7755385,223604746,4794711134
"Japan",14180381677,326955850,1125571566,443823291,0,482841412,463886207,2656391271,282020327,140045990,6432167205,845689255,422493057,3086329182,1204737658,240693724,1060418958,2356953246,1546959343,65548643,8937552290
"United.Kingdom",1678221271,1889519047,3490226377,4029154803,25987188,0,1487913661,389245962,1672468815,1166078831,274757499,942520255,51520984,1135687916,1433496639,228566562,130015001,338772006,13845990,2510366160,7243624384
"Italy",569357728,3508021696,3529210479,2977223530,10224184,526075336,0,145403282,1973833807,758056306,219528084,583818381,32735747,66436478,830548458,656849120,71899550,97742856,16061180,158679027,4718240077
"Canada",8127931167,94327436,356242353,160396181,34508689,225355827,283465212,0,94912889,61463613,231533005,230232834,288638596,352064175,57344979,91227602,41406551,290095475,33428653,59287858,1973893219
"Spain",906254215,1521504240,2601453070,1043146149,7247924,1290131473,592030704,139863423,0,384710251,237371187,686536673,99619247,41585204,341217401,984746634,38978964,103723710,55904895,455722516,4224924428
"Belgium",312278422,1798709686,4305605969,3888055088,10383268,593520986,460584595,183169793,467183357,0,60972806,610222095,25814972,54168661,175979355,247629834,9376258,62845741,4212101,104227035,2658463165
"China",2287855538,57755016,180420440,115505387,226543021,70046566,19943036,665006677,42381352,35073123,0,781741538,23344470,526076223,55466520,1042394877,552835999,497053611,113492606,47990067,2302266271
"Brazil",164383645,46377441,85036815,53725353,6503323,54778533,52427755,41996514,48078814,32246245,20319353,0,19855052,8331078,18923420,1637549984,13257747,2626953,3094476,5470665,1014459283
"Mexico",7525677702,71726878,62085429,79780062,5810347,51877861,32471034,788526583,111330175,34371737,74672252,109041890,0,107961915,30200903,101545427,446967,16472675,8078883,35925965,1002491729
"Australia",434068897,48952710,68511751,101544238,57705695,197306075,137761559,81914516,56580445,28937892,132919183,134569570,21305119,0,52261503,15069966,4759935,246256503,22539747,105841942,1300743398
"Denmark",185925203,1019265151,413034030,693160706,1640734,198080833,247289088,98907044,190262100,165186361,36463587,89810187,10199206,17630929,0,254327719,110990186,27726110,5181719,67464250,1533824425
"Argentina",107691427,12280685,28238921,14411113,1241296,19478565,31095371,8403891,35101120,5656129,6355877,490167823,12395436,5768813,13264636,0,1687,20200066,2086303,2147083,440918055
"Russian.Federation",963213605,691520973,279779036,347945777,7632222,124564281,158935348,63354137,157970432,144462212,184213067,898674887,19790782,21732421,170309772,99112691,0,34369400,23529049,46696066,4293261486
"Thailand",479802840,39784136,58905600,68278465,101060569,108835978,7098412,56330055,19169066,16968052,143648262,88078939,4937780,202078111,26647898,330597985,29897991,0,43032617,44964797,1058498886
"Rep..of.Korea",2338216199,68148532,98638858,90120105,327953370,280482909,28185100,195937340,34274942,61654948,1549181859,408262611,25262961,595432151,57705744,189173204,160084753,264286856,0,27828449,1448279789
"Ireland",241718230,110971435,245218809,313787859,5047260,1846000897,49135144,26807712,78438474,96352204,8903910,57628488,1980219,32473425,47454718,28865397,239147,6705614,295742,0,300486455
"Other",13770725403,7419613591,7072834053,6259204584,417736849,3725571458,3811708043,2917710634,4496899631,2292260298,2647489138,5224218803,646724383,5166548221,2816323584,4593089276,1697289785,2396567657,260797755,1058983589,39611910616
