"Country","USA","Germany","United.Kingdom","Japan","Italy","France","Belgium","China","Canada","Switzerland","Rep..of.Korea","Russian.Federation","Spain","Mexico","Netherlands","India","Australia","South.Africa","Austria","Israel","Other"
"USA",0,4059590869,3119090777,5120932728,4143170581,1782010557,2987360055,9081336060,17685264523,1059028398,2230270236,3083352189,1115718559,6962844958,439639765,3500015625,1040228548,2866852901,582443935,5670352734,15038614920
"Germany",2053322000,0,2483550000,701817000,3981935000,4404329000,3175896000,1529149000,550938000,2442520000,229071000,1673299000,1201177000,70286000,2870047000,243356000,301854000,996987000,2635283000,148325000,14673964000
"United.Kingdom",4328743690,3648522066,0,988505553,1567171859,2082706266,1556577224,1312917568,1478319903,1974638552,221232114,1722203824,781287964,173490274,917898494,514987262,1407072361,4127125172,319082374,376154131,9425772146
"Japan",2850995436,652973994,509194632,0,455988825,560467564,312380878,3647191899,777208755,195809999,1897767929,1725245385,219074773,246826132,80130880,889949168,3733087789,1798832395,96725862,310549329,8097057596
"Italy",851945689,4377327083,1291478533,154522314,0,3132946523,1348500782,613279782,165623312,2667214307,169948474,1049657649,1068439462,22339634,830451837,257413289,325967125,1201790657,1094442541,93932689,7236610037
"France",1171041175,5541740396,1799893300,274150511,3972037760,0,4214962910,591684064,205666623,841122445,78564531,351522027,2000550502,10538327,1036824860,96636246,178100923,212012370,371213091,77245228,5161216979
"Belgium",2090248380,3437100852,3296010270,210430576,812102968,3100562295,0,595352525,582890531,365680177,141991959,562930973,359285497,45928687,2448113012,944805320,229692613,481866670,165847490,1429952455,5577300763
"China",1554411374,1101271065,317990170,5518343390,213324133,340797683,525976621,0,341946978,43272226,3009696604,1728830428,135363486,85759706,133998827,816528924,1897967634,595120250,45068534,17250976,5762836308
"Canada",13270822747,422166266,347363544,442627874,319251242,271399881,149371603,780383516,0,46815692,221402249,72926035,99284839,328036892,49617913,113509266,118323897,145610311,59999073,98026402,1816083186
"Switzerland",613186788,3192392090,1388386608,203435493,1208631541,1038984379,482190351,79930973,16960386,0,11583961,2725258625,125933932,4426942,200805779,44529385,15222501,295617245,622492227,121477574,1142289785
"Rep..of.Korea",1805565513,432178470,655225266,4263877443,131501088,169885199,71345488,1632085463,250786372,140839673,0,795712914,75432236,46604989,82984961,194592021,2292802944,527171770,58947766,29062958,3214736898
"Russian.Federation",144944838,438150677,90258546,44150006,182243921,102459775,34205917,157991767,12266471,13087704,18835333,0,74619943,6065790,40526650,5259648,9112050,16186849,79582196,7693880,2544677337
"Spain",292530787,2071452794,990848448,109675987,1943380446,2476894389,495920683,380660359,67026950,321335388,91075259,384253404,0,20174687,576166388,116174251,114228759,185057973,122711258,27611321,4233167991
"Mexico",11239239308,547592438,69082352,697428270,237775780,127407844,37511331,249473355,537473440,33110190,266079346,79037585,307452329,0,19524257,90512819,27546774,143607078,25569636,9976675,1630782710
"Netherlands",432481596,3214132898,714359245,144636474,461920365,556265048,1674352371,489813069,87931129,111959577,58749440,449065479,208852666,18961199,0,74328295,147809214,80048546,138468350,37675170,3037872909
"India",422497353,224923970,1984081116,276567776,77444844,104282642,2253177928,305847565,68559956,3040905765,170072503,169203471,33558170,27781023,42449154,0,322076921,1080146893,17879956,246967868,1828830729
"Australia",498834274,239538382,226147461,423095640,266565331,100373896,44582137,555471353,104464573,39388860,531141707,5561644,59072305,11025938,31472849,90820159,0,68946334,41682266,50112629,1720235114
"South.Africa",144807134,226365672,477158424,73984668,84105347,56899516,46932075,106458053,18675710,16912848,28145018,5924819,27891027,3808696,21549381,38739965,46505580,0,27222215,19765956,297731332
"Austria",182032612,3759135863,151029153,78651255,855787182,284729619,171569439,127835026,47221128,427666024,19030309,140756961,62788209,4557715,163893064,11000215,5326641,32332640,0,10133787,1633173244
"Israel",702915000,195524000,750391000,28143000,308961000,94935000,2018676000,130139000,29223000,1107552000,13324000,434779000,90629000,850000,82172000,247956000,12721000,51745000,16516000,0,760475000
"Other",7154413952,14459333933,6729462409,10383072463,7857349412,5292906525,3538807910,4758253746,1333685839,4387991637,3144895144,7452342292,4224784224,909007894,2177653848,2860626996,3351606942,2389092897,1872499691,531900578,43008477175
