"Country","USA","Germany","France","United.Kingdom","Belgium","Japan","Italy","Netherlands","China","Ireland","Canada","Switzerland","Spain","Mexico","Rep..of.Korea","Sweden","Singapore","Austria","Brazil","Russian.Federation","Other"
"USA",0,8037912772,5321979005,7559590466,2143612743,8758859555,2608505660,1626516021,6059292040,13383471832,17058706842,2578499451,697511836,3150098890,1571189114,1049277182,979548452,549687296,821065005,1379329643,13732277625
"Germany",5632086000,0,7160754000,5523659000,5103874000,1655286000,3633409000,6001509000,1200766000,8623293000,152475000,3640289000,1703561000,107794000,222258000,970893000,92355000,1699359000,213012000,404442000,7183625000
"France",5253868386,8321686310,0,4815078711,3777868715,1115727057,3446464089,3066097359,809655253,2448557408,150313097,2320196020,2139303330,57900780,152414314,898016505,555468984,308532179,54845687,365346522,3623001211
"United.Kingdom",6249639021,5643053393,5152918420,0,2818369532,876164328,1751119301,4074420789,1100196932,3752159076,226044628,979364072,1279026440,77930586,256408269,782075729,533818344,220510195,54043653,281035013,3923362484
"Belgium",4566411169,5751140304,5155664179,2989764502,0,595898495,2633839059,5079264860,350337757,3757574240,110798680,457285513,459047892,144436771,145720675,536555533,276720391,165772533,85110106,194840428,2568344252
"Japan",7792767580,2803018799,1679896088,1415304328,533654752,0,723923572,313687984,2650733762,1677632330,308214494,919489024,249197635,128219083,1408022804,334792872,442683007,146100065,112090158,56268481,4405508011
"Italy",1694148300,6984043933,4753609770,2268352069,3226870955,661587260,0,2557809915,531328088,1621207322,64719284,2089003265,1324979987,71800653,195285809,406286262,130180597,616691740,79681878,137287537,3363528167
"Netherlands",3596271652,4199886852,1677644248,2503901263,2791928222,714219509,626646679,0,488691592,387563404,49004595,519834968,624289964,122541051,138230080,254547473,94740609,97299760,78333185,169188037,2596101508
"China",3649989787,1456921358,501898130,501333969,443833402,5885052254,347838610,391180674,0,137577248,654555346,273798516,185714324,46615571,5499706291,133987407,1127176674,55634799,82272476,1301807222,5930201550
"Ireland",1280839695,509853430,328205025,2321157069,212697734,305978702,153859865,292726716,51196076,0,25756583,182856057,66943539,1970996,25355094,26236855,5222061,18108521,1831520,13279279,648495310
"Canada",19546268166,952076536,454628215,812879384,127819849,385484495,260380292,216754474,531030958,674328110,0,359255532,88296791,166228930,169054054,296038482,53203219,98602841,56086407,42558073,1416535503
"Switzerland",1710769857,5253791510,1892951637,1259743583,525128332,374752595,1480479184,666448697,177856170,2232929621,26749300,0,496289687,60553231,43788972,68477918,9732038,584442097,18592860,11665491,707334964
"Spain",1083543035,3794404750,3652463224,1977479162,1202310037,371866255,2018522990,1402323954,410133518,860716690,32863876,765752562,0,62766132,116980341,327771622,70352723,172607136,58758017,52442863,2421508721
"Mexico",16213355181,742267941,456711327,338595672,135620340,502431235,309192176,114462849,393842035,404213582,351881225,279013813,271355871,0,277833721,51786566,87086238,44979829,144996410,136382315,1003903183
"Rep..of.Korea",2787806797,917473361,551695263,419596307,191932542,4426428015,315894718,204174227,1005874811,114749431,276988184,221877765,81822133,31783283,0,55464755,312461527,36778787,25945956,149513234,1728677643
"Sweden",379462223,1572125166,957280468,785374298,494530856,214119894,239315071,589754528,59956366,140258372,11425409,243838416,143598670,582596,43394538,0,3218011,80852482,7927503,36039638,2033978024
"Singapore",1916241006,446237641,443619353,334408766,133244628,1114113123,139639075,266222195,319705722,29621413,37090460,296319119,74536340,14396571,154770410,18489049,0,6103613,18399224,5891933,1899709913
"Austria",470111749,4041631830,533611476,339524658,314499169,118753218,585910130,451912784,111511989,445953462,12648597,397493393,228830057,5172234,19485955,117998338,6171860,0,13658893,19828717,912388331
"Brazil",3223330182,1186351541,681306292,438485436,234182932,338336182,350252375,224154298,229063542,136001799,161899508,457405602,218002743,224531484,188406267,68058498,45435203,84833227,0,350294642,2416195706
"Russian.Federation",571060524,1057108556,556899416,255831241,184293125,87449850,240688567,198070343,172384610,66010136,26548670,152114756,66497193,4011073,133870109,80871420,741341,110294159,8443534,0,2895435831
"Other",19374551169,20294923566,10825893267,8905357969,6212832414,7953849868,7506702959,6081276531,5285236140,1862991862,852114904,4563413841,4814796061,1906188848,3984868177,3269254358,4032079300,1995776493,2516744751,3347618017,37086958561
