"Country","USA","China","Germany","Italy","France","Japan","UK","Canada","Belgium","Korea","Mexico","Spain","Netherlands","Indonesia","Sweden","Austria","India","Turkey","Finland","Switzerland","Other"
"USA",0,27273503438,1620806771,4869851723,1183647833,1293840693,1711707912,28129833705,372386343,4152779277,11312376659,685709233,331139698,4411940859,374844658,260193636,3518315599,1612229861,801262002,240636731,39148507317
"China",2189326285,0,547990623,683052173,244554877,4035080129,137904651,782197532,123981686,4534301888,40250905,74288417,122182209,1611933927,152215918,73695911,276500499,31642664,175664224,20306155,6288920044
"Germany",1210295000,3779421000,0,6029519000,2610640000,294688000,1143169000,552864000,1600197000,391004000,32364000,856778000,2280509000,840593000,2117304000,2352176000,1136214000,3155354000,2369163000,1484755000,17767991000
"Italy",1040447951,2394744068,2955001788,0,2430187567,153600584,936461445,435571033,1079836076,211852609,23902408,1092406251,747564750,446160477,651825759,1478043347,767275615,655989924,437667566,570848396,12369919041
"France",717714947,2789480205,3476837681,4553940336,0,192246065,1260403770,352758929,2353385563,276883170,14900184,2088702168,988056220,559065052,744302589,457336989,770720054,867024012,991016377,474659033,10027518422
"Japan",4120414645,22073819084,340205859,2334659227,989771275,0,373547215,2224529162,93603807,1436796406,40928444,213989287,121742379,2266463022,282739442,223297024,327607555,43723346,457905360,63456226,7012002613
"United.Kingdom",2010492162,4586919663,2820280539,2610673593,1938632181,222684847,0,814794277,2173200078,427976000,67196609,765798702,1500247345,1265953650,1843633669,336555858,1371940056,1682866736,1747620421,199793452,11952699427
"Canada",10555733329,2237372494,213255362,527298742,215623171,92273605,197264777,0,51225379,388193308,324571158,82845917,63035638,250216804,45325516,50400191,398105747,82493067,84029114,27026447,1624318111
"Belgium",556829291,1100006246,2049181323,1009146181,2668472624,49044753,702491184,189895832,0,76261162,11445137,382513228,2202162852,534980357,293385075,120333612,330773454,372712800,491041644,145426029,3871946564
"Rep..of.Korea",1800024397,2914950580,140479966,635192836,139279399,733797273,162087954,443273319,57773434,0,15233431,50926361,41203609,794140443,29309698,21287125,271945787,9769425,57180442,16368973,2453928787
"Mexico",12509135955,344921461,125232381,297809913,72680589,83617391,38470326,318010606,35530963,392053832,0,365383173,13605349,125322232,33128029,19941892,73265521,24598540,42327556,8954962,1096018091
"Spain",566283544,1336112916,1218791655,2096428226,1862014596,54912215,550002787,113026112,355761368,217504156,20690088,0,386262222,302045158,373769770,142191452,400696232,257160459,651899526,90363571,4249632197
"Netherlands",606470842,1200985242,2701945832,671525460,634836508,86434334,449194467,107796139,1626502396,126435764,9899811,140368232,0,394426626,878616189,141738724,280109440,509582232,498749948,82494830,3397165614
"Indonesia",611942891,190990821,99114301,43202245,22415783,233878824,63963822,155466794,37673769,391368288,6608357,12368454,63848503,0,62310658,22333400,27344429,6477315,7699254,9853749,1255442638
"Sweden",139123656,262251583,527338314,265709601,104941180,14519387,234588500,50036702,193302776,61961435,1098420,54900890,216742304,29042077,0,41953627,142047897,0,457883969,35130661,2575922185
"Austria",80946353,354787901,3482459375,974264660,232022631,23635796,142431129,40360366,94577294,27020220,2002918,113329564,187658672,90726870,215835032,0,122245555,187246715,197459951,308211235,2419879418
"India",316871832,242346440,109762174,79203837,38283059,76535286,74940778,127832040,24924930,115048670,2252973,17374510,55507530,170852267,27164298,6276640,0,9604957,36328902,13019406,1491429549
"Turkey",401191807,218758860,487031460,588515005,182737514,28173404,206541953,15317964,75641498,171944984,3055646,189214736,112524721,89913774,60379201,116267092,132510249,0,97086081,53199347,1204890286
"Finland",42627106,223623644,302324845,160277523,80062713,18573653,116031376,36039716,82119681,18715198,452706,38943095,89604348,17565217,401128822,50953528,48146069,42579021,0,20723485,1299736412
"Switzerland",158031571,479121994,3154207170,1580710860,976505719,19932043,190152578,64329521,167937863,16892494,571048,133791961,231296102,59382352,178179536,630022510,129100152,94891981,166847446,0,896865787
"Other",8092909022,12597898847,10710918757,10956378705,5436587820,2202141125,5817740598,1376770543,2287476029,4462125419,566558663,4410010451,2188269883,3240209327,3995923940,2166739953,2876048085,2156379184,2958843859,785975253,34453160082
