"Country","USA","Germany","Japan","United.Kingdom","France","China","Canada","Mexico","Italy","Netherlands","Rep..of.Korea","Singapore","Spain","Belgium","Malaysia","Switzerland","Sweden","Austria","Ireland","Thailand","Other"
"USA",0,45507901635,113704383243,25035742620,20048313218,64912463014,109954684965,94502291804,10936845882,5039370371,27550880338,13396913829,1784427177,3799086712,19876534895,5910632214,6323304359,2590860121,4503219075,7222248012,43298167260
"Germany",29394297000,0,17674238000,18918070000,25143213000,10441894000,1402095000,1079327000,14101995000,11679602000,3498671000,3255917000,7202339000,10092875000,2634642000,9068206000,3112885000,10217305000,4190319000,1213855000,45121704000
"Japan",34029732450,8264393149,0,3204898846,1818156204,21029342904,1201707828,972832918,1412632373,872694856,7909387937,4128321681,323580166,387357701,6961096379,2066856452,1403721248,388998333,1824011819,5490825161,10787301507
"United.Kingdom",32817917329,28593976124,15757537206,0,14814099612,9475964782,2978285653,913610620,7276166571,10907086064,4027763149,1963428802,5264024091,8380877629,2859185618,2057125752,2894825389,1666686290,6065683303,1550516040,15690908546
"France",18272667931,28325647215,8245895635,9901737387,0,5139126390,874083597,370492981,11898401626,3789918016,1480717108,1174081936,10538054833,5047631228,1466159065,2901356089,1601371352,1621280958,2142848346,775126700,12220770872
"China",16434062010,10561739733,26844458230,2370635504,2829061898,0,1582941867,565302251,2518822327,691556193,8291121501,2955328743,274572096,567396336,3778103863,1387835763,1749259290,487118532,410936605,1975795652,9875326070
"Canada",86054212464,3478141229,8492512597,3028448945,2210859945,4405247151,0,6444768890,1166237641,336730422,2110837008,631737621,165305311,248783997,1027165272,438414865,616740473,351043061,172072979,507699984,2488791580
"Mexico",62519824456,4573236983,6783128635,827110137,837803871,2867940036,2208954732,0,1222539032,205925317,2566024754,970416936,770851929,377157856,1891337419,440405941,662153954,122996748,106313595,481521771,4087468711
"Italy",6867607152,24093559625,4631615244,6607043390,11838185124,2869843031,513758575,109494954,0,6667539119,1511723583,201535298,4490315454,3771314341,258986264,2263944417,1558332450,1836564503,1305784824,358706339,9002669162
"Netherlands",11514878945,12467185653,6222043947,6801995268,4091052541,5160953982,287031783,395809663,1598919621,0,1505038931,1749811104,1710407136,4093440607,1530986070,1302563097,1608421716,597307340,2292327313,732359307,6035439822
"Rep..of.Korea",13348096618,2910672781,16342749459,830659554,1134383579,4906338533,393848734,147703971,670083060,582776649,0,2296029060,84880491,187663541,2197906764,457005556,290899664,159520916,571229691,789041986,3457133461
"Singapore",15629531678,3025018819,13190609602,1544448193,1146468661,4845871409,271645037,320936130,790437869,544111456,2829487951,0,201499375,273425846,15041584014,1524200604,300827337,248503323,385969732,3680727186,5214413955
"Spain",3958238593,15376067974,3340919789,5461222618,14979202228,2148292762,216085096,162194311,6734538447,2573067831,1360678724,246065571,0,2668462370,341680891,1163096570,922283485,1091394900,725641468,435887077,5396491576
"Belgium",4759821341,15484779187,4251968815,5316637361,8169298713,1683457742,233592760,416300483,2668357292,8195627450,391722511,190732745,1683881122,0,371949547,464761426,2872996293,723489593,1013283617,786086432,5933171082
"Malaysia",9741971755,2155439634,10577709811,1339274616,892195590,2543986162,98642809,139670723,541807127,315677900,2015311259,5872040000,46417963,118841290,0,333945307,460270498,60562306,954473513,1567166319,3530042261
"Switzerland",2920327649,12352921079,1407226717,1907229413,3194790182,544292672,138078183,20738630,2582522981,2044953754,264990338,111942561,438364616,919345402,108501140,0,508792008,1046528613,778618145,163813679,2285528022
"Sweden",2585467640,7248178193,1103191860,3253488733,2427851626,575690792,160238525,17013693,1183581408,2490147014,273701059,87834318,433566909,1322147895,136887312,498967243,0,418581095,874917779,131418788,6718240079
"Austria",2959445675,14102370527,1350383402,1006909002,1542938479,587590147,237100903,121529418,1940125848,788924577,272047075,116743309,405702960,635097377,485530639,921301355,462068785,0,262743357,70149439,4656097395
"Ireland",5925366633,2186767116,1464169863,9836194760,1728581483,668102445,474282733,212057430,642477484,945135663,664822656,1203297475,309687887,330166702,469229538,214584784,303667477,88664178,0,260731547,2047007639
"Thailand",4707692823,1713589323,8765138101,424294205,471007496,2144081029,83897230,107584162,347623251,278053123,1195277293,1777811207,98063530,78818592,1761743142,370170004,231250701,49068536,86837157,0,2444670383
"Other",76911842978,76273350336,49653338853,23455354906,28095221680,19964929967,4426565798,2955148386,27899921201,10178843546,15395633878,8585792337,12413447408,8194722801,5878502221,6373750590,13117867827,6179190422,3389097837,4299565621,70102120701
