"Country","USA","Japan","Saudi Arabia","Russia","Canada","Korea","Germany","UK","Netherlands","France","Norway","Italy","UAE","China","Venezuela","Singapore","Belgium","Spain","Nigeria","Australia","Other"
"USA",0,356639357,13604442478,960130089,34722355178,741967711,465323749,3561195820,647262607,566547031,3620868327,602919229,368601901,431339637,14318344702,222540322,893297025,465464535,9147148117,519537548,41347499382
"Japan",783936540,0,12000873475,375596879,585136112,2999092408,13000940,17808035,33125896,9067796,374082,2783931,12642566253,2032829593,42392866,297725105,5598374,692331,243910662,6353215333,31607466475
"Saudi.Arabia",18323059,691745,0,0,163558,2787442,5996926,2627047,1261548,1769040,6481,953475,9209231,204754,0,1871771,1517835,329698,889,710830,18273168
"Russian.Federation",15868694,7397606,0,0,600229,7548982,20557710,1756145,2762136,7081493,377996,957535,41035,63651072,0,1700116,5972810,213352,0,17305,801509173
"Canada",3444556071,9547473,451643030,31075048,0,51462770,7112301,2957421567,71924250,48787070,2058637084,44111495,22640217,32982812,817943103,591,15305244,39858909,132931124,29751321,2125438516
"Rep..of.Korea",351216379,538278196,7783925656,604095770,260427647,0,4404789,5476988,15990885,2150070,94415261,6627529,4510055378,1294191872,35142328,246760491,793376,140495,73414614,1875866819,16162871733
"Germany",132471000,23337000,668985000,5870845000,61239000,395000,0,3847647000,5142682000,567741000,4073130000,48587000,17000,140341000,235650000,0,1508169000,64641000,601155000,210638000,8097951000
"United.Kingdom",256153337,1472672,686027358,1247414205,138423070,1851355,461523160,0,682701313,552704038,5763671289,44131089,257773186,39288714,135473995,3000939,312813661,50557068,29659502,341487476,3662822693
"Netherlands",237029324,9000479,1890823378,2118946278,117422745,9272786,890822550,3446154096,0,296924428,2133495917,70176502,9577341,84068662,112213073,5796387,1054645056,108553046,272921062,139345288,5123216108
"France",277332789,14562522,2079038008,3604346402,69460157,834754,449485639,2736004875,1166753653,0,5390734058,621227381,306399614,118587956,181434566,7549511,788940449,191831377,1040085060,157360144,8642689645
"Norway",45269068,1283399,0,98835972,4921444,130,71845657,277763007,41150866,26609200,0,240866,286,13594762,0,0,30762484,3286035,0,1390016,733297310
"Italy",429633626,6779805,1608067177,2986367599,67078777,24809,155554684,484751999,150419258,816078174,480157937,0,0,47029364,215037721,22625,111575000,56900058,303839224,154737371,13683742767
"United.Arab.Emirates",30997657,3671639,14397156,2974803,298880,9841253,1680296,4285045,955086,3078847,74612,6644041,0,2959440,0,4340203,2588053,240897,0,3186474,118339951
"China",101730163,277831117,1910992283,808026069,1150534,1928626509,46512175,129027724,2272876,9503385,194899299,1298077,359330337,0,99207459,780387754,24682732,2087014,168596084,279139476,9108850781
"Venezuela",132884992,449720,4467854,0,441959,4269,872581,5854140,3713961,625727,0,13505106,0,5274410,0,1581,288052,15534658,153852538,0,20672660
"Singapore",380167244,27617700,3870038951,90913619,775210,344176152,3548723,21373613,158190145,13096222,30910744,66399126,1200318887,462814979,96571555,0,8807040,10532876,0,1046005261,6447465453
"Belgium",201588566,508971,688631,804617901,22769283,27323,524225212,984317093,8770586886,662687084,1613756927,48499193,80828130,76087663,134562221,2038,0,137207550,0,137756703,1208372238
"Spain",237328265,3419230,1022183326,1286928517,22432578,17741,102298823,626109888,65694457,384828761,412736086,916695804,18949705,32467921,475006721,0,70092420,0,1854784611,169312984,9637461606
"Nigeria",42014190,1389702,2552651,952616,118718,5588351,29457036,24151234,12288475,9188529,0,2580983,77580,1855507,623529,1075657,12451010,4557297,0,0,35892468
"Australia",163731971,40151919,625705990,0,1629140,36366506,3331079,2897447,1653554,3989754,775106,636428,482183504,53959612,379038,472854322,1166612,983769,0,0,3557509990
"Other",6896573778,208407643,10608340665,27538546366,203507935,1055425272,3097343524,2971078513,1600216377,1602599203,4504315388,1751468781,3777667265,1536443647,5000855510,5181836839,1090037728,1146353300,5305773002,2329294945,52391005857
