"Country","USA","Germany","Japan","China","UK","France","Canada","Italy","Belgium","Netherlands","Mexico","Korea","Spain","Singapore","Switzerland","Malaysia","Russia","Ireland","Sweden","Austria","Other"
"USA",0,63879819766,124633010715,133484120925,41811573392,29024412999,213905062220,25414530290,10066216262,10306801616,136142467299,36909786321,6062796142,15093223654,9774446407,24733645835,7145423232,22484848653,9551767154,3925695707,231808471073
"Germany",36277168000,0,18686397000,20076230000,30821191000,45241467000,2608112000,31455606000,23000944000,3.5269e+10,1202158000,4417824000,14592399000,3415737000,17905841000,3237282000,8590388000,12767809000,8295371000,19638791000,125614559000
"Japan",58808221666,12414301625,0,61783699552,5414883880,6535816536,7155870096,5425377317,1482758515,1799793651,1799734152,15484609951,1139694440,5011002946,3300482928,11203793241,3276469152,3204045596,2043525338,915455723,113802611052
"China",27261096545,16416414964,53465998850,0,3335959778,4255734179,3626878469,4319464915,2022046880,1571573806,1114957105,28568008001,900175313,7046562432,2041393401,9296295231,8406690131,689455822,1791032118,892917501,53077236676
"United.Kingdom",42761235645,48537136825,17276385119,19346004305,0,29674672032,5442873191,16559514734,17697464280,23227259227,1075794559,4911215341,12387159146,2637517492,4903461528,3157119712,4166641658,14603780674,6575034601,3566774401,77943791492
"France",24264699641,52223566479,9864149234,10693297425,22198818416,0,1676717669,27420241872,20010960965,14408325267,524900301,2052696351,21823035073,1733058224,6774586163,1902095945,4943408505,6140761468,4081935077,3051274823,60954745367
"Canada",139278667432,5286882386,9834671935,10201969009,6207488527,3733365017,0,2829882377,887998729,936087019,8123439699,3101007566,653610191,630144761,965099253,1287493085,242385788,1106702927,1185260424,649338161,18422726453
"Italy",11774715233,43896559667,5021527345,7832903208,12623948583,28137462785,1171201415,0,10701091691,13778549123,244361193,2277542742,11418525144,287426615,9248180854,537386554,4719090091,3431619782,3330467843,6773951009,59143492410
"Belgium",13046640013,34219304019,6274635935,4483974586,14780279561,24938892570,1037075405,6611799220,0,31282391288,540670145,775542306,3674065058,576771441,1552327081,554723393,1748283567,13908398599,4314428514,1022895564,31092702295
"Netherlands",16092778412,29089889370,5566389086,8071182071,13073685563,9094186663,739925308,4218075796,17094369436,0,461899116,1715294233,3368373308,2029822480,2199080033,1638841449,3394883430,3070209324,3367208006,990453618,31791824062
"Mexico",106899862231,6065063684,9347719898,6273593415,1349144588,1807768642,4479574474,2170381001,556555727,546143447,0,3909340408,2222985250,1554650393,793428851,1992865050,236003156,614165521,450439732,186314207,12124015480
"Rep..of.Korea",23110978513,5472292342,29855162112,17399682916,2437296971,2125176369,1845842275,2274205301,642183475,1149561642,295349737,0,429391653,3430020459,1004201669,4041431848,2217593668,754462818,578192547,332608951,46048572184
"Spain",6819890352,26779260195,4031385782,5463057730,10823887522,27251311383,702170482,15017410942,5292533580,6524081088,1541377545,2029498571,0,394411840,2258828779,548522086,2565474611,2434125675,2166222136,1770109808,39913489742
"Singapore",16599855766,3956202219,14577957565,8861658191,2354427782,2121194793,575419852,1297502964,528329565,1299496518,331473533,4298875356,303584683,0,1857043698,21213535381,318200168,641585550,531551484,212547502,26258717929
"Switzerland",6146782935,26888562519,1760256209,1423756303,4242999447,9367313247,299973395,8719677996,2535335324,4313578918,122394789,355695139,1711546695,190220890,0,132399712,1002845759,3300443473,973462931,3506540944,9048167147
"Malaysia",13067808358,2944075654,14184656999,6139152514,1569138446,1122220233,332066286,662223665,323776840,645630796,136171952,4208311443,157579562,9538598355,826447061,0,174044526,749971842,508047833,93929436,14234437199
"Russian.Federation",2982671453,6596760022,980244491,2400697193,1119608833,1896187383,224259728,2222042614,764418435,1060263128,50251321,929944498,577702579,88315240,417006593,230057924,0,198911943,1021271060,607149726,21207040344
"Ireland",7993602637,3336243832,1890178900,1404963643,18828753879,2131421854,397936116,1030157549,743992120,1725231314,234240046,833327702,638571687,943128979,524090700,629789078,33496482,0,393330132,194714896,5145925782
"Sweden",3192706695,12381305439,1496004627,1126310023,5916705359,3743930445,260571264,2372704408,2615964360,4700057618,37143509,424888734,1100042227,119510534,938667176,173947737,1015136070,1176816836,0,805024123,22268589880
"Austria",3517522809,29071087929,1552162993,1317500015,1901672713,2810833204,304732297,5233912801,1411941847,2403221601,131472072,502101353,1124065014,183832924,2478563012,447842375,375467601,912468901,936880748,0,13987526607
"Other",131469694046,140232747110,79126431110,59221811953,51204559704,60627606901,10766972544,62564803161,30619648022,27750045348,7138545304,30903859908,33174686923,22671229847,22355720612,17299198005,52902132252,7691530853,27378980397,14948986727,331713158714
