"Country","USA","Germany","France","Netherlands","United.Kingdom","Japan","Italy","Belgium","Canada","Spain","Brazil","China","Mexico","Argentina","Australia","Thailand","Russian.Federation","Malaysia","Denmark","Indonesia","Other"
"USA",0,650886827,2180473400,1473767783,1321156386,362471230,1783192783,156718784,6409151551,675786319,805249644,850523472,2930818369,450072776,718588018,1342855700,91185770,249231929,223233696,542574713,6276171176
"Germany",1088804000,0,3285186000,3285387000,629984000,15872000,2169485000,1078881000,80598000,653924000,978341000,215453000,53497000,339023000,84647000,169212000,21856000,118197000,698455000,323503000,5328886000
"France",356403298,2233026904,0,2620876885,1015591812,13761462,1297051142,2011451591,47399337,1155700544,939160629,86058450,20571890,184967727,24499423,117138048,11333415,32885772,204452516,83844613,2442174169
"Netherlands",961467471,2170460289,1387675712,0,467791723,34242275,230397127,1602906932,39409638,160210898,1277552911,133544965,14221578,583777855,46478875,110510920,2952914,243292868,103362357,321279245,2124249608
"United.Kingdom",1233782970,1716817100,2622362100,1907374444,0,17227642,1078405935,839166845,212035898,555094170,660263969,149051604,27912666,167180570,1052048318,262774581,11452375,126950005,341908466,116664781,5435098073
"Japan",8481908418,270214876,1021761868,167665994,342805467,0,444301452,114538542,1212347515,119261002,589146351,3478709724,47770559,93218341,1318436652,1257876435,16829430,246087164,90886074,248233735,2440313066
"Italy",448182655,1374083121,1608308558,1458925787,338781973,4584613,0,458081262,84892967,1358465682,269496168,113353701,8712315,525478785,81933476,41277663,234403389,63319516,191107187,28243512,2145489049
"Belgium",356766453,1192797377,3170731009,2424895291,449886688,10427741,337641597,0,138813913,218746018,552196264,21711046,17680168,121834158,14196408,21708925,18175397,20318621,67529876,77022462,956453340
"Canada",5137278560,93460101,327094901,94807264,184073348,26646943,248377295,61384415,0,56962934,208681152,112823775,107903680,33559389,144579460,183820427,6378768,14960304,29284777,30676058,726211859
"Spain",709049369,1272239512,1514251202,661645147,938623797,5117339,362574534,236292995,31663560,0,436133052,79861377,35419775,674691155,18123138,33244388,53620732,27521372,99260599,119177133,2283022246
"Brazil",199713912,37068530,76454592,32965638,50698956,6875735,36299521,26806987,31754729,25508464,0,8998746,12214436,1068966977,2148827,539081,1363766,12701356,8157868,81116267,657181481
"China",1349982570,68467159,104054472,71601248,40629424,106500545,21180012,21439520,246356364,15774048,1136588612,0,20875527,867278080,484567719,181664527,38384381,701841694,26205694,283981319,1136063068
"Mexico",5375929601,75929524,105420248,49365093,47162592,5333148,35535439,17248937,372030875,119364046,84195255,38262574,0,36324588,14022354,9606968,421882,4441283,24295856,27773523,433799475
"Argentina",37303676,3422875,9863110,6622474,5651672,450149,5420046,1843597,1688580,5394327,120745420,782863,3655301,0,3286147,3606863,177,5859713,1959608,1262848,111425415
"Australia",386900878,45984106,75557655,92179807,160453939,54246262,128009055,28022634,30215996,64291526,46722259,115283379,19507846,27966760,0,195107647,3598136,116006741,14151249,38066553,848633152
"Thailand",456014512,30807326,47236458,47776235,98516354,42916676,8478049,17778129,42673921,9029826,116893543,108360113,3644219,295688459,105666882,0,1559878,70058952,15627134,74428180,308217343
"Russian.Federation",234528964,353645459,233145682,284431620,117353076,7987083,139891298,98232783,8376103,93054603,593572891,138660103,8316635,116412827,2826788,126513239,0,106129612,86620259,86661250,2451277124
"Malaysia",292397210,15839169,41488659,51573618,43453250,20332256,9961082,11338168,72866167,6845506,88530149,436177711,1252197,186640702,316198392,293317070,19425,0,19687464,386774826,407460774
"Denmark",131679568,771696815,312595701,311136799,162962607,1008570,182275127,104900739,39086452,104971704,33221458,10741668,2451350,284750835,21677744,14947538,26537399,45697631,0,15134384,854175406
"Indonesia",489265411,13153198,28646166,34307551,9523449,32875205,3569860,17595534,150724267,1871438,122901279,289353101,361552,62590712,400349671,210344972,30375,180064719,5436768,0,718075852
"Other",12463486073,5776102012,4931982948,3523593116,4743924662,496261918,2826409774,1726297322,1566243906,2287174073,4501639515,2427248759,527479973,3989193203,2799245534,1751432145,1739086537,2327610356,1721071699,1631918597,23697789925
