"Country","USA","Germany","UK","China","Japan","Italy","Belgium","France","Canada","Korea","Switzerland","Spain","India","Russia","Mexico","Netherlands","Australia","South.Africa","Israel","Austria","Other"
"USA",0,3711969302,2357491176,10862971811,4520187381,4245234381,2956564542,1583619155,18586766927,2100055152,678376936,1022405361,4854560517,2641094436,7493070373,429953962,938666151,2532315709,6368122492,542325765,15735333807
"Germany",1791595000,0,2569870000,1566294000,580144000,3838236000,3211089000,4411063000,504128000,222782000,2346152000,1276094000,241672000,1443514000,32901000,3108329000,342869000,891529000,119802000,2914634000,14871300000
"United.Kingdom",3533934214,3961460632,0,1477073890,679365375,1792734880,1508280241,2121450494,1447310961,184309658,1090560525,942688817,598458936,1917240856,86715482,1052271656,1517502817,3553659726,367410251,372430077,10738368007
"China",1570731430,1334686858,349671895,0,6734195371,334123956,688818010,313062619,390650478,3167780288,57486973,166623903,1129465790,1476617775,96422851,98723162,1990001077,771771083,59689766,63381517,7205277137
"Japan",2443617931,646825773,467548555,3890900103,0,439844983,283397457,488201066,645249457,1629859006,279263538,224448481,883163360,1351167548,230591365,106656303,3786962056,1771387757,283326918,102946531,7775853427
"Italy",519137821,4401977470,1241191195,742781831,165347190,0,1243306293,3159193838,139575394,158621242,2770496002,1077273304,278607898,1035035142,21600645,808421742,323875136,1369728222,84110109,1178016269,7157501357
"Belgium",2034843648,3470546484,3909917395,706900459,204988794,806459405,0,3492339913,373587460,124520594,419066158,433049488,1167348648,583506288,26652761,2682223317,313870240,564499516,1626424659,192648424,6129403331
"France",884283693,5739212300,1717652897,666933166,286595702,4069047443,4335416630,0,252639812,68797879,812234892,2191201793,88230765,385681440,13288686,1001761460,187058890,205338615,64134288,413186436,5250542140
"Canada",13372574848,450618613,342598497,1003406880,585184189,359409482,166552040,257795751,0,265331741,58377797,120146770,115571613,88923092,380935203,48803450,130519684,147098857,108161570,69234713,1950876866
"Rep..of.Korea",1630439463,484764065,421914098,2345052333,5197021635,178245834,76700472,199509599,264774818,0,279189063,75760172,197977927,895117223,36727638,52385134,2266953380,491508021,29116964,67130168,3533010795
"Switzerland",1282172794,3453500191,587633094,89581271,101804976,1200094095,450953644,1225144293,17480711,10944558,0,113936869,45396764,893536855,3342906,201838520,12353172,317345113,129440815,692034097,1478596274
"Spain",261508522,2186174743,982942125,451687805,95091439,2068201427,520621701,2603680556,79159031,81317973,242905540,0,142121916,438319212,25253771,632679594,153911979,160077529,33445567,135359286,4523260377
"India",428153933,237149502,1705478482,323311490,247482127,83864676,3330840660,111076394,80461800,185240620,1670132975,41726904,0,237282605,10112989,44889207,365900518,1660553250,344259668,33048233,1979572541
"Russian.Federation",142373313,537018155,95358996,211435514,36244707,269206102,35483002,142474982,16545498,22567465,15630273,76105496,4086168,0,7526238,44382986,5407129,16045340,6291903,72120231,2218815892
"Mexico",10708619322,609513579,70087574,325620350,790515272,299758935,46593763,161072990,468459998,264966194,36616602,368405506,122471826,81662504,0,25120327,21882870,80520039,17492899,24041044,1610749851
"Netherlands",348764853,3408664003,596348746,446868250,120688885,473030855,1830009299,544749726,91180527,56127075,101330162,201858593,78539753,392690267,11131738,0,127127313,87413602,65708227,135175822,2885054960
"Australia",516364831,265514813,208529264,730058732,466323240,324982188,50075200,102906248,115423397,561172641,43399171,79020692,124397968,8702929,14775687,37421056,0,84197569,61093257,39555297,2148911539
"South.Africa",166088272,225128964,517674123,129961879,91567373,87113515,46464491,64473755,24174601,26133088,12760180,27824185,38105460,3867840,4454576,19754525,106868246,0,28565180,40616320,391269997
"Israel",778652000,186257000,996600000,90021000,18579000,295623000,2341303000,100717000,45703000,13202000,1284920000,82363000,442124000,439923000,2907000,38266000,6350000,41987000,0,18372000,927804000
"Austria",147496045,3790668296,143002783,132274964,83447256,811151035,172741797,284061840,53569025,16480804,409238759,61294667,13043620,133586796,3843113,187467944,4905444,28392369,8355216,0,1628190189
"Other",6540211425,15894769283,6595478572,5693481844,10823341131,8311497384,3762678579,5645211961,1262648801,3122766897,5484902869,4379135230,3597139513,7969153656,825133218,2306069217,3180616913,2230707390,721278376,2129272654,46589022550
