"Country","USA","Germany","France","United.Kingdom","Belgium","Japan","Italy","Ireland","China","Netherlands","Canada","Switzerland","Spain","Rep..of.Korea","Mexico","Sweden","Singapore","Austria","Russian.Federation","Thailand","Other"
"USA",0,9458716234,5609215789,8511637920,2108198546,9285642641,2610885639,16399548932,7178888435,1667877169,17402212335,2647163295,971906005,1659225198,3382990601,1187842009,1745392468,815971593,1122048943,1039960753,13074626466
"Germany",5714894000,0,7765444000,5825144000,5649373000,1675995000,3960546000,7749823000,1272063000,6230851000,180769000,4604736000,1964960000,204729000,112161000,1235485000,81068000,1912001000,357682000,143700000,8118435000
"France",5493150775,9101985192,0,4965964920,3945843518,1202486500,3643253644,3359295488,765355513,3132614950,207816680,2345656121,2291016044,134374084,55144935,912696495,666317898,366875148,348377431,116812485,3878996211
"United.Kingdom",6092855917,6619561023,5522564127,0,3217706528,929523749,2056402501,4234246818,1200896714,4205943908,203738545,1101995632,1730374180,227189125,68852065,681336602,767799749,307581037,247568612,139849660,4634240263
"Belgium",5820363584,10695539380,5285426620,3137237676,0,652869503,1528640886,12786866958,428282630,5511450705,139662598,502250670,486137800,165004921,168548992,501280248,293166443,177973961,157321713,67384309,2967910899
"Japan",7840890227,2852709263,1677148448,1549553225,549885798,0,751092068,1658039152,2932880282,311797471,345960894,898444201,217895529,1413401169,76049117,353303300,469869336,129520435,52212655,1072391771,3552938434
"Italy",1871477956,7299190005,5082091454,2848875301,3524182678,665867252,0,1988577651,637531906,2708101963,54642180,2465100464,1471321930,222656405,44315949,430004436,106698962,651403046,138672955,102968614,3569479857
"Ireland",1447653273,526650379,357031511,2398015258,259091039,431525851,184657316,0,65146761,324331205,48897275,319821994,82064211,32262384,11334673,25288638,3670941,34821899,19188685,2895712,779673806
"China",4584574458,1660298700,633943371,554184474,506680863,7177930527,436785009,289953975,0,437815831,703626911,330397630,218040923,6138929030,100108797,148957229,1662346584,55087217,1566307355,1515699131,6224702009
"Netherlands",3999885049,5141597336,1895386064,2549376589,3431002079,641520674,811961477,400160847,444321396,0,47908586,527971852,729580196,148178273,69847213,224988959,93498852,115371375,187968474,59333068,2635880808
"Canada",20085582250,934440592,580332004,867099483,185950812,437627963,267116041,823892323,654544188,222485746,0,361791937,106250213,184428939,197887876,378510831,38895044,100312467,47625802,76537601,1535067136
"Switzerland",1662629918,5673777869,2039570090,1459803966,580018694,366826111,2026622639,2484804846,201956444,663648481,24377689,0,688046582,50351323,85555563,77197443,10704576,819114400,25768081,14475902,904112421
"Spain",1190763663,4930122954,3967284407,2153699870,1395011273,419773362,2356857961,1053212532,473921234,1518387339,26103052,1002077718,0,122799961,86970676,395108346,110126881,189741796,63500674,79977600,2723805389
"Rep..of.Korea",3073779545,988449132,557640283,421098891,221457690,4848966047,359777270,131067302,1235423054,213461403,306366834,211231697,109804992,0,44175827,61616032,334607843,45517558,210046704,236839641,1669525350
"Mexico",16708840311,791353515,495361880,362066699,153020343,525000984,361842460,465965284,517992937,145735486,355421990,330748477,294002983,311084629,0,57712449,148008453,42368023,122040416,46660135,1230016892
"Sweden",402431690,1684189459,847843510,789913140,593660133,221926564,272344771,132709916,64820481,775310865,18992725,263618687,153550262,53114984,873681,0,5153259,86897824,67889126,9250664,2235656791
"Singapore",1939223476,567924212,554014201,366249746,133207587,1103282957,137315375,102596751,376333838,235818256,36386746,340259327,82295073,189043619,17772196,18502911,0,9003513,1361910,314341027,1633241635
"Austria",527686643,4325011367,595854642,322853135,340146949,112898339,662360413,602990634,92144960,481795692,14727537,508151687,263934581,19701969,5618323,142786154,6633262,0,12732337,24013544,973518801
"Russian.Federation",534895934,1165764750,628044697,254673603,201153844,89551895,271144251,56908472,184704929,223553705,26051706,138729817,78677047,233803262,5006244,93931640,6325462,107873529,0,9926960,2735189693
"Thailand",1025484046,450067773,192269997,203078349,136596663,2144964358,126705722,28550420,550219758,138237493,65762948,137499539,76097489,401722630,14805654,33260394,768430278,19710988,41364720,0,1704707359
"Other",20336957532,23819667558,12399617458,9768246629,6960284965,6674558635,8611238126,2263385480,6041279800,6666922941,964714564,5501836327,5614916117,3779601267,1961665967,3778218104,3722604000,2451224521,3792028671,2210916918,41804906048
