"Country","USA","China","Germany","Italy","United.Kingdom","France","Canada","Japan","Belgium","Spain","Rep..of.Korea","Mexico","Netherlands","Turkey","Sweden","Indonesia","Austria","India","Finland","Switzerland","Other"
"USA",0,30716650879,1813051699,4685388395,1544895136,1230943026,27116720658,1363953465,437701300,731890729,4104676487,11035693812,390792515,1852739836,454927539,4085514103,312536582,3924190060,871006064,223152187,39983605487
"China",2493012707,0,586460929,741446514,185107229,224719678,792691114,3945806905,132419592,84152490,4066386116,55263931,124416343,33263603,176105468,1605591828,82623405,294703399,223428256,31984292,7209163161
"Germany",1156398000,4094783000,0,5682095000,1288405000,2654386000,455649000,256721000,1667103000,939430000,372566000,25154000,2344893000,3453816000,2347820000,807624000,2374019000,1085340000,2257958000,1531777000,17947351000
"Italy",1033906216,2642941187,3058444208,0,912254507,2445739628,406489665,137745327,1088192581,1132845805,218468948,19242211,839465329,651072769,670815993,400970979,1572993742,735742711,454969361,558151872,13112868038
"United.Kingdom",1810973690,5307242849,3230345732,2981009668,0,2009079329,700470865,184577285,2368536336,937059618,393542410,57421402,1634815699,2260692217,1822698731,1139221382,436677645,1457409911,1814647034,189062874,12867998082
"France",626422583,3050849232,3637661489,4967564434,1148717426,0,291307423,189892712,2414470041,2259314574,275923796,20373724,941700030,1009209808,761782800,485781624,474678462,800318293,1034562304,429249502,10479495122
"Canada",10397050406,2624570342,257148705,540769127,191119411,233742720,0,97651165,70078283,84796868,358321053,355811984,71698541,101820425,44842593,238070012,72137662,437905931,96352676,30892028,1716990082
"Japan",3305440948,21040499800,339250430,2212433180,358078437,1004880481,1888826953,0,83076902,196408116,1056977148,35504086,82857188,42367209,303533602,2145653432,233399896,297347785,467709562,60561691,6632648768
"Belgium",498610835,1304721731,2215898884,1058268970,654408379,2744613453,125829355,37874709,0,420946656,72975509,17734051,2287228907,421726497,295351532,514674660,123641375,301484108,506497462,133066666,3893566974
"Spain",530168192,1660484285,1324899110,2208449933,552882315,1992748949,99710855,61545760,435337933,0,205510453,15337942,420971220,346572570,391690388,290715990,158655662,500549131,718115647,88064804,4757854524
"Rep..of.Korea",1658359979,3738784276,173420395,801178293,167281771,151898886,503585236,742583027,78907428,70657960,0,20304257,34675146,9696342,31648993,901438784,34534571,303003073,69889042,27031798,2554134022
"Mexico",12034030424,519494073,155705483,323404703,30881580,70823625,342572300,104708714,39241039,476855805,309590140,0,12191464,33398545,37082468,141918615,28096890,79926677,51209065,10867325,1388486782
"Netherlands",514641718,1269884972,2901217119,728424340,486860535,659556394,125998842,61448363,1793495916,162031562,93065405,12813588,0,587068834,939611001,311672598,149562656,285472221,545723328,81354796,3259441313
"Turkey",479911455,297232479,599859045,762468055,256392979,255614360,39444759,45005913,86961257,274322684,230618008,6762698,133819073,0,91054631,151663921,151632712,229863594,94900304,68873515,1620199756
"Sweden",116499080,316385600,594991005,281603986,239394290,119641712,48937927,13928700,211303711,58809614,53224819,1238752,224648893,0,0,29275337,56102433,138325622,536048365,37790188,2805327742
"Indonesia",484017604,233987987,78487561,32400413,62209068,25821449,148412221,200150230,35036017,9836646,276623413,6024458,52775712,3674759,54679428,0,13250383,25147597,16104428,6570867,958024729
"Austria",75526317,396674254,3613456645,1011136510,132263876,225259235,33418308,18585860,100784074,135153246,23433889,1582509,181065561,254673943,208783222,81534432,0,102247146,160266924,267600111,2571359262
"India",310922245,357003898,113754642,88311482,82708464,43675774,127661954,53187313,26657752,16527568,120569065,2114625,46663437,9964019,34572763,159235682,11231651,0,29219044,53713475,1326418660
"Finland",40831148,246576014,336367974,155895071,122492206,67279332,13403633,21130856,78925622,43882106,16074312,382996,96513684,59612178,411567269,22037059,53572048,49133678,0,18466396,1373119042
"Switzerland",159970679,473006334,3390327105,1666895667,201565573,1035380874,54229283,18633964,190205669,139419146,16267033,612779,243288580,112898057,182786670,50404417,627084772,131138925,153353663,0,930519902
"Other",7574078483,14838942107,11531401636,11769368976,6047451286,5464098892,1198951896,2192621639,2406668909,4768243993,4215672106,507263158,2273386510,2773039998,4364450640,3093270633,2435338598,3248668429,3156819325,894714771,34590809328
