"Country","USA","Germany","Japan","China","UK","France","Canada","Mexico","Italy","Korea","Netherlands","Spain","Malaysia","Singapore","Belgium","Switzerland","Sweden","Austria","Thailand","Ireland","Other"
"USA",0,47533319786,108707938666,82220924316,23061735740,17853278844,107577522383,95104864542,11303698570,28303687799,5028634439,2155884832,21834630403,12536559482,3482300886,6023218409,6600049592,2132504014,7679817757,5338155303,43966672127
"Germany",26009945000,0,16133301000,12455067000,17325995000,25186961000,1239411000,928188000,14169414000,3608551000,10964637000,7647577000,2654276000,3253895000,8974239000,8680602000,3010696000,10922063000,1227310000,3742366000,50497587000
"Japan",31068354181,8240473480,0,25563113905,2629933936,2213929744,1084382322,929343981,1490796122,7780107395,796006492,214770090,5563494569,3695103884,397350647,2019958187,1218569663,391719409,5614393396,1441657431,10954596677
"China",16292694472,12730225067,35030576116,0,1940414181,2906203475,1322639687,834710496,2781722618,13752203936,796081391,392477247,5810333678,3973207356,654436910,1617275875,1286545605,691127045,2499230180,344427361,10402827755
"United.Kingdom",29506996401,31871728841,15447833509,11069881329,0,15666847757,2662784700,694754156,8148313990,4094443230,10817089407,6822635268,2238506049,1596444786,8968394032,2435813907,2813961427,2313692756,1602294123,5948189158,17493680483
"France",16285216869,29941932990,8154986486,5875279320,10226272081,0,735763129,356132468,12077575273,1560664834,3546227924,11444493248,1605304893,994449001,5069749167,2851649153,1647342326,1690632947,674308849,2156130493,13557931442
"Canada",84237200054,3520800835,8671926103,5620651772,2656218760,2217139927,0,6684739545,1344423452,2249884580,368980842,188493878,1082741247,547530465,389865519,472719553,619287297,403793210,511933955,201108617,2779363149
"Mexico",56081753462,4397754416,7906157758,4679881054,798000498,966485386,2558849768,0,1136528721,3015813331,221578833,930287449,1857317424,1382241397,271530646,406131838,279592145,85045528,699188356,96827649,4890070664
"Italy",7376313641,25521931127,4020322597,3511017052,6650671000,12644876804,395063156,104660828,0,1656807337,6347121624,5210302074,223662110,149615445,3716652518,2325559713,1639339505,2539597576,399852538,1130400444,9780469526
"Rep..of.Korea",13915721511,3727374706,18168254684,6531063786,973634966,1108847210,333862953,165005267,895699530,0,734795163,112554505,2229879046,2588387900,178485072,463020102,387277868,171807029,798935473,560021807,3933667708
"Netherlands",9904097059,12623138212,4697782099,5600262130,4976853665,3804663194,286008598,315924906,1802784324,1381280724,0,1375602481,959613757,1720932815,5168171669,1413847761,1766025414,461175760,717564568,2345138290,6149974305
"Spain",3684397085,16537461562,3441927358,2698534427,5273012489,15371529634,374218569,201703547,6845868389,1567326732,2552565317,0,377304542,266096392,2480376188,871710657,956697798,1206515121,412359342,704732094,6319467390
"Malaysia",11185561828,2333006921,10408407818,4294312749,1051755975,864661768,114018225,105205624,418249953,3284930476,342861038,64137100,0,5775817498,143261235,288319455,426924194,64044512,1655454571,713967790,4363613203
"Singapore",12975947246,2950509569,11674197906,6256622901,1527464569,1027073191,422490926,264629190,836793085,3253369497,700788982,122856589,16140497321,0,210338502,1395174900,303220246,150139050,3953518943,521983169,5061370871
"Belgium",4077150753,15476972974,5366688040,1926725335,5152106077,8264704888,205468234,298507137,2673193584,408662717,7814400507,1686619458,354206886,209424458,0,448007066,3051777575,450044734,598133118,868648105,5507164918
"Switzerland",2803614244,12477274377,1268012222,623432189,1868325389,3053499300,154177920,14952004,2705055547,277105513,1924590346,462910077,95890301,116497542,953087472,0,593297860,1170126068,173400629,650150264,2747252110
"Sweden",2355195875,7967875752,1179183578,563286284,3141670967,2165484290,141005806,27102421,1284491638,296013058,2436077064,469685265,122877076,99132948,1361901598,524933906,0,463778473,116090935,856950430,7375829007
"Austria",2692059786,14139467483,1334632622,669489459,1046361851,1436297675,196838126,110816500,1982273640,442206015,940262945,488065871,419963507,172474307,567202004,942049655,449165082,0,66716605,265232737,5068790564
"Thailand",3680140372,1640154824,9336663913,3114576173,358832684,428619806,109865027,116367676,391618629,1485624160,221481226,70138114,2227998381,1642521626,70385417,338317594,206809212,37030479,0,51487522,2195348403
"Ireland",5960900317,2218362750,1425797956,1046097743,10080390291,1298955103,287871845,218398405,589884930,778660521,903533265,322310165,587236057,931475460,273462969,162264643,248373158,122792987,221366537,0,2089743975
"Other",76401662635,84213599595,52381848357,26573322818,24893513750,30457535804,4202492208,2812613521,29532335988,17484452480,10238736678,12860367950,6744207400,9172250211,9098393275,6613963594,13615702956,6746951231,4683246271,3840504251,74888829162
