"Country","USA","Japan","Germany","Russian.Federation","Netherlands","Canada","Saudi.Arabia","France","United.Kingdom","Italy","Rep..of.Korea","Spain","Belgium","China","Norway","Mexico","Australia","Singapore","United.Arab.Emirates","Indonesia","Other"
"USA",0,392817332,711875918,2413906395,1315775748,36812688366,13298041409,566882785,5014657034,786130522,529498266,504922896,924732204,1654162012,4404096567,16195029602,1996354733,248354779,150826856,969929566,60406862190
"Japan",5668009961,0,64827803,1306738645,334810203,1979102955,11355085572,129894929,66964260,86909512,2992341207,166911222,54509169,4877595738,646612455,480475044,7669871737,411399968,11442772011,7426881166,31305415620
"Germany",515532000,24364000,0,6210558000,9334903000,147557000,607828000,1938427000,3181793000,1635830000,2020000,2110414000,2420259000,472570000,4355866000,50257000,291142000,9120000,129000,98575000,16668714000
"Russian.Federation",519103634,3930340,379052015,0,192742123,49541359,1299,145630703,48149089,63340913,9485908,110866840,88466149,249639720,160015233,1080981,21654584,403182,113813,22632636,3355457230
"Netherlands",363922262,10706790,2844812411,2680059297,0,149419117,1324659767,802155573,3996454305,171477673,32517931,739089578,3268783541,176300358,1682574214,37960093,180224982,167304688,245525,128407823,7697119620
"Canada",6048981314,15635572,30413540,60108060,129311176,0,428430126,117259714,1966379028,69786980,20338680,96959528,14167660,185972052,2247143866,396161411,238167759,2704790,1433587,30154003,4736672805
"Saudi.Arabia",46540956,2371458,65712928,0,128801026,11307521,0,161531091,13287421,7452722,1600920,7723593,5767833,56338820,647911,1279409,263324611,2342267,84678478,4595881,1591765664
"France",619222423,16426372,1569747604,4032052955,3165144018,141791288,2004098555,0,3124619280,1365749936,2214782,2481308870,2234030018,248821744,5079416069,59388598,275695429,28886521,316833550,65141177,13695744218
"United.Kingdom",582692453,17857559,1137223497,1676469310,3609764113,216532222,379422616,1732368225,0,502647760,3787569,1399307093,795380298,141857919,5895074983,140138788,392425898,52183492,354613588,91078578,9845215171
"Italy",525696944,27660366,2240933736,2909957252,1616512678,90538053,1469619092,3197252503,632174607,0,11169362,1168316349,670676359,185277531,902610548,45829245,157834918,12878269,50224,238350847,18213026269
"Rep..of.Korea",1469912867,712098289,11012995,879496793,61434135,353828769,7324594930,23103913,62199245,5427601,0,36325574,56149487,2341161965,214918603,6910162,2360167303,284008364,4068740800,2854019788,12609866070
"Spain",444003521,7930524,528362314,1923016268,737832471,91315415,1288703936,1801816635,922726926,1175458698,35922482,0,224893490,98568602,439255068,1176691834,195754654,5986603,91528582,107629205,14457083122
"Belgium",258904740,1787148,1167548920,851737774,10562192561,53713845,1902229,1981076687,1476723346,207594778,697835,428565638,0,95633385,1228020421,11547036,198730599,4215409,92467700,32283143,4387079859
"China",970100908,470989386,36276251,1919754058,42935831,170913915,2460245488,73750564,265952575,4206806,1384100565,23106702,18251985,0,495086102,7575503,604925209,1031530148,315644723,859619418,9927830623
"Norway",91291620,181919,106915557,235758400,136982297,8780059,167392,45254772,284080204,48340074,2821517,116046924,58228409,11590669,0,1368288,2655997,402946,751,1924049,1122432393
"Mexico",5990689111,16004022,34807167,1221,92152244,382239543,172092523,8604513,40945645,13310743,849949,34069461,28920999,192342427,47655873,0,201242470,290557,0,1801016,994594579
"Australia",277607288,33597284,12381659,138977,28068067,75708018,618185076,12911080,31753790,31598290,52775694,5732887,5316477,200627928,9347303,4063705,0,549462112,181434251,1056300473,3284996364
"Singapore",585835664,54144731,12217121,177803555,223040249,11321008,3514286839,42630710,28396800,37657113,384122084,8866614,12262115,662840120,24935281,23882068,1181342900,0,1368372252,0,8317751478
"United.Arab.Emirates",138655684,3374846,23725682,83972,109262893,9226730,118744321,53672128,20510746,14157873,11283411,8336142,13366625,39566977,3467282,3589621,127444901,7675433,0,10286051,1339555427
"Indonesia",93409797,36132475,7223248,93311,36975253,7135922,966932300,16173377,4478590,5865564,225356487,294463,2942842,495103073,893741,115568,212128660,2064968134,38164982,0,3035306878
"Other",4714360561,371131050,6837351618,31263399698,5359676049,1019566322,8085366914,4410898562,4180457200,3403471392,510223015,3748404351,2145447766,2575050933,5643533034,418860619,3855053147,4517430157,3192678258,1436629215,73438525187
