"Country","USA","Germany","Japan","China","France","UK","Italy","Canada","Netherlands","Belgium","Korea","Spain","Mexico","Singapore","Switzerland","Malaysia","Russia","Sweden","Austria","Ireland","Other"
"USA",0,69613217388,121232305875,163250111953,29897478852,43741557221,26653613998,227600078557,11435305072,10400921177,38344929642,7140245564,139700387648,15489461629,11071898161,26188037698,9085002653,11449963790,4594758659,25959130611,266510374356
"Germany",42098126000,0,21476945000,28259662000,54904738000,35356232000,37926468000,2622742000,46495226000,28711159000,6404172000,18393226000,1710872000,3795505000,21011563000,3914272000,9927301000,10634718000,23437727000,15705304000,154735920000
"Japan",59994811280,14207453590,0,75469341037,7247666672,5846271170,6114559227,7529481744,1875165113,1847955901,17902670162,1385177619,1782215579,5435102779,3863153492,12603255959,4237277465,1978744920,1053480609,3554165953,132996414781
"China",33944165955,24291888786,74148125418,0,6102649277,3570342065,5080580702,4374492403,1933120393,2768183891,43128053598,1361329020,1676740889,10484851410,2692214063,13986407889,9728068486,2715895239,1104791175,951493238,81481090566
"France",23731764968,63081648973,11636200871,15035689166,0,24381835973,33233136457,2010845519,16819899340,25225580159,2446500199,27372320931,688468612,2728166340,8143511491,1840211351,6928531620,4817902763,3591648240,7489707146,72646156036
"United.Kingdom",42882411634,58050824010,19072525704,23495430414,33949318092,0,19559677232,6173876250,25802538548,20038300269,5052227077,13877379039,1162970294,4119905831,4623914583,3732770093,4504252231,7724737963,4432015826,16634720771,92768330869
"Italy",11554349876,53043951698,5969063629,10787435896,33671121477,14296003597,0,1411879024,16635283929,12633084010,2907031251,14372402710,344896076,328805353,10322899367,642321107,5782113321,4001408039,8469526167,4616397144,72296596810
"Canada",145755350528,6182421004,9882955935,13288636100,3627241342,6596724096,3303972707,0,1214012353,831000613,3654012794,848311732,8717559803,746049652,1020376322,1629007230,578023739,1450849264,741477946,1363603889,22610111736
"Netherlands",17743230429,38185372815,6830951790,11768820281,10992765571,14453207256,4976962632,860514519,0,21666554013,2140584871,4179258463,498065384,3015699031,2823652569,3798392923,4760050618,4105173154,1286375823,3947023955,41161321461
"Belgium",13981313042,43069519730,7585775087,6200096201,30719798253,17684003265,7713698277,1208722538,37976340898,0,1175470708,4614708520,570063757,444530497,1763193152,586214743,2553322211,5010932335,1297065201,13158717519,36254957230
"Rep..of.Korea",24934988413,6821626407,36313002440,21909058048,2227802603,2703215832,2382204292,1860017951,1371584915,766829626,0,445496663,333746709,4089745240,1444447935,4249131921,2521777155,665339671,380127112,664377514,53939453199
"Spain",7721625068,34072699874,5453538752,7569447624,33582586166,13368651562,18999529128,701788374,8379647725,6265415695,2505678214,0,1675540832,515427525,2868308354,643916575,3274640368,3046983027,2060721621,2946877052,50655146460
"Mexico",105723446925,6217822643,7594571876,9400181286,2017832022,1241864512,2473569271,4120076941,555342543,572724438,4112549225,2287676285,0,1337544026,838821442,2760368243,247940220,732963612,254593555,794455026,13921945959
"Singapore",17982726795,4855230267,15393002379,11068223692,2485106133,2542806032,1593706375,553021418,1089833361,521171547,4959476630,337159086,288851272,0,2014271746,21547939766,276906223,676348522,324729248,667051576,37168629075
"Switzerland",5862945647,31772513148,2115599911,1801299505,11373663317,4170027223,10464653007,396470007,4873526731,2996707810,387378002,2376262433,166106017,234345038,0,134164311,894189992,1245442538,4209649402,3565521126,10058644140
"Malaysia",12840042749,3857475630,14220769156,7271220905,1205685249,1577078574,621875657,360267679,565862947,358479049,4553628669,195583169,135735552,9773898473,804771730,0,190678443,342174735,113657407,657937925,16155138314
"Russian.Federation",2965638479,8109770468,1882865353,3306916187,2296314186,1439024236,2398926795,300489565,1257813302,891160677,1330633030,761210409,64507091,90590248,530358000,300299523,0,1220685571,790310942,234469614,26366459058
"Sweden",3366334908,15639191673,1848495803,1796530689,4657517722,6724693468,2891489391,328792037,5637661903,3508178041,632924710,1386882979,39399505,82367201,1107116166,205155720,1303668608,0,1125029223,1371455552,29149681032
"Austria",3527418570,37134808958,2047870159,1996361158,3549919779,2090624706,6426673027,367109026,2737891856,1588646432,579108112,1586875364,115619898,211035263,3856403937,265260038,565298350,1198661860,0,832754344,18036446548
"Ireland",8368609062,3892707361,2591566641,2506393888,2116491567,16611202116,1203734759,511604888,1898351525,840637415,824076124,743021549,237159006,1175574468,552242437,530075936,49496486,511420009,178183445,0,5491792814
"Other",137229080041,169217170838,92513702449,82026516455,74526340166,57154440198,75776196809,11610308210,33317697998,34936847834,38229936134,40391243841,7771627737,26035054739,24869535390,22322810959,65560728778,33700370171,18565368122,8538952452,405668424324
