"Country","USA","Germany","France","Netherlands","UK","Japan","Italy","Spain","Belgium","Canada","China","Brazil","Mexico","Denmark","Australia","Russia","Argentina","Thailand","Ireland","Indonesia","Other"
"USA",0,938708200,2734672920,2183618283,1530100068,517724436,2367929017,1027945921,232196793,13149190837,2661858298,1877797125,7485249703,504622995,2259347676,333446535,667121028,2279296851,492963719,1138608694,19298130304
"Germany",1697904000,0,5304809000,8832435000,900525000,25511000,4208015000,3111871000,2526264000,202254000,715427000,1995081000,102130000,2155760000,133945000,187402000,765300000,363292000,1038770000,438138000,12533679000
"France",684740931,3819767418,0,5093376840,2055257631,25677574,2563821504,4403995534,4016141360,163608574,259850840,1290561554,79506153,581656288,75684603,48756175,419305356,190273485,566769312,158121100,6882063444
"Netherlands",1145089857,5161403850,2218437178,0,1042292825,39545502,527416249,1110542128,3574340594,69498181,331747583,1923652497,52199427,378721864,91141982,14276107,800200787,203330479,361350715,420987970,5932834078
"United.Kingdom",1717108396,2688956041,4554906790,5589551429,0,28732118,1903883316,2209303886,1656512624,361763799,336677602,1177983330,76137373,2069402944,1206680006,159861723,337364565,420671806,3919533378,183444154,8713430312
"Japan",14601656376,412256263,1325635988,515322766,398608928,0,604296376,302921772,165885615,2707785895,6635438685,989701859,432670378,1339016722,3146521762,1063327197,247277019,2443876074,68167045,974237903,9260044454
"Italy",686193310,4428083525,4980638844,3440976320,738930243,8089742,0,3113645749,1149684153,266473562,247296937,653070262,29054547,957685155,42497884,134245686,794595301,157176367,335942775,82520682,6551940159
"Spain",1097952012,2065843659,3537971599,1611678691,1689445304,9313712,904932861,0,510133277,140180055,204691563,919695733,96534919,491641913,30889063,57226706,1294377573,123422570,703882766,167483793,5489213219
"Belgium",482275956,2320593562,5532444738,5131844814,806023879,17253552,683232290,659727007,0,252944415,87185700,704673573,27242926,204114666,41788153,12825499,273110996,84982601,147469045,124422792,3733648442
"Canada",9121683304,131478412,465858299,195621745,260601309,41048928,370677603,121354601,97877424,0,358793346,334476280,412655994,66897424,345600506,63943694,94596418,315041339,68086776,64822662,2317678546
"China",3762727418,82319491,275252890,108825877,79730915,239729377,23773426,44824081,33413172,439198060,0,2095864917,27591932,132773557,421281646,711706763,2251883987,488744401,27648729,530253414,3605350674
"Brazil",251814621,49124260,93740618,52056168,45078464,6042971,38438780,33780740,26428341,50376520,27117143,0,10341794,18082648,4132977,5547638,1485803527,17458829,5828320,85507303,1190726635
"Mexico",8637570143,80406460,77410838,87162291,54188457,4606040,44784747,158814706,32820923,754114064,97905720,136353095,0,28650265,79500449,5766935,157501671,23935821,51300350,29472933,1117440888
"Denmark",200231582,1510650400,493821540,921402079,307206695,1620631,311189795,270513148,251480339,94092415,46684519,100258142,10466513,0,41136010,81310782,295951318,28108533,110160187,31656700,2106912915
"Australia",608240795,82356917,111788228,114335857,246614663,57201831,197643419,87415524,39567079,111628333,230465667,68345178,29214222,108613529,0,1180747,62416537,312695825,264592064,89346720,1810693882
"Russian.Federation",672489341,678765907,446168494,475973096,187743940,10025552,253787768,248317248,176889929,47587781,401770339,1411418703,23307085,186331609,17590133,0,217683285,178319098,106514378,121207048,5442573301
"Argentina",54965282,4862567,11786637,5942995,13632411,726951,9295912,8145625,2601982,4541635,6334137,278329248,4373251,4523172,6144466,10965,0,9521893,703370,3321361,221772323
"Thailand",570528530,44929133,81994597,94948749,138647429,153857256,12549134,17591320,24622115,70576232,232764822,192772005,9177248,20015569,187109355,33742536,455526001,0,28654852,255835641,1009105423
"Ireland",228605074,242978870,320204030,405021067,2364610436,3872675,71143831,98305084,130853576,16020834,9641848,92895545,2589031,40010628,48938063,326818,47082490,10729183,0,9594346,343131266
"Indonesia",736818331,25133390,33082146,92835644,41510322,19998928,5264911,2840978,25817914,90958407,431777744,166045173,530352,8261008,494567169,5941009,53798067,409511844,9285799,0,1099865879
"Other",16400350065,9853249980,9052866385,8023756161,4220565006,692542721,5389476669,6233364463,2988029761,2496991297,6205889731,7124675144,762892892,3710476778,4716247695,3188348081,5677728403,3184203901,1380919477,4002216418,49808497632
