"Country","USA","Germany","China","UK","Italy","Japan","France","Belgium","Canada","Korea","Spain","India","Switzerland","Russia","Netherlands","Australia","Mexico","South.Africa","Austria","Sweden","Other"
"USA",0,3937776358,12865700287,2334361262,4142672706,4422318079,1584245558,3069443349,18869046492,1832204378,1101686880,5098798501,772188137,2514977326,353883846,827358928,7643215689,2799196241,595807321,815412227,22535365100
"Germany",1858400000,0,2009012000,2626493000,4059320000,672147000,4798844000,3294771000,424193000,253863000,1434667000,291813000,2745004000,1679698000,3498323000,307340000,33062000,1012382000,3338310000,1597055000,16376501000
"China",2565302676,1837433130,0,436903631,437787924,8280815212,417762387,993496442,614202004,5013522865,213249071,2807249900,108761058,2551707903,123892094,3126494395,341215546,1272742915,78683505,317948116,12096700630
"United.Kingdom",4056221416,4577124845,1815332746,0,2167846326,715960224,2534365286,1535080934,2233794804,172356562,1191103716,777469106,1029460638,1525406485,1247624552,3307047066,89065098,4323117657,415901942,1265528746,10983288608
"Italy",664473873,5210553766,1015079605,1335533477,0,212046120,3715682931,1444854849,202036073,193947240,1372519760,380299085,2860173802,1299394764,1101837442,311515664,51410294,1087695836,1494213410,565463038,8118368370
"Japan",2495599554,764122655,5077094078,463696405,499866561,0,589918199,326235122,796906739,2036950670,269565070,922990452,385347954,1570767775,129659766,4083896398,250703806,2002321753,132319365,164688519,9245070164
"France",882414362,6744657171,889216023,1750320618,4964516233,312215942,0,5151057506,238926739,78429470,2777257282,116654036,891058376,426792384,1207533553,193158592,22137632,188548755,503216640,532506536,5783061283
"Belgium",1108236644,3871096336,908923083,4435470638,818366384,248694121,4092014310,0,400260415,127777864,457374608,1314121081,474628288,916612519,3270961246,323437755,25053478,618800872,242338999,361401160,7905742926
"Canada",13719529234,526905032,1314295843,356185569,425770704,425541445,261992336,153995411,0,297608957,137309342,146880995,57140581,74303271,64815017,198908012,394021585,153886589,84706920,126077681,2181972091
"Rep..of.Korea",1886220681,580070141,3194739490,827083347,179812473,6260330561,202571976,80081409,283172280,0,93698108,292955900,390125045,1141541420,61121710,2430981194,65340461,661949272,71267377,106285559,4087809316
"Spain",444231509,2832250800,650384143,1332705449,2674889956,93792122,3201353897,656075273,110538764,99836919,0,159062101,342949585,570978828,830191304,130731614,29412915,186248337,161774756,301523615,5615243270
"India",588385203,352112383,374621137,1830539516,105537891,313041248,113082360,3355359540,60222602,223048210,63652640,0,2403442132,339112972,55908261,907255489,14514510,1662617506,35387821,76488701,3288643944
"Switzerland",1007650168,3881098243,147543585,499715490,1473879013,136550915,1246976347,466516232,35776223,18500590,135411746,56777256,0,735034662,256979950,9971073,4987424,555392445,792856504,117480940,1629098029
"Russian.Federation",157053179,587156313,307860905,96478836,247089829,157329622,134508244,38902476,24701698,44434086,85786226,20981592,17478812,0,43236125,5646319,11429068,12927452,82237539,91207716,3151513942
"Netherlands",361849586,4274335993,645358175,706547478,583508235,174044092,727746705,2300464849,127369587,56003750,273152188,106554975,118025639,378445845,0,144711327,13842848,87732460,178194571,308507618,3426125812
"Australia",592671151,343364020,988062242,240194872,385383462,632721216,131496761,75480737,136360139,408162122,99053789,183108750,49356029,6883026,44360620,0,12137179,108084648,55883023,111678440,3155736201
"Mexico",10737459763,615099647,434587834,64662193,372413842,721039395,155419079,39376414,451074125,273287874,400889003,204060451,39619797,81011898,28031797,25508790,0,61396885,33076775,45427486,1621403706
"South.Africa",175542245,272681986,200786761,614763596,109143198,93607085,76954026,75315153,42979063,30903156,44462228,70991520,33560014,21167142,22642003,149402845,3644995,0,38478679,55233890,623326529
"Austria",150932599,4622372080,195936316,145839448,1053919030,74667035,374285931,176907782,59562317,15162999,86880895,19226618,581307760,156855918,201456816,4946016,7574343,32508282,0,138858481,2000114359
"Sweden",184572225,1745096546,172329492,923670620,352202022,78530420,435971303,310296679,34605486,19042586,214032675,35514141,93004942,165012161,386651084,15612726,5653095,43294787,183943691,0,3433569444
"Other",8224723899,18334149025,7392082694,7919134575,10164206175,11490781260,6739239016,6671504919,1566799902,3415856269,5014322828,5695213158,6075212708,11112934284,2662154713,3411960632,827470443,2803055440,2471686890,4333126953,54439858849
