"Country","USA","Germany","France","UK","Belgium","Italy","Japan","China","Netherlands","Ireland","Canada","Spain","Switzerland","Korea","Mexico","Singapore","Sweden","Austria","Russia","Thailand","Other"
"USA",0,10393977532,7259305088,9700552665,1941394915,2848980102,10517639621,8636565061,1917864889,19301013875,19050206505,1366122541,2931446402,1816305905,3764058688,2575522966,2018146700,881462361,1549602475,1301512919,15847288357
"Germany",7536930000,0,7975052000,6631643000,6474748000,4575559000,1972406000,1671143000,7326495000,8872257000,272020000,2190872000,5075164000,246052000,128457000,94010000,1563419000,2083556000,532659000,178509000,9801533000
"France",6241618092,11262388837,0,5419802307,5097219881,4620192012,1391698663,993171512,3809010748,4116243632,369316422,2944594667,2795611815,169557483,66151643,1201780303,1060905386,478865697,529774109,190973556,4975766011
"United.Kingdom",6281405302,7667038881,6769559074,0,4136596867,2579935165,1085201222,1486023927,4849674671,4588746206,222992693,2048693430,1132386154,248793915,94948778,2177111314,651529792,344378441,337387043,171611205,5271930692
"Belgium",7172077967,14944847582,6795381626,3978572524,0,1746683480,904230015,581278458,6584122911,11881764436,147207716,672075123,557832694,209688767,204491282,216015445,465303941,284813750,274522724,75116710,3468747003
"Italy",2128621950,8783010293,5942076041,3642445745,4053443189,0,716477182,857751693,3346026534,2616587469,91215510,1751196894,3096263078,245792600,90863237,125668540,497779803,684275432,152631337,135970272,4791638930
"Japan",8480158182,3244451295,2006382503,1612015111,639160709,966847529,0,3685343859,364045034,1786024668,381325750,294107031,1197174520,1666386107,103322393,563164717,418271196,126082533,60500052,1327635908,4366727227
"China",6160027766,2294846327,746582467,667344855,745350940,529440000,9436197237,0,571113578,288836376,927338899,323961539,394012439,7734316365,188065694,2225244457,170663921,85071642,1475450761,2139801058,8595181441
"Netherlands",4123445895,7356440428,2331165270,2920346618,4436356254,968658872,742181187,559081608,0,423206309,76111342,925671042,577821546,152925180,59030918,125932926,252144136,150134436,171651544,79250504,3189945583
"Ireland",1507852179,699495941,405165070,2740288105,279903727,197188028,362444056,75746188,351275275,0,244303224,104691285,314073709,37923874,12262015,8071832,26503640,23630456,35980673,3545406,1161759349
"Canada",21666401241,1168060238,795377693,946851249,184904787,399507926,498679818,811860714,283787721,1046243062,0,161462237,348820092,224905336,232714503,70547174,387705929,76899954,38863467,91713143,1864165455
"Spain",1489496045,5792668539,5051504171,2753142415,1690724202,2792868783,552828251,673096923,1971094440,1343962674,54498129,0,1342865193,153882913,114214895,123234898,731942014,235556752,89084953,106209648,3653796022
"Switzerland",1746119526,6844412148,2357438103,1453331848,744335990,2487045073,421008180,231782632,773702831,2751170466,63628188,1011290489,0,53573390,106165358,12935173,101500488,1050626094,18561498,17379814,920075934
"Rep..of.Korea",3491100390,1213558024,583653402,434087836,304995598,383090948,5790795092,1483909603,219311349,79396887,304787651,116992753,211776948,0,36855182,407831241,65083953,49758040,193519797,324141714,2098661681
"Mexico",17957942907,996075490,525431831,404367949,172838169,381845331,621971677,631865208,180212870,645514774,395040611,340511853,368387077,330638661,0,136120651,75217276,53372277,139710889,55189808,1348062718
"Singapore",2070992382,712215492,721441095,443913594,142341798,160180400,1211718131,456292732,190003362,170582474,38945254,75634902,329110342,271522054,16706674,0,19022531,22570004,4122766,366268333,2333840659
"Sweden",428926531,2110718052,1252130231,1072298233,809890560,291665844,289802919,96795861,902117114,161190008,16807203,182940090,307957675,71185572,3198078,4198208,0,141528801,37066330,11462117,2874733390
"Austria",597210458,5583144533,693984307,401838453,423851529,827358092,131078616,104757345,598838395,474523249,20770066,327822262,781420699,17682828,5674930,5279806,181252858,0,13337932,30244369,1301815699
"Russian.Federation",405767810,1597654120,781999955,327056730,259258757,340661825,109222452,250145058,271859229,52638423,34487672,136295627,176922367,302863590,4767032,2857720,119955356,156934054,0,21539355,3467254479
"Thailand",1144547649,525326702,241905928,225110204,154120990,146046182,2436422086,649555423,149087706,48812114,59579536,98420552,127915110,499156014,20452321,876443949,37421368,25289009,62923295,0,2078256691
"Other",22354578429,28610783312,15017052656,11381523795,8282014000,10567996787,7282730353,8100092035,7875397965,2628791539,1161064784,6959496672,6560398026,4560301247,2080762431,4210921781,4614169967,2870512372,4948610319,2856041554,51067752215
