"Country","USA","China","Germany","Italy","France","United.Kingdom","Japan","Canada","Belgium","Spain","Netherlands","Rep..of.Korea","Mexico","Turkey","Sweden","Austria","India","Indonesia","Finland","Switzerland","Other"
"USA",0,35448017632,1883687243,4936889536,1273335460,1470967131,1468657794,27374215003,475897419,721208343,399003010,3828730038,10416994250,1942215319,514152302,327949392,4212553709,3906476174,1068837672,251884061,43572018718
"China",3694329654,0,585777265,740447395,303625256,228762808,4380324883,1035243459,183846810,113569003,152550938,4121068681,62096365,69254034,258843059,118267608,324220078,1603970308,235312769,40039044,8754809743
"Germany",1216581000,5264267000,0,5678691000,2744081000,1289964000,260149000,496920000,1804156000,1008376000,2476123000,383280000,29874000,4219715000,2603507000,2574228000,1285924000,900277000,2394176000,1910704000,20958629000
"Italy",1158648255,3544287495,3379017164,0,2781318622,913702257,162441811,470547112,1152037913,1192372156,1081930959,232463978,21245414,857632642,777734253,1835654516,912683697,441450025,526397453,638793751,15178998076
"France",621450644,3865121628,4433752518,5913922544,0,1333443464,176469977,303587762,2987663188,2606425193,1287963713,314163475,34380395,1231312227,863677557,564221236,968252821,551681023,1167612529,554378390,12066141951
"United.Kingdom",1806604619,6403249818,3513685238,3307976013,2512864727,0,181181280,701305993,2426723464,1149238449,1928158010,362958062,29081353,2621382069,1941224793,568431992,1575495016,1057870443,2177818131,145660693,14410648247
"Japan",3206424628,23726028884,450342020,2412781751,1107086244,412584244,0,1918344303,87681879,250119191,110123204,1001938862,34028024,55653647,376221444,303422581,304365682,2228037765,600203571,65529810,7272780871
"Canada",10802415451,3099606472,288262285,560606385,248933095,201138262,98201816,0,78508640,90112939,105254619,306032504,413755007,116913631,48010613,81176442,490194554,235173767,124829275,33144727,2074988242
"Belgium",417813112,1750374013,2561066940,1181635436,3251844007,632149849,46848375,123368476,0,436523438,2769034680,85788010,34958641,527100460,356778372,139864832,348076545,539927368,616339396,138005104,4531271529
"Spain",569972091,2139640093,1624376478,2755781266,2392777541,658351363,61397701,108409334,486411777,0,546984019,233063029,17299063,546818232,480689207,220984249,620263932,343941801,814544845,88224964,6065822249
"Netherlands",559002419,1608815655,3510121859,901863200,758814779,574909761,52088566,122809605,1851959736,247346594,0,114085567,8985352,806100146,1156609161,213278505,360695732,304901261,613684898,103758579,3791043295
"Rep..of.Korea",1708793364,4121794920,182362263,763148531,159286139,173679775,730726485,525330962,51273968,46148033,42590399,0,17557177,14235887,40279689,46033741,300864701,880159385,72572112,31355277,2441119732
"Mexico",11581578695,602595758,177544635,322715293,74510881,34805711,98748308,329970759,47487616,502394977,21053494,298182571,0,34573491,31645340,44286144,88747858,122692070,48424368,9927498,1590679490
"Turkey",607439119,536882707,698591680,905953878,286002070,305816488,48747569,48793157,96862566,298258722,131113459,282939025,6081503,0,120129016,188349572,291240142,187890475,142114617,83000675,2149494017
"Sweden",122775138,442430427,794305472,345859902,149567751,263104010,16888638,45407215,214963513,70021834,282579292,58547073,1141551,228490461,0,64550322,165123710,28280102,657085809,42528298,3182426809
"Austria",84232215,564201931,4219289201,1143151992,261401662,139672181,24588827,32277583,123166039,162160685,220405567,29426713,1869783,365877291,267142569,0,115334844,93470450,182956454,284332138,3165454298
"India",383992107,485658773,135309614,113728996,50632377,143333941,57769278,179008773,26193332,16170590,42881896,135013590,2645660,11106049,50474693,15476605,0,123533278,65416637,59431441,1741165114
"Indonesia",441997684,253528638,90500849,31191430,29819202,61789101,170785715,130557622,30817093,6311204,51014556,185967071,5325969,5895784,59024608,11620943,24189285,0,11862025,7734489,897367396
"Finland",46225704,305003298,424430924,175666019,85914537,137399389,26102298,15741632,68602389,52109554,115649434,18343978,1015303,82884804,488712908,59563350,63364216,33104846,0,19470142,1701237533
"Switzerland",152843914,551571807,3897272613,2054870933,1190283967,217596906,18055241,63961368,206777010,174610173,276899414,13853862,817705,138415265,228805681,713350715,144268646,50875963,176398883,0,1028519187
"Other",8003484072,19673299472,13308286240,13649878113,6314311760,6619722192,2198320816,1242096271,2920514592,5568493392,2639954198,4301072431,461967831,3475951987,5027035253,2915883574,3707257512,3729349781,3641176270,969356181,39855253325
