"Country","USA","Germany","Japan","China","United.Kingdom","France","Canada","Italy","Mexico","Rep..of.Korea","Netherlands","Spain","Belgium","Singapore","Malaysia","Sweden","Switzerland","Austria","Thailand","Ireland","Other"
"USA",0,51813075767,104039049423,103139319532,22879733479,16523320964,107124855737,11752430479,94397322489,30148450443,5415438155,2534370213,3543509531,12156950028,23046221279,7351277190,6864829396,2547375712,7635334027,5787006025,46029829212
"Germany",29652964000,0,18528414000,18465247000,19578789000,33530287000,1162583000,19370796000,1417348000,5511916000,19184092000,10553975000,13274165000,3606186000,3173729000,4495277000,10435357000,13960844000,1327303000,5273060000,65708883000
"Japan",30379851111,9316554713,0,33800524164,2954271415,2212205414,1219744491,1612117130,899585862,9314224667,753844925,260452028,624631789,3894353411,5876851941,991605440,2166728709,431661582,6471643628,1633531927,12486002069
"China",17536162218,19461474870,51343277606,0,2089750181,4345342535,1324090691,3345703901,1057727336,24165003879,951423877,656439203,803083818,6176196202,9117574378,1955427658,2139220858,818555602,4336662873,609809373,14277995563
"United.Kingdom",28851880712,39111917768,17060189769,13375290795,0,16686539234,2589533057,9552191236,724326699,4257670618,11756756061,7210885811,9644960169,1717685893,2681131159,3381293253,2211760126,2882247978,1879125896,6307622677,20911536497
"France",15031463857,35822554105,9714441964,8878553500,10905793578,0,862042174,14371166609,462429294,1874373472,4210062227,14314619174,5844802101,1381877307,1428393029,2143322975,3432341881,1901349399,664650358,2661832611,16568365721
"Canada",86248292723,4062269283,8812885737,7675472631,2834081345,1817749397,0,1482007512,6965458869,2785164224,374067834,230770059,300597486,622399311,1419891587,815714073,538369463,493872846,643515475,224482560,3424165826
"Italy",6569188193,31072543247,4848606342,4920631456,7185855217,15239336003,313892459,0,152263163,2214945841,7585841398,6865591114,4649018938,160244219,256720166,1967022454,2419559386,3329960939,534403839,1513237519,13119651125
"Mexico",52205915036,4336644382,6127740412,7552663725,674145504,1162555178,2147612911,1351669920,0,3202379892,229595520,882467126,252825794,1163574140,2585534302,569817643,386382678,115658341,821149997,94943565,5812257844
"Rep..of.Korea",14658314539,4759137146,22681317374,8960354845,945263092,1146977476,350815114,1004360603,186709092,0,938516848,142482671,265110987,3301879828,2179143811,446928946,782922726,206365019,940429749,526733249,4396774193
"Netherlands",11331578816,16310758655,5814250758,8561226364,5527489887,4252484041,384815794,1944106247,364006839,1760304175,0,1437002345,6305228993,2804299499,2925343256,2222614807,1949376646,623083148,1004736024,3094106772,10071767618
"Spain",3908580435,21575547222,4732282216,3884718483,6228882878,18855049595,222102499,8559821266,226442360,1952709435,3290760161,0,2846724847,370240628,415375442,1373167617,1035637620,1353072799,547583149,659029435,9532218512
"Belgium",4600767993,18552086220,6367997650,2810480932,6008680374,10161817824,269722578,3229988756,278317430,747398906,9385236924,2263820555,0,197142245,335212417,3628090643,527842430,514892596,630452236,951470531,6743525671
"Singapore",14098945656,3681752431,12368424540,7994160115,1620145032,1175023151,398648465,1064725290,252217326,3852974497,667024836,127885751,220820661,0,16417612110,388904092,1544031727,232350074,3766048146,481718594,10629472909
"Malaysia",10999471642,3196326564,10467200109,5267651341,1032490067,924640276,167195223,367656836,115180102,3714123892,267024834,74949814,154784356,5534960675,0,247188702,272009565,89983614,2056500023,626166642,4913811043
"Sweden",2497172679,10064530256,1460094836,998596663,3400286703,2514319255,205480089,1555326235,23389032,481307002,2944881016,608722833,1911320784,60707098,120947166,0,623099438,655928764,146021383,970625931,9500250483
"Switzerland",2711642972,14926492240,1531179653,835086218,1856800006,4118469079,176254532,3035363533,29520962,300369780,2152265374,670364301,1088796428,131755036,95354254,774514979,0,1400231215,224717822,633941734,2889529297
"Austria",2588871740,17960641860,1814496229,1100217511,1228622285,1810955110,245685449,2413216897,93310496,516086868,1053431009,776052254,590940173,200522194,227656906,595599211,1891543885,0,76053124,305560598,7004350830
"Thailand",4134249790,1571730294,11710608053,3752979633,380539079,437127838,94230545,449089582,109935910,1700706769,239552084,52096383,93934745,1842340005,2767062022,164424357,389909383,70774962,0,51720889,2822077901
"Ireland",6222767365,2479614482,2198638136,2108907952,6460653353,1169006362,203412300,708579220,220169295,766179602,984363604,382776803,290513449,1160284022,474957403,308384603,186029201,111838898,337939448,0,1589416106
"Other",76329720892,102260636069,61753791854,38408355335,26719537945,37854933635,4535824032,35275696360,3251170735,22436241887,12521788722,15496338338,10219168042,10218919605,8132957069,17008463787,7655497488,8835495651,6553942199,3913608047,92506208391
