"Country","USA","Japan","Saudi Arabia","Russia","Canada","Germany","Korea","UK","Netherlands","France","Norway","China","Italy","Belgium","UAE","Singapore","Iran","Spain","Indonesia","Nigeria","Other"
"USA",0,266916522,18718030170,3606778932,42032563983,645992288,433762385,5825842616,1165496889,522598862,3541189821,498651143,604712158,1138479170,258856262,101206037,0,388911666,525104342,10876509746,70568630590
"Japan",831121429,0,14213593433,877634540,505374566,19726644,2505592694,5095067,2169418,6438324,230418669,2544911367,18649880,4360787,14186242406,511131394,7407822372,8012527,8213998985,883612024,27592877099
"Saudi.Arabia",18460158,514143,0,7446,885011,3724352,1867303,2532630,1211360,4971086,43351,1273064,1435246,3439735,28874450,2196280,675426,1069440,15385,0,21339229
"Russian.Federation",12422384,6181584,0,0,660695,22365154,11815078,6871990,6114294,8381317,1561631,49732676,1126600,15610088,22466,1856975,8955,441079,0,0,963160554
"Canada",4197028575,6598191,590737988,352577575,0,5445754,4483167,1997866362,190465417,37330522,2806638155,28607094,65402577,15116865,58,2740820,20,107302554,546,302892755,4411863859
"Germany",135347000,18318000,769642000,6819933000,64772000,0,168000,4328818000,5177758000,551665000,5162315000,134566000,34087000,1337055000,0,367000,5250000,93465000,15346000,670115000,9739860000
"Rep..of.Korea",479524547,503144149,8777520667,565219460,202658975,5297109,0,3301927,8907695,1842043,74606963,1619418855,7600314,929622,5608644539,153185810,1795571203,944604,3110333353,107381338,15006965630
"United.Kingdom",169191189,1261091,534193849,2160159753,64485904,492101237,1948950,0,430773825,891082981,7932396708,78855526,47845176,638426211,350038028,22922005,0,68153747,15609097,26988323,4694642191
"Netherlands",222263856,8841685,2107684212,4019286860,79910010,1572312030,50416610,3681620687,0,704117598,2138510200,62590896,51409829,3198203587,20362,45121328,408179065,185544166,77505018,278847926,3939103095
"France",270077082,15696751,2255725691,5708724764,73363848,998528924,1655742,2917218375,1211952259,0,5646047464,149775663,799517555,2128696123,340898506,66026106,1126534520,325429081,26668304,1284754014,9415120227
"Norway",37598123,241916,0,58277417,177318,118948013,0,283465367,46817340,28605058,0,6186447,1280344,43492161,0,0,0,524174,0,0,1143516018
"China",225616223,467781103,3763614757,2096434235,34419290,30037703,1948460850,67849675,25314029,14083742,241665991,0,3428056,8992709,539115162,1544806517,2965086819,9286123,1161905536,58230671,12083459597
"Italy",347224295,21402432,2112276891,3753184212,67714308,170743703,1841,479536658,78671276,1012069036,1085645284,202388710,0,184044968,752,6985,1934389635,77077037,325946444,387530100,14483269016
"Belgium",200141370,751374,848380,1203342311,15218938,819829090,0,1823106001,10835140323,886295748,1830890835,61854015,53791931,0,75847808,4159,0,125187789,4172417,0,2524415694
"United.Arab.Emirates",41307890,4437992,64556680,671756,849453,4842448,10165457,8482660,1796958,16501923,1124,720175,17220773,3252509,0,5307921,29806872,5028011,9645,0,54645186
"Singapore",493625703,37291196,3537638987,190551067,10645917,8976219,365051816,13936420,66675102,20798719,24187511,675866317,59393883,5858404,1682879121,0,726153697,2408142,962414498,10408160,8908281146
"Iran",70019,1151408,17536999,1342918,812807,3181162,2934127,776659,3250913,24131327,0,74072268,12310807,1364876,352362079,204784013,0,9669309,0,0,738136979
"Spain",211392976,3924750,1537519614,2449992232,66059593,182013176,75487,706124153,128939110,543929363,877806337,16916419,1311234996,75346319,40221503,0,865209084,0,117257755,2187862769,10353286522
"Indonesia",33146152,29340190,1324734051,0,717827,2782383,26683347,699035,2373448,1659434,0,628559203,5940427,4312783,20795982,2324313576,59164289,11000,0,860327248,2325103452
"Nigeria",22397726,13745,139937,55476,0,10022602,1485609,23687934,4268288,23965763,1280,6543906,10143099,8175856,9856,377637,0,6018181,1706338,0,48611970
"Other",8310381426,868617598,12723018409,37739795255,280890175,5373736654,1900185893,3830122452,1793782845,2496507234,4703415909,2324543622,2824487916,1457668880,5695477752,6102355110,6251306217,1623106941,1995713133,5548950943,59762058846
