"Country","USA","Germany","China","Japan","France","UK","Italy","Canada","Netherlands","Belgium","Korea","Spain","Mexico","Singapore","Russia","Switzerland","Malaysia","Sweden","Austria","Australia","Other"
"USA",0,79110073675,210517154647,133339173768,32617719765,47662416670,29405696956,259731653672,13173711452,12811784789,47814032478,7931047367,157820595364,15594001562,12560118599,12084298139,29050830050,13096895540,5937947995,7898785827,346875031588
"Germany",48186410000,0,40267403000,26035278000,64562124000,42056519000,43233404000,2885643000,55698680000,34929112000,9453760000,21399054000,1984070000,5409984000,14568801000,26030484000,4597239000,12483353000,28655180000,1484446000,197262890000
"China",44747868764,30356020930,0,94326727397,7654865900,4758503200,6451387936,7352990098,2969411023,3519779645,62234102269,1745936185,2139840417,13994472988,12127411073,3636716454,18174736849,3339568751,1509821978,11552488752,111402708035
"Japan",63702091060,17071401735,94340409609,0,8357015001,6662584769,6899325565,8413347244,1987504376,2089509785,22046495226,1744654584,2172023227,6291717670,5710047322,4814188831,14117953774,2112766850,1307080243,19454410268,145897966013
"France",27860721091,75411979579,20519901611,13272245725,0,28122469566,38965546798,2176586610,19130125293,31585019530,3896355156,32026362992,785626068,3089347010,9126500639,10095051716,1932533177,5581023456,3956670038,1159574142,95300297310
"United.Kingdom",45420373486,68165138148,30097197794,21604009985,37904204908,0,22826430406,7979284387,33742624212,23837838351,6746880516,16341153899,1308295771,5778566455,7343428445,5053578946,4386292065,9537815699,4409743624,4723988885,126623066974
"Italy",12276987293,62953161224,14699243952,6865005730,38615241279,15248671260,0,1669866095,20075903165,15670589716,3962717046,16511460930,369600719,335763614,8174299164,11712478208,804880701,4764385073,9600473215,1352773209,94104593925
"Canada",160827006671,7253190128,18549052876,10399999598,4107773045,7432389546,3516481242,0,1190276291,1041653981,4486976596,970957145,10339012513,752206932,1066068522,1281121138,2026750753,1665015009,999981679,1419325966,27944334339
"Netherlands",22083621695,46848831998,17827384053,7986125600,13348541263,16134487696,5792421180,1094111517,0,25932741246,2558228238,5328215818,521662209,4117778271,7559645339,2437378973,4284626355,4684681487,1616489229,574057014,58104719026
"Belgium",16455889407,52337243150,8521748285,9082497717,35071971870,19655271627,9034746091,1305003281,47204934412,0,1555741962,5519298214,701421500,576391159,3896556761,2192191376,583668493,6106225450,1577737871,775548244,61930065627
"Rep..of.Korea",28918644070,8485466402,29584764201,46144462108,2492144009,3793324202,2500190027,2188693056,1728847709,910241237,0,561932872,411289457,4460496298,3671455075,1214415969,5678676461,762255245,454249711,7437672413,62137872606
"Spain",9323713422,41508048341,10613252154,7152915444,39610467022,15915758818,23568114316,1142012188,10602575419,7992537344,3325361701,0,2225780615,551059858,4541402287,3915928360,827704229,3363246993,2495993411,614550835,67351149114
"Mexico",111262254142,7143227573,14373445920,10582958432,2398545665,1457805118,2816717921,5327112991,700423425,714860063,5227475594,2852291995,0,2211541409,437179633,946351826,3373463058,866646565,362629244,403643099,19101883397
"Singapore",20700503770,5679814633,16188210982,19093622212,4159455705,3140564329,2088769247,651136904,1643259222,721691510,7012844117,337532317,447414325,0,322594833,2311220273,24972500460,783590514,501193159,2298524300,46670576795
"Russian.Federation",3204588314,10551756532,4730764455,3886988669,2921839152,2053900841,3181574718,334165546,1374647585,1175865177,2026250948,877645167,62391993,161548599,0,638644081,423334395,1610713380,918243660,151389286,34153230775
"Switzerland",6303605226,37322000616,2287952220,2453624369,12166958349,4705042903,12763610828,540094111,5629177602,3422392939,493285960,2772280515,148642575,262274990,839176011,0,155914611,1349848322,4901172943,122806299,15740243832
"Malaysia",15258594406,4669520183,10335270009,16944508965,1456488973,1739564083,946763143,462535547,904329781,404293572,5223821779,216621950,134096288,11651658395,466500354,1003373550,0,780644120,139661360,1789736826,20986625802
"Sweden",3486929499,18864407270,2396057260,2117966099,5619320470,7510127819,3458160918,339132792,6809051538,4061620228,916313097,1609040806,64887375,107889592,2196629449,1185866632,197714805,0,1121353015,293078722,36962870712
"Austria",3672041542,46934769919,2710712143,2453375024,4440398686,2145401252,7532836636,356982506,3110043497,1863452998,844690376,1731941864,125557767,173803681,628785915,3453578086,255818738,1480911146,0,70762011,23906998401
"Australia",15871756441,6166103880,13947088904,12714932268,3321726439,4376561773,3322078132,1438744199,932785847,919938298,3643963950,969281594,530982038,4577683586,47857622,1029026471,4177791569,1321690822,629502492,0,23169777887
"Other",149841772529,212059314157,105307944986,100665221663,91170826939,80170763378,88941284268,13109631257,43783245122,43256136433,44706644703,49388889141,9029793678,30380253493,89171214424,32107783435,24995166868,42470531920,24100905222,24509953262,514364397749
