"Country","USA","Germany","France","Netherlands","UK","Italy","Japan","Spain","Belgium","China","Canada","Brazil","Australia","Mexico","Denmark","Argentina","Russia","Thailand","Ireland","Indonesia","Other"
"USA",0,1064797418,2869854091,2240996450,1702487268,2602972325,540517363,1059893006,300651477,3147906367,14335941453,2077947153,2640411122,8512657854,501539323,752012044,317022511,2308606388,467382246,1364285943,21263380646
"Germany",1728196000,0,5819047000,9807035000,875733000,4611334000,32787000,3428985000,2832139000,822223000,235614000,2289626000,196794000,109946000,2403747000,815431000,150370000,286141000,980689000,568375000,14257240000
"France",736286457,4363092393,0,5410624911,2238257390,2975320068,29242527,5096843702,4635409375,295477889,188740429,1416348099,92510527,73462082,677140874,367887599,39460247,199495528,656557409,162535606,7882496642
"Netherlands",1128917368,5992260850,2507522017,0,1117134572,578608867,34125190,1204536816,4194451688,383785192,52030213,2283122516,139948867,58867946,412534769,771986599,17910000,250012059,421164370,487712473,6197473615
"United.Kingdom",1923833801,3373397404,5336402387,6381503609,0,2343906998,32780986,2506826960,2137508869,394102312,394262231,1342378687,1514963036,89718722,1998972074,362260363,136530082,461847569,4659262724,218285159,10152176778
"Italy",696651218,5327782727,5998492656,4047291743,850350951,0,10705367,3719575337,1334313622,281475988,279640637,1039561533,122943156,40348746,1076241854,908417843,125818408,204967289,361362756,154804655,7661595285
"Japan",14420094232,358325899,1531967116,535214566,374050590,674515328,0,339040384,191345999,8051710084,3197057524,1514476731,4514049598,513459195,1677445933,153288891,1097060182,2343292919,92540102,947069625,10709503647
"Spain",1102918125,2606923772,4121827292,1992642437,1821520910,1072862967,14491167,0,635434213,296102515,266946904,1180921309,47008190,91783368,526792208,1431847095,63538345,147485510,823680108,189312232,6752468282
"Belgium",415288883,2604861716,6150064077,5862276063,817851719,804367325,12644754,734125031,0,143927372,337812017,713879506,65707181,36810740,215901528,288363144,17710388,85750593,236847843,152100314,4625104231
"China",5212271676,65532555,236145081,164031921,120686277,35108674,261122762,44562835,33655714,0,1332685607,2814881902,1070184203,29123904,134639988,2694909463,850166093,923758351,29581772,867832840,4692059844
"Canada",9579562974,143788921,478400037,217532357,281671309,414643390,44375985,131213912,115168289,460324522,0,354033873,348864810,451231091,56796869,82994255,77210853,305187971,83111709,71495463,2623877475
"Brazil",165093381,50187669,76179519,47716073,53872382,50760206,5034569,58630853,29845033,32853309,24165078,0,4653648,8933671,24081226,1447089362,1402902,39226633,2420875,79991649,967074016
"Australia",568248004,102814162,139588496,141093002,239076037,256038864,48017037,109369508,49050896,292962393,140530265,111616089,0,41292810,146785721,38264821,1386077,329664361,306136495,94840517,2162084597
"Mexico",8821912230,93368981,106445715,91880390,64308692,56617925,5135278,176743730,54040079,143164033,1184113951,335598239,83768672,0,25265548,170633542,460762,15616147,31326129,30968024,1456183624
"Denmark",177923090,1768309714,525375675,1097793938,312535469,380921859,10906804,313291251,290442737,63984575,115629171,130240443,56435894,6634065,0,379478331,56586615,29145001,126968882,39421852,2430193548
"Argentina",58551722,6806963,16711532,8415001,14468758,12521174,805485,7262142,3310322,9480055,7526312,284885679,10699684,5840708,6333272,0,31873,16655514,1004606,3806312,354130836
"Russian.Federation",743430649,775198729,487535594,507528875,200945084,297203056,11028984,264248785,215141951,440634031,58578639,1247943474,22894749,13607720,250785494,339478939,0,84741944,103658893,124090782,6614052017
"Thailand",487829383,48239454,82358074,93147164,169353341,15856994,128143471,17438039,30827261,275284720,110458483,335071027,209206759,2930861,22103101,313939269,19817547,0,34392466,280550323,1383099652
"Ireland",251350501,235454372,336391808,431687202,2643246583,78888775,1662096,106010871,157432230,13852780,15777329,119139267,72690823,3406130,52314706,45807333,54817,16695154,0,16331697,366462418
"Indonesia",702005275,27896310,41333254,103593615,33941022,12753475,27567098,2102208,23021548,357448322,160862471,176101687,929335769,1660731,21673551,312654037,201969,380884736,13032646,0,1202333032
"Other",17072051443,12249541238,9846416199,9604614740,4436585605,6077720837,721670229,7051817930,3459527201,5369587006,2892313125,9566230457,6663763981,684218359,4390966438,7500383510,3109772706,3902431060,1614839924,5047300126,60099328513
