"Country","USA","Germany","China","Japan","United.Kingdom","Italy","France","Belgium","Canada","Rep..of.Korea","India","Russian.Federation","Spain","Netherlands","Switzerland","Australia","Mexico","South.Africa","Turkey","Brazil","Other"
"USA",0,4981283145,17450289097,5182177541,3182359890,4572327014,1990947240,3515516172,23458129632,2503804616,6496742043,4856952807,1396449897,664754305,881385892,1129567131,10356702116,4003112017,2098381540,5242887155,27273166129
"Germany",2183253000,0,2831345000,789700000,3173697000,5265167000,5862864000,4639193000,497335000,328515000,434812000,2771483000,1855342000,4879524000,3355181000,347113000,69379000,1199694000,687227000,1409279000,24447937000
"China",3244594292,2563319063,0,11253139548,530037046,640697248,543353073,1354819466,1420398148,6823695174,5525960061,2394151067,282827559,245522730,221133119,5588694023,524704893,2183113403,347236311,3736813442,13658996276
"Japan",3101397917,908980788,7284781574,0,611940478,538734074,686359752,432178332,1093193084,3132930018,1172688518,2130181096,211979430,128756646,714245424,5141131918,391092410,2890732051,42457762,1537685407,11519366253
"United.Kingdom",3782195628,5240332149,2588321327,811924380,0,2710485824,2914704525,2032450369,3628668340,183274541,949399566,2002706049,1438662557,1478398346,948716388,1723198513,104198902,4548082523,818410341,362023515,14531389760
"Italy",747306430,7057956600,1645949976,315624781,1763906775,0,4774956583,2014226916,235963752,230481991,582255579,2083254138,1945384396,1431682859,2961781759,381464348,66893838,1620357438,1093339815,848615854,12911299247
"France",1017260014,8830025109,1306192294,422237797,2212368524,6480096794,0,6775292309,197644548,98736443,180684677,551128574,3464649734,1577894772,1164316035,206525031,21783866,329262039,287724413,652918886,7992995770
"Belgium",1403485725,5376235162,1261784902,256043880,5029404730,985532958,5162665657,0,354812077,182574422,1809412358,1581488259,488541182,4907075317,658486876,397633268,22948764,876737578,333446026,697090132,10013253424
"Canada",16859157465,695227214,1994918545,488939809,459367654,483330157,319454324,204084571,0,336291038,218777678,172987967,185300385,83928377,62556160,310069804,489970868,234650568,187750942,560730190,2991205395
"Rep..of.Korea",2611657225,762597694,6147565386,8841656303,1637562695,195937636,275122288,137087171,396838331,0,395604620,1868130334,85009925,91084385,226260690,2526506223,115020675,873079790,30980364,1006960280,5721513413
"India",768922524,456173301,700165006,407698761,2032125880,175977379,158860471,3903667588,91379232,405571328,0,594447477,83805354,63150032,3834512844,2187940208,22120959,1418925882,33535581,126891447,6524994383
"Russian.Federation",155823070,763726529,518821795,286674661,150156617,313835729,147433779,103062965,23229593,101983841,16282400,0,117007413,61964984,21738622,12421154,10781583,8682588,164526821,24206876,4722929893
"Spain",404325451,3348817801,998722110,134099894,1807481686,3493320252,3854765788,889466554,139337886,109003281,272475843,920057885,0,1073523727,431337655,241903404,75282769,260805023,738993592,533096056,7092026234
"Netherlands",449069028,5719579132,1039474378,191146607,854822060,754023092,918066400,2933666297,275400634,80469947,157359880,793561224,351120877,0,151434263,129707823,32955496,184144619,158253329,522000671,5995534717
"Switzerland",941019277,4781893201,178188878,190536462,868839181,1925898142,1711400427,564842956,13445990,18317646,74488333,670878653,167579980,321543556,0,12129398,4521938,706064625,28195808,99812127,2871298991
"Australia",747696635,411466768,1491355624,730103141,293261782,444675099,140756112,85500859,141568252,384962836,246169360,11491272,104050807,57395568,55095029,0,25828334,163635415,44543938,60948095,3513521979
"Mexico",12133126519,744284260,790930569,931910665,81571091,497660579,209998722,65709296,758052267,451800538,254541728,94399475,382134071,33067838,40415687,41580383,0,144898701,16251538,628513511,1948153840
"South.Africa",222970913,376958213,325203385,108217741,660273562,130565130,86183215,96101138,45610127,55385865,145018475,16450149,53610056,34949996,36526075,181498129,3745206,0,23474671,83347582,870982755
"Turkey",325759228,1198051987,337024511,109649543,612271569,727737687,562182774,414342501,59608546,138252585,63585208,2622456188,253505403,275150999,2097635254,62161073,3474747,774724643,0,135332014,5913727765
"Brazil",653495650,499943528,191112906,148363803,99702649,171903860,173715965,43160352,105428109,72090977,18016885,119471745,86945808,30845687,39396730,25106326,37577735,113559768,7757873,0,2131476361
"Other",9333134650,30051923179,12430656802,14424821441,10303800256,13848403974,8084595541,9086621067,2053420558,4778493532,10246265123,14485987769,6595721030,4112190119,6604547219,4696719538,848269164,3897874639,5035809860,5017575631,79388288549
