"Country","USA","Germany","France","UK","Belgium","China","Italy","Japan","Netherlands","Ireland","Canada","Spain","Switzerland","Korea","Mexico","Singapore","Sweden","Austria","Russia","Thailand","Other"
"USA",0,12421566728,8113155619,10233931758,2633633156,10768153562,3267953499,11123741551,2204470672,19665399445,22881370267,1458461537,3055683535,2348179158,4818422495,2095102620,2726586821,803036006,1458736539,1426131032,18022795413
"Germany",9896086000,0,9622820000,7772384000,7766490000,2078863000,5600372000,2436905000,9207317000,11412523000,349695000,2733942000,6635474000,308374000,161321000,157886000,1741620000,2467106000,663528000,236593000,10904262000
"France",7058564666,13521803593,0,6720328849,6234391406,1153018578,5464545950,1414727247,4480357309,4337087837,431569830,3467401325,3053789005,175676579,95783329,1172456376,1150417501,520159459,570740519,201893845,5955777617
"United.Kingdom",7174444005,9383798554,7069050609,0,5614548611,1734682098,3078674102,1303351480,5982982435,4630555927,392376719,2242245171,1428818916,319837261,112069202,3349201162,799986566,417027911,579620570,210906339,6611817392
"Belgium",8504172212,18649548429,7226580367,4866419227,0,644900223,2043150828,1048054778,8108385430,15853529619,144072795,878091156,663944577,250949031,301814613,221500289,569687058,383848309,346351289,99252154,4033637917
"China",7715088250,3109070564,970029288,824882176,1013315102,0,700849357,12694773369,695256865,172067078,1597926979,459941004,489160128,11181522468,208393203,2770957853,204212586,94330152,2090810519,2629793154,11571357483
"Italy",2666722717,10972230372,7206064225,3606213754,4978934496,1009773356,0,841592898,4321962436,3062195122,113944448,2350556838,3833496742,267027750,90280337,122471614,581025138,962802651,207967553,175270935,5976935937
"Japan",9354683968,3759619711,2591721362,1899338842,652200694,4907858267,1117506033,0,394788354,1830398246,413814525,433706348,1430609211,2160264163,102552928,602397565,426795868,176013564,76085304,1723385998,5177311733
"Netherlands",5658608230,9084333528,2499415046,3563324823,5491975415,713016620,1232103011,871676851,0,428442602,103845152,1220536731,887238752,152917533,56927992,495225886,383867318,191332014,216591174,102266063,3971193245
"Ireland",1800048464,751935966,505193854,2984484186,488534669,97202464,192748332,453263112,483584891,0,63371610,126007207,403216694,23074499,8358377,6820374,26587928,15596241,49188435,5295136,1243573108
"Canada",23974041937,1475239449,957915226,1242770547,214859874,1126599637,489962534,577405872,294287341,885956270,0,168238096,594923439,302377903,292332418,56638908,432592998,87007319,77756858,110506060,2391346456
"Spain",2009065327,6650919413,5875787748,3163688330,2208909457,811022722,3431537336,565913507,2189570984,1409937835,69013960,0,2036664287,185536351,97381247,121103065,397271959,320621960,125624952,130081944,4516742057
"Switzerland",2096305495,7659257575,2710449173,1585039212,857123805,278498217,3587486470,499671320,990068165,2836445002,178865747,1298877511,0,67374877,98210836,11564123,124786838,1068476718,37736994,21165245,1095679553
"Rep..of.Korea",4314922309,1511849367,656961926,485293613,399951690,2046414772,457342237,7404999958,270457286,103793932,376927952,124629952,243471940,0,37364278,476504282,77850027,47516921,197708355,432067669,2528841271
"Mexico",19901305126,1175109387,742346269,453145769,183150395,756982736,495855556,710512855,180806068,560704853,523013541,384066267,383202994,390604565,0,129855420,77027482,65870407,153856919,64099123,1669709569
"Singapore",2406306380,681151545,876809736,523796249,187343988,632738759,214822071,1520192199,243018218,354998019,42280903,91573391,321688070,346012617,21601142,0,25375698,9613742,3327051,541320547,2932875494
"Sweden",421141831,2476356152,1615035663,1213725645,878445286,124033201,375074393,296817124,1103774114,172764824,19287681,159601452,387265994,80577025,5127168,7202071,0,131970511,100715892,12214380,3362248070
"Austria",622700562,6187931272,817123482,481349625,487820445,155082385,939908267,176724095,720157423,654522398,23720688,351164805,729227797,47842069,6631115,5194464,195857899,0,19630318,42125418,1450697582
"Russian.Federation",407831460,2040356120,1026906916,386148796,298820151,360665538,473066414,155835184,331254424,66291117,43281624,150789745,235946661,332568630,5125321,11860618,150801389,164711977,0,33985702,4373073352
"Thailand",1323965309,595126621,279055101,224224814,151005943,962111356,175002478,3007769785,177310645,72933844,83288927,128968716,124244765,611406456,12369436,1125276333,40736367,32478616,67822023,0,2702508488
"Other",27070274470,35314548369,18275692824,13357780635,10290300924,11502210274,12897236179,8496092514,9981664697,3385362053,1618203275,8675273257,7925840271,5615994432,2419790579,5456429974,5456067204,3675266567,6936599225,3896348028,67073521236
