"Country","USA","China","Germany","Italy","France","UK","Canada","Japan","Spain","Belgium","Netherlands","Korea","Turkey","Mexico","Austria","Sweden","India","Indonesia","Finland","Switzerland","Other"
"USA",0,41674549131,2376730085,5128530628,1398115538,1557830907,32502736004,1715128578,823327515,522705031,457547592,3923771281,1972892132,10416615019,436411827,561043174,4746827666,4113633753,1261515995,335978454,47618725539
"China",5473226458,0,696484779,947420815,381014167,332026544,1356205797,5055927445,133802909,219651537,253006435,4273205153,73801989,124747779,92079862,331275485,474530323,1682329357,306357857,55814418,11245808790
"Germany",1171851000,6742073000,0,5610827000,2881985000,1462406000,517972000,274522000,1102111000,1930744000,2716699000,436605000,4650610000,30286000,2797691000,2773457000,1472315000,991787000,2745702000,2295748000,21557116000
"Italy",1167943015,4459868600,4109804441,0,3367022676,1165456851,491339071,184912719,1521176744,1470537067,1159853386,240902431,1129027819,20999363,2408290848,944192229,1090176038,463608541,571937156,683390986,16559455437
"France",683104318,4777305537,5132549736,6601261465,0,1379903166,303516226,192248337,2831192279,3446760641,1492041807,339729789,1336759616,30108308,645696574,918975121,1118009152,533310387,1276845279,580596253,13139416704
"United.Kingdom",1853117545,7853074332,4199940766,3589415016,3040600369,0,718684858,187504001,1274315435,2735730121,2344809663,357377573,2958084336,25625495,673057377,2154479424,1924362174,1075662589,2141570082,140833748,16628296153
"Canada",11560824799,3904158002,318232236,581506541,267233357,204711573,0,106063912,87177600,79645806,121801816,283763113,138145444,476600728,84104718,48309895,524095989,217922533,130856996,33723550,2414186917
"Japan",3313937125,26761983105,499036641,2626090105,1162858105,447910710,2217853161,0,284136681,91192863,108220110,1028882098,64390754,33915079,320715932,408931032,308094995,2558859649,653643439,73948268,8402906309
"Spain",596861784,2865432173,1877472021,3083348143,2724145753,660476829,116290348,65640107,0,595346170,651780801,215477007,808797717,22929709,276983200,526615931,714791877,387799026,895164949,94586659,7138031456
"Belgium",480166403,2171239645,3012917025,1298014356,3601257756,703905058,184441811,48605465,476376985,0,3065044128,97799099,619515851,35223451,167093945,437542750,420405401,541859062,658065268,105471101,5093961771
"Netherlands",593243724,2119931591,3929211214,967364012,843405105,872404795,135620999,70245082,274009444,2104149436,0,120319166,912361035,11263902,264389335,1172538228,407497617,338733321,652075582,110421567,4165432053
"Rep..of.Korea",1738949264,4572345006,180848450,692483375,151968955,173892221,576571210,716916274,45125708,42723854,68910340,0,18612892,19817752,56873402,33703175,358586197,848028279,69702414,37747144,2685027731
"Turkey",727779408,896221927,853220001,1037934105,303448829,303337320,67612139,55224125,312472084,116411466,149573698,350989274,0,4314472,219714669,177969780,361710888,269910026,193577792,113246034,2819100600
"Mexico",11742997897,850788116,186727888,336183931,84872543,38559222,400669731,75681649,467158285,52205144,23240392,213636042,44583168,0,59148627,27457339,104240425,176454582,55023977,13072649,1959312393
"Austria",99037111,712507610,4784994314,1223291779,290357070,145596208,21489108,30977995,164662837,130040530,236283375,33926765,367458811,2232915,0,284825647,178582676,86018801,196266917,326566370,3693180675
"Sweden",135336243,575437555,955282275,375453200,172009945,288253838,48121059,18083339,83849723,245399357,321796293,55134475,253864290,1352757,70773794,0,187342747,34972008,761204655,46336162,3539044700
"India",362062221,699036016,174610114,116267573,51559655,146994520,201865709,67041197,23364223,39268696,57157114,160813411,22163540,4230071,21902676,76613534,0,128607082,63117723,23505630,2067181356
"Indonesia",485241548,270218435,95103363,41619482,39357388,80916008,186842036,170868561,10121743,31649706,48399495,228319301,6926161,4743094,17189686,77082729,54601304,0,22179480,7160263,1127109867
"Finland",50255556,412689949,478214886,182492659,97364156,149266178,16491750,29939235,65029252,73591012,126070650,21162509,102076615,2545790,62404026,579409548,72292152,38469862,0,17858763,1967245889
"Switzerland",144764344,646457026,4387972266,2223285756,1301799966,222815200,64911547,21248698,193539753,235089441,298515122,15478900,157915668,789955,818427926,238505841,163359140,52383586,194112579,0,1160286510
"Other",8873493867,25378425134,16108004628,15254813852,6933449078,7568745751,1371353230,2452027560,6233896327,3203404343,2996763160,4449259186,4319308141,509022544,3561051644,5645291413,4390215888,4120610966,4068757197,1151514077,48161853255
