"Country","USA","Germany","China","Japan","France","UK","Canada","Italy","Korea","Mexico","Netherlands","Spain","Singapore","Belgium","Malaysia","Sweden","Austria","Switzerland","Thailand","Ireland","Other"
"USA",0,57144835687,136356837324,114421159684,17210709987,24513059381,116832680606,12970227413,37881907193,103357046797,5611824844,2696698076,12793095614,4105150027,24966859584,7478567053,3478549346,7558661920,9522619643,7037761291,48773067848
"Germany",33001077000,0,27212298000,22469438000,39595163000,22761786000,1109384000,22062031000,8368940000,1604770000,22575429000,12063148000,5135299000,16011074000,3778610000,5340397000,17050545000,12622860000,1722361000,5921595000,77760184000
"China",22799385861,23883597152,0,64283480087,5499031968,2893770060,1454713998,4123799146,36547295017,1252850429,1529523159,813897201,8356091894,887866371,12173412802,2399133225,1205911819,2854571186,6018258532,944385772,19181891827
"Japan",31970116634,11527645265,44048718369,0,2374521463,3325549554,1062814739,1926414534,11282056528,1076161596,805871260,474788894,4305337024,718174562,6679971438,1007311241,545847797,2540443306,7888237511,1814619257,14219703479
"France",17908738570,41818149758,12782991940,11210752117,0,11965693933,933337646,16530014659,3271901330,551648541,5157722090,16789596190,1691162912,7063582717,1452932358,2454910576,1944201325,4761323401,873028977,2840531776,20058120276
"United.Kingdom",30204487331,45338798057,17328572289,19267044872,18143394446,0,2692590564,11047781648,5872083552,862033269,16904082039,8797095118,2182943128,10214475440,3214207557,4235629418,2551287798,2401787370,2149513397,8106465583,25404624856
"Canada",93242605250,4611232784,10963293082,9180632530,1922062647,2994112425,0,1480609673,3501120726,8349726617,363311436,249002210,639114920,370263114,1740614423,898707972,722166391,538003406,799487513,337053035,4005223444
"Italy",6418191456,35297614531,7000874460,5485574314,16008765368,7454556887,469687407,0,3205927997,150901688,8964230304,6899636251,173609411,5762301033,323849496,2333519541,2861944972,2882079129,789444174,1620041276,16437025549
"Rep..of.Korea",16780922026,5934460063,12588991543,28081905579,1184240008,1220333883,334313535,1085112729,0,211846775,1153168730,220359835,3563615774,238288801,2324302829,497228013,230031122,670978504,1057165288,658538947,5060765399
"Mexico",52973910680,4933065744,11673962588,8835671995,1237196888,792872233,2378807009,1413555894,4164679611,0,347336645,1332301595,2045100459,346077069,3171563234,677747023,182741256,494443092,1074281798,98495380,7885460128
"Netherlands",13889383959,18986776915,13480506350,6810370708,5606355278,5728717676,414651416,2110085006,2145699690,361646873,0,1871242278,3514569753,7536197960,3325874525,2434683703,797375175,1203014970,1753187835,2913378332,13992208700
"Spain",4772285357,26711996182,5627853265,6364982552,22431218981,7928318061,340005074,10787017528,2760197419,279253763,4434794152,0,404090376,3542658811,483807388,1645234751,1518545665,1279229620,762406671,933244078,12051040175
"Singapore",16486107437,4430697694,12202343661,15441205694,2430597281,2090371205,468636117,1384214612,5614232477,407609981,1000239163,133243386,0,283631813,18647904738,447671238,402805324,1826935097,4361722600,520971438,13546021538
"Belgium",5276549916,21381707121,4103623824,7716704222,11733391494,6729236955,267519402,3726282076,1014613311,304623932,10517581541,2850334338,317575034,0,315171924,4336683474,598955538,676146507,422536392,971565926,9133287454
"Malaysia",12825046203,3857743000,7626097665,12228468789,1059851280,1059501735,203169780,611787068,3964542734,115990372,358843574,69141097,6152145840,128792585,0,647487462,104547401,316070819,3171616619,503252901,5119969470
"Sweden",2575357121,12098088541,1285878519,1709984634,3009477491,3828500044,171131339,1859670590,753606320,48541878,3555137867,725228819,86569155,2220266092,103828587,0,602587113,612216973,176939999,988385905,12225565202
"Austria",2633546151,23424849850,1491713563,2159302670,2294814971,1169096108,240283706,2885618250,739697765,83888954,1216013346,854039853,162359734,674815401,206431226,792254533,0,1569072373,153091380,569586564,8863614136
"Switzerland",2874322804,17597935969,1147434990,1734826585,3960728736,1824367190,215961445,3452888008,391650091,19596287,2496816061,702998791,188162380,1281902406,103428336,815401897,1703614470,0,259136787,768764851,3507545714
"Thailand",3972379046,1722562026,4555319731,14091538984,472923311,563955630,141523024,562505265,2076004840,106355177,266679921,54812666,2259935789,96302243,3070602817,222005503,102317425,474602925,0,67760367,3232562370
"Ireland",6284134610,3150831857,2999870583,2214938791,1657028789,7314668524,203538139,814447968,1190732566,171626868,1211860168,393107150,1083507406,326917143,525768010,391836464,89370565,206442535,385366113,0,1635552591
"Other",87280238526,130854008477,57304676812,75779901277,49797311510,30974423908,5354769249,43114234768,29770356101,4472752157,16835887898,19850379063,12124673776,12563577365,10047238853,22977435922,11809341014,9196521664,8978627967,5099669250,126558993292
