"Country","USA","Russia","Japan","Saudi Arabia","Canada","Germany","Netherlands","UK","Korea","China","France","Norway","Belgium","Italy","Singapore","UAE","Nigeria","Spain","Iran","Indonesia","Other"
"USA",0,4961285123,356449051,21806244679,49720795710,1120860612,1994117589,6472747466,837199775,1119419166,1034937290,4630509097,1734128926,863686077,87512013,234285885,17064064608,496217336,0,729511008,98678354085
"Russian.Federation",13833515,0,7953501,0,1056658,25364535,7227483,9472530,15219902,44900197,7264833,347198,21711969,1169355,475267,16453,0,1460616,7755,0,1155384097
"Japan",1541861184,1467776705,0,18083509572,428614211,17793431,14653440,3794595,2916577921,3285358210,9587203,58048547,4417335,16065491,869051928,18092676145,1405064110,1002847,8201144625,9115333805,32560977074
"Saudi.Arabia",18120187,0,726559,0,81621,5919817,2902285,2600707,2409350,1531506,4117158,2905,2482698,560874,1829459,27236987,0,699911,870100,187262,34227351
"Canada",5610814246,680638317,2581490,896494992,0,9469524,109414964,2249756038,24661321,99759088,162707454,3576411767,57632327,66428947,8111841,15374313,39435714,150024942,0,2736,5605500508
"Germany",205947000,10135994000,31926000,1045307000,175643000,0,6512676000,6010513000,285000,580601000,780245000,6289293000,1749472000,83673000,164000,74000,312235000,215526000,98940000,52122000,13141249000
"Netherlands",364399386,6359982663,8561162,3335936380,112563103,3136670359,0,3998083770,52569018,90669922,973777417,3684745244,3672300450,150237192,58641470,42955132,43405589,406769672,600978634,109530610,5441692277
"United.Kingdom",482295176,4256418354,1404266,1224459318,152701675,628871218,650848120,0,2552960,198445436,1400052572,12762339783,1103124941,56166818,338150,586784043,102982283,82008658,0,73403012,6274818060
"Rep..of.Korea",780236378,903540002,711374649,11164689786,281973181,7662955,8391507,12664981,0,2103503778,40377385,310,1338009,9184346,149025731,7160631282,550328022,10774972,2329857720,4326515848,19394218440
"China",303302227,4187525047,778284186,5427436802,191059569,38016817,82069913,57101097,3212491860,0,25292323,576348546,10471455,3512696,2299135956,1018205537,442829110,10904677,3983293170,1304784333,21541822936
"France",456767066,7717578855,3037700,3663706151,121777931,1746358990,1011484404,3605917704,1684294,204915373,0,7361197695,3429583082,914307862,142050410,523729565,1032824183,376679762,1650126598,39636883,12683483009
"Norway",54849200,142284732,190730,0,836904,62118677,41088448,293979328,3191,13107509,36755665,0,77153293,1514712,0,809,0,3909201,0,0,1397670743
"Belgium",376226268,1800545586,444618,48659919,16345179,1311973697,14744571933,1508453938,4760684,196272319,1198012519,2282765884,0,177398548,2847,212001945,0,91829522,17289314,12593559,3513070083
"Italy",580172457,5294102966,26595651,3159713928,79290780,187772553,150882437,408186042,15296,301301572,1259939771,790715849,110276582,0,11044,15099647,432294956,75131364,2348124136,456820834,18039462826
"Singapore",431499312,162176806,55538900,5041089353,3618658,8632987,226887324,6806827,453851639,776395057,35665808,50714,14540257,122500856,0,1758915851,0,2118092,993591055,1291856106,12979061023
"United.Arab.Emirates",33559527,2668113,15053179,89608632,753667,10374712,1883404,8026327,16231847,2387369,21152898,8930,3834646,27474493,4041405,0,0,3406168,91903287,57863,99241280
"Nigeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",438257378,3305427399,7788217,2015924870,210418016,311919152,260263318,534273002,51727,14119369,602721460,1457026396,120722139,1700028090,0,36130751,2470210701,0,834400006,152652560,14471341510
"Iran",67333,85933716,14667594,322857,70185,3480686,3750797,11821609,4251872,52644096,16306580,453748,1692780,1423931,339185768,1002135972,0,214895,0,0,1002145217
"Indonesia",82428311,33969746,37913201,1763174406,739419,4681184,8371559,911581,68442939,758085009,2297923,0,5930279,5600278,3580421448,200813341,1073845183,42628,6830498,0,4031782312
"Other",10753411338,51109792343,437006147,18163146633,420259977,7740465580,1855706414,4187418083,1040420363,3193024342,2739248183,5692970920,1956221610,3234275352,9160478823,7217927264,8383896781,1832762081,8658774160,2677329488,81631950141
