"Country","USA","Germany","China","Japan","France","United.Kingdom","Italy","Canada","Netherlands","Belgium","Rep..of.Korea","Spain","Mexico","Russian.Federation","Singapore","Malaysia","Switzerland","Sweden","Australia","Thailand","Other"
"USA",0,86933951839,259829233591,141950220208,34771520765,52368742552,32416699291,291865611049,15502607343,13398452097,45522751413,9127800285,172480545784,16149948671,15387765201,34675835227,13455172662,14228270693,7657392974,21034778305,402146156297
"Germany",49748539000,0,50308894000,2.6816e+10,66282124000,47059615000,44784588000,3316759000,58951198000,35246379000,11816977000,22336065000,2519910000,20369385000,4849224000,4634994000,27550047000,13880947000,1490351000,3065587000,242246205000
"China",48741358502,30722927993,0,100407681253,9016838965,5523782809,6925291833,7511155033,2926720742,4005464530,76820404020,2081639051,2225294549,15889942926,16514595725,20093205062,3890300729,3122198262,16193626752,13991887187,128250182406
"Japan",65403968809,17823015036,108477568675,0,8528450723,6702598359,6863260626,8923738733,2130467421,2120114259,24414808127,1762501709,2535177657,6184259025,6694675782,14669457252,5046358756,2165288709,24513204866,15557986899,163399987381
"France",28100923293,81703993810,25949320259,12889946298,0,27866767297,41127490761,2476757701,19664483801,38438921720,4519195693,33837472116,868834753,10067573113,4274151064,1843832123,11145186918,6009888219,1296957985,1884824695,111804746172
"United.Kingdom",44128283327,68953199989,36153931423,22433951072,38823134959,0,22547227909,8589630992,35494156277,24606667466,6702938601,17426480570,1913557561,9936863342,6565487780,3934365596,5448350308,9587402816,4514511642,3740525812,136903833801
"Italy",13189703800,65714030978,17574867566,6191121313,38113066987,15486577730,0,1728488386,20630137042,17075314355,4897244039,16282931281,342435921,9789131669,374291514,844995561,11631051157,4602005292,1440323893,1392703024,117760494553
"Canada",177635571121,8480681315,24369378086,12220229410,4126280068,8602338639,3790027981,0,1262185945,1480346567,4438072864,990654553,12049994573,1426054095,803688629,2155554752,1760791381,1896114024,1442332345,1636139010,37086754020
"Netherlands",23987475512,49810552405,23315723646,7357798437,13789345734,16923142268,6328946001,1333488754,0,28906019072,2817563929,5103634163,661392532,10349291788,3578065701,4956957509,2639587982,4613779199,652253982,2251278878,67296840709
"Belgium",17411118407,54691731786,10853810960,9062255687,36206010571,21520678301,10026598583,1354098543,56047309131,0,2021237844,5688654553,878809987,5233437781,713682699,616590630,2531290385,6320525759,1086010008,1360643034,72406600201
"Rep..of.Korea",30787475495,9772492737,38648083132,48403126687,2767483039,3149037039,2777688997,2603659302,2759155285,966905280,0,653329544,459911298,3936615521,5317585400,6011638966,1170099837,976576916,9859427105,2688752848,77094811047
"Spain",9305783242,42712947474,14557161339,7363023240,40840989451,16454565270,24746686763,1218679677,11680643886,8832800674,3708260169,0,3378790435,6452208332,463406650,843267095,4061796704,3710251411,821595771,1440070888,83864550213
"Mexico",118973101839,8670434332,17696345195,13077784875,2569505449,1866093741,3498243412,6169340757,924587066,838751079,6495909958,3324588434,0,562727741,2225651457,3658310245,1044233782,971939229,802355922,1557796914,21695106072
"Russian.Federation",4565239816,13264064855,7252920361,5833223435,3664078911,2751892702,4368301289,507055493,1941326226,1475419986,4005233055,1224089068,86799038,0,317206318,672993523,859404343,1859497935,244280418,444633865,42166329848
"Singapore",23443160707,5953061028,20515785371,19233286039,3811264240,3934854785,2157559197,811826071,1805458323,760872038,8599587311,385996839,450923289,409630177,0,27334526807,2302430730,782380695,2912261255,7514443543,49039249348
"Malaysia",14776361539,5087494269,13173660237,16578957472,1489017365,1684080494,1228021560,562992141,884645379,376996357,5679021507,255742443,134354250,431175090,13356094964,0,1240140910,648860988,2151333961,6033976699,18216900058
"Switzerland",7089082327,39955661117,2714220988,2344455040,12699046792,5584521585,13280566332,660682282,6067002063,3851339012,602160597,3199492573,109581108,821948212,288768779,168638682,0,1192697996,133368038,580894748,23268059460
"Sweden",3762066474,20199921174,3012114470,2332930585,5690584120,7695071055,3695705053,390460398,7504382242,4418119814,1010617174,1797875172,42834117,3296427503,204931356,210945598,1153876035,0,345884932,320070283,42545522975
"Australia",17163792549,6842835422,17108084472,13505978266,3886908116,4878487989,3348887333,1520397968,998530642,1061610520,3919647970,1026737816,680356090,85916402,6600083868,4678048985,1168997687,1575801994,0,3797006093,23884236516
"Thailand",8723675724,3199505779,11157870683,26049683778,1875830626,1278065404,1133151579,495377971,717606311,616167312,3872390554,336633533,201480177,1599616109,5380775910,8088424500,1322361442,443179939,3244940436,0,30543650629
"Other",172186538563,284049922671,136292834994,89392797011,96610992519,89031083990,103383877578,14800881355,53136840158,50688135700,50896751890,55878256390,12599927029,111493946122,33715492122,21150160079,40279358545,49502871935,24119449413,21966596693,628816194945
