"Country","USA","Germany","France","Netherlands","UK","Italy","Japan","Spain","China","Belgium","Canada","Brazil","Mexico","Australia","Russia","Denmark","Argentina","Thailand","Ireland","Indonesia","Other"
"USA",0,1170685142,3091724183,2205954963,1710150840,2940124224,582640926,1149014183,3634641273,352221929,15131395394,2285840745,9664591601,2625762123,411962921,460460427,935104794,2516565663,561407285,1573502475,23469059218
"Germany",1585244000,0,5979873000,11049306000,1104252000,5259284000,35325000,3748664000,1047917000,3160374000,211034000,2644110000,111257000,178494000,156101000,2639017000,827865000,334701000,1086080000,651336000,16889463000
"France",829273094,4384807991,0,5449490066,2240252513,3020980298,31416649,5358271172,356881132,4693647743,170541299,1405602916,68262059,94832270,50875832,625370350,434694227,229537257,746774062,186993076,8403619292
"Netherlands",1020451096,6230228354,2306650910,0,973474192,635861550,33257284,1222743445,492337575,4017624494,57481693,2281428232,64905906,125086518,16884734,430269830,982633864,223766866,420652665,525660749,7076558569
"United.Kingdom",1788808945,3681041389,5751083424,6765551453,0,2592369076,40408095,2700837367,482638278,2233650650,460776568,1437899555,153914010,1407800269,201930119,2158326502,336802326,521946339,4386418760,255424581,10583984159
"Italy",657938494,5690535693,5764412164,4187499136,786145878,0,11464716,3546377424,296236029,1135903756,236255244,1034985327,35776083,102479111,145016781,1137044249,799766526,196316504,422563295,176669493,9058384508
"Japan",14515753563,566032884,1505167324,455349867,360048382,642372405,0,382107599,8521470181,193770097,3156281472,1683354674,547059309,4505286247,1143121190,1369526683,159939364,2478703646,108652786,937369637,11219217258
"Spain",1026299854,2851239440,4397532180,1980061580,1930296875,1268474871,14582359,0,458800167,648053631,229859889,1132488206,107809193,58125255,73734548,596140499,1428899084,100029988,887358676,138035114,7931785944
"China",4502387605,98402607,497087134,211072824,178327791,47669620,337267421,54477867,0,32006985,995094399,2939048557,32364831,835471794,1145754233,130209122,2981799623,924982697,41398607,910272362,5083003863
"Belgium",448815966,2731328182,6613289765,5907285819,793924715,863480975,11766577,784968082,184024833,0,304352394,724851137,39577606,52762217,14135694,219855826,295260926,50523702,230179862,161508976,4936273774
"Canada",10476901703,156362808,529665091,240522563,300502390,464912100,47653263,141611358,589238850,140177411,0,448599565,546795930,383636683,62242807,84584856,121965359,322754193,104018884,78977993,2933669887
"Brazil",167933529,42639626,77391689,58269350,65685377,58341096,5667276,73193780,66205603,60046516,31048331,0,11384402,9202697,342413,16122354,1425657775,2992128,2327981,92543361,1085767461
"Mexico",9839843254,47027886,111594628,119772918,77984561,64955920,7097106,199812021,186081545,50512002,963529855,125995775,0,102978506,807733,30373660,198786166,20952353,64760738,23236373,1648647430
"Australia",658561880,123370919,159337225,138717548,253485885,287070230,43621837,107363789,337244477,55349521,161557089,138119795,52691994,0,2377385,136828988,44995593,391778121,343561659,98120570,2479111209
"Russian.Federation",880920635,903713167,553817163,641990322,212845799,353653021,10858114,292023911,598821211,271740093,97972559,2119283491,19321959,43155613,0,301884679,596968535,102707233,86013014,208561995,7985025158
"Denmark",185253750,1858661146,540357925,1083784368,345479077,421119304,7575447,340893848,98726274,304261396,114152697,138969678,5829330,61638872,43811968,0,343414930,32198342,134124835,41919347,2731927585
"Argentina",64843311,18887721,16146036,16043632,11542280,13766465,751559,11227829,9070387,16267838,4018392,320672676,5655696,9975796,38768,3357443,0,7298548,178471,2293205,384680262
"Thailand",594310973,43865445,76302135,108366828,172097196,18688827,203879015,39609769,310858922,30350543,50227001,453620731,3514260,299743647,32578455,28116043,328984580,0,21473377,325595845,1429611101
"Ireland",248482502,308719428,382493168,510574888,2887978023,86403450,2413803,123542355,18303199,174313528,24104778,124752309,6987278,69704096,271656,55030047,69197341,22392658,0,15324412,433090853
"Indonesia",627337862,37213757,44896701,102539497,45024052,12140938,30231698,19201623,331123615,49033800,194755216,163878279,1391904,922349541,1687208,32591001,338682947,493243276,13341226,0,1243066756
"Other",17162348612,14421665262,10372929668,10481038872,4525754212,6564813015,707195014,7474993513,6816844195,3736703220,3125938883,11066377074,834189128,6271907784,4260128451,4682435081,8951038687,3474187244,1774298151,4856016110,68362179294
