"Country","USA","Germany","China","Japan","Italy","UK","Belgium","France","Canada","India","Korea","Russia","Spain","Netherlands","Switzerland","Australia","Mexico","Brazil","South.Africa","Turkey","Other"
"USA",0,5874300879,22033057865,5491644673,4804303713,3322053151,3641103858,2316901851,26417144575,7156533826,3134651450,4878370355,1500175623,732557749,949237731,1243368570,12322505516,5936447869,4053187363,1937609935,32234065287
"Germany",2538258000,0,3757244000,824058000,6388144000,4120235000,6256859000,7247070000,661017000,597200000,357916000,3429900000,2293809000,5608843000,3487329000,246992000,339849000,1815253000,1596591000,745006000,29051210000
"China",4267400290,3059768653,0,12923885420,926567736,723308160,1614308115,686018134,1613209658,7109382531,7869889069,3023148608,463283277,299046694,268157521,9546391746,443427627,4772023030,2571129109,398764992,17088626253
"Japan",3655701996,990914786,8886602549,0,548413091,620213694,503531813,753689244,1306679846,1205439413,3894390060,2053562344,245134183,141002210,699265067,6327219273,546766252,2094400530,3584717227,36107825,13546183949
"Italy",982629313,7641043869,2146380479,220158987,0,1886944322,2050429822,4971555387,295308544,512937386,233732008,2218665432,2077320886,1648815779,2444954511,421872148,57381684,1070907126,2170595098,1001965541,14334495988
"United.Kingdom",4165841634,5529315635,3007035628,978505878,2528838672,0,2154364329,3488615143,4017720167,1031094432,201375898,1960786367,1449228379,1537263479,1003855703,1595095310,85391387,511855804,3621763523,747817604,12856442939
"Belgium",1501818212,5365027606,1693537512,266423390,1100807748,5686950181,0,5054307227,366510840,2026959103,207793498,1912440954,585213994,5859006234,742611479,560221023,54528293,719919158,955176601,321860714,11253261975
"France",1232945109,9495878210,1769403447,367784695,6794122362,2419100577,7079887071,0,193537951,246307567,113732771,628981232,3683255785,1618567700,1192467666,217535000,78507402,800683435,314519855,298203704,8329488016
"Canada",18820740646,909587841,2619316575,603657254,525765194,494875381,235162623,427444490,0,269267704,374859985,201996911,181503766,83423851,77630105,298384209,558515181,634291015,290179945,211915642,4453194667
"India",1086347865,707594433,1239002747,522993302,233643192,2672063320,4591256640,252516683,182087632,0,629533768,1088894294,166216724,174727810,6094931198,2575275642,18706881,143639991,2120523186,75520521,9274640917
"Rep..of.Korea",2699213420,996161638,8613483119,10048719148,271476378,554861170,173967541,328227805,422143572,472511365,0,1925186399,101147209,223294086,141693633,3233637704,129023219,1429259834,956639815,14091249,6307535608
"Russian.Federation",255206752,938849529,777825782,256641008,446962749,196253580,112510360,183993633,37419779,29022327,267865559,0,157351158,77583301,43371829,6953506,14922607,45860957,4946541,226725979,5550478296
"Spain",524533932,3511733412,1562251725,142855238,3769083063,1714835599,965002998,4095964103,97233327,294839339,130560352,947039516,0,998000130,348890445,285180164,113666550,654509583,353061575,790406593,8420107339
"Netherlands",766713891,6109914363,1319815125,191290294,829558620,911667508,3019826442,903425292,261456048,202323427,83598208,1051506726,407788343,0,147638865,119641435,34429593,579153108,251918451,148260449,6852761886
"Switzerland",1042529082,5187293651,200024828,226048179,1977809029,731786861,669626559,1870336458,24718120,94323737,22766244,584742269,182545712,342600662,0,5253824,4807930,114145959,765821353,28618371,3218785145
"Australia",825406280,458037250,1943285453,690265830,437668864,648384373,107141394,166816890,202797825,281039332,369599098,13639738,104095924,70394284,75487980,0,86136299,99944325,171041162,39289829,3898445105
"Mexico",13040755747,884827064,1132449201,1128953720,651241068,102975652,77455184,258776418,832920746,262602547,574578654,128952973,418029373,50372953,52641824,84694101,0,763760892,97998227,37974905,2330490082
"Brazil",725093278,608640070,303654819,205128047,202761492,129666870,67630474,181480164,103090714,36922089,77790805,98475134,115153319,42034972,38258957,30094929,64183368,0,171062417,8911806,2656375638
"South.Africa",238761218,384684654,475897709,123730849,153405762,225041089,97056996,97878309,48109138,150485459,71849406,69459503,59443033,37417773,36666765,82137410,21713490,127694258,0,30641173,1558733996
"Turkey",563266454,1361200958,673312163,129351789,840934159,562901340,422953320,662849294,44750538,109154930,177948187,3073317397,398697849,378197229,2797693851,106337583,4837286,201230240,1019664730,0,6657621108
"Other",11758052720,33895941632,17610462980,17169891429,15222608966,11065050680,10152847190,8550710077,2657475763,14155159053,5783926892,16813575494,7246647945,4683939378,7731677615,5676987095,1523728194,6720882180,4163306618,5920470873,91915774235
