"Country","USA","Germany","France","Belgium","UK","China","Italy","Japan","Netherlands","Ireland","Canada","Switzerland","Spain","Korea","Mexico","Singapore","Russia","Sweden","Austria","India","Other"
"USA",0,13664639590,9019856616,2455999246,10090081847,14070682089,4212060363,11589600544,2284224694,20816881038,26669894330,3561412852,2111466744,3113317545,5493507508,2361675975,1561510887,2605497716,936616948,1815400397,23283014166
"Germany",10810428000,0,11306678000,10057676000,9552008000,2549091000,6283630000,2308044000,11202363000,11990360000,530992000,7181543000,3080147000,444221000,177971000,140184000,745576000,2084705000,2906302000,637936000,12867445000
"France",7193784084,14312007206,0,7314218511,6582248804,1518447274,5510743137,1517675826,4597150641,4992141362,572758758,3427343673,3706289765,189703101,100866988,2411965916,708225244,1309775232,607951771,273497420,6546291795
"Belgium",8922063462,20233866557,7858632251,0,5666942753,781398729,2943905525,1450866633,9239579428,18881678880,162257303,787474254,887848084,271423819,382426544,367264837,512841493,644718528,723760495,170444062,4708911295
"United.Kingdom",7063176992,9972241808,7230092201,5360312825,0,2043098640,3164348828,1488691026,6365311191,4708606899,360991403,1644464551,2092996210,362569985,108332428,3798476579,608317655,900145644,338245885,516017835,6751227268
"China",8591151914,3714303342,1221756288,1116892071,853516230,0,758903414,14583979317,740441497,207196714,1821271640,548687794,561059402,14192498912,241047878,3233070009,2428265526,233570106,113556106,1437803727,16133359967
"Italy",2666908989,11647331869,7929132190,6027951915,3377037196,1305578535,0,922145545,4496323267,2854617990,118016799,3889121330,2535293684,306965702,48306661,165447823,235353726,538872262,924265818,301694653,6738084925
"Japan",9678726824,4028795740,2678131661,675153761,2058283021,6470922343,1190919488,0,416462321,1823649255,486037071,1553824830,518053773,2424499543,78578667,685202933,83624989,414904542,162440260,280102642,7419536258
"Netherlands",6114533985,9751530914,2645815026,6395154742,3787364553,911060841,1387666102,814537396,0,445861668,192072245,1241156034,1184595533,142788016,50204176,352544356,294352813,373038013,186274103,212548499,4848990685
"Ireland",1666144984,955638345,577630653,430445293,3086843099,131075536,227920600,388819675,595405046,0,42675440,444360357,154310121,33343872,5307948,7887596,51759295,33169843,41086059,77799199,1234898652
"Canada",26520919595,1753903146,1047647492,341011576,1275510550,1300119117,501511982,733131380,304918365,1135735088,0,900276910,203182846,367073685,358265167,54360207,77908807,460461507,81012775,250171929,2844907036
"Switzerland",2241554232,7796337996,2880332115,986331560,1807922640,437569650,3585674269,526539097,1078445739,3555982276,279872894,0,1686616767,74268225,56564846,10508853,69170946,124775822,1427544309,149092654,1079890649
"Spain",1698531387,7064939787,6004064642,2428453024,3207084665,1024737750,3764959433,543897684,2524295997,2033286640,101216205,2231543995,0,194061613,76243862,186967969,110528370,444202373,330384335,254864705,4684814627
"Rep..of.Korea",4847999114,1745257640,749513894,436787279,536954751,2727370272,487741002,9040651158,324486636,130857468,349208684,293810380,154115254,0,48119167,579876691,246791461,96531545,54334577,203797435,3193552533
"Mexico",22304926719,1434777307,705282424,246315415,483389156,999489420,570391467,782132898,220675468,579422580,640317549,411791663,454857647,528775999,0,147140548,248889768,101358428,63519685,214202065,1824300858
"Singapore",3038709273,788262172,1081901348,200964414,502430646,776780340,211147160,1583862252,303488920,518353091,46282812,363675498,106139315,368356901,33272176,0,3429319,29890262,11495918,294082917,3581268422
"Russian.Federation",659067693,2707909615,1340203769,448588505,560011205,607863505,651729744,215473572,505922970,97948819,59461113,360276195,207645771,591881296,4894772,7864033,0,231809899,270078054,378713250,5582719352
"Sweden",442311922,2749621284,1498935829,1077024012,1419845495,183919498,423057226,363118985,1223714680,216131349,19983387,338215734,223810190,90527685,7780106,6415822,97960862,0,120204390,13787111,3721649367
"Austria",711046855,6993218464,862499359,533937015,562900642,257266554,974698786,181142617,833805068,212789384,35242606,1469993695,348270224,53360002,6231714,10670779,27308357,221283315,0,27380865,1735488067
"India",1620041066,856592901,310624648,239791348,328335998,1832825878,257213450,607878140,377524752,21947801,189998501,292601216,163075297,563410161,27089815,642955732,654220488,46999012,50279715,0,5039300480
"Other",30264684546,39600626667,20198087536,12158434734,14037586161,14672538268,13912014657,12190675710,11151876617,3876533319,1875103593,8250353286,9220916031,6951415902,2811229021,6729504227,7583582101,5991065569,3964126505,6326242131,76278093128
