"Country","USA","China","Germany","Italy","France","United.Kingdom","Canada","Japan","Spain","Belgium","Netherlands","Turkey","Rep..of.Korea","Mexico","India","Sweden","Austria","Indonesia","Finland","Switzerland","Other"
"USA",0,53075988925,2644417363,4945079761,1465932912,1530186125,33008792340,1499019066,790307032,539911847,473454412,1815384023,3204705466,9972969326,5884528966,594373408,464067898,4684521532,1152342723,336496710,47788449829
"China",5724536717,0,768795324,1075889411,402628322,491967797,1394728034,5123232963,196582684,242189228,311203546,79841475,4077095618,139044497,505626234,383000166,103242673,1603316193,280865127,51114172,12566609538
"Germany",1188968000,9709402000,0,6020220000,3125166000,1558871000,457861000,275904000,1128893000,2064227000,3130779000,4525484000,325804000,30417000,1629848000,3141148000,3158459000,1006645000,2548901000,2288695000,20975694000
"Italy",1241019794,5993950504,4151503803,0,3499407854,1111917947,459309375,174014275,1523355244,1507035027,1115556628,1236824930,209695485,25046779,1262866695,970793206,2440954626,473126175,515982227,691327170,16137835875
"France",714420477,6718587527,5269077954,6530351425,0,1388331162,307673865,189418165,2883667310,3392999250,1402187388,1437906729,249046211,31043365,1315190306,940786083,634576724,564918593,1094563291,549982341,12766346441
"United.Kingdom",1977619595,10835072425,4280843043,3467211698,2932334612,0,717044749,191914937,1269789625,2640875816,2407988372,3039084695,275577360,31148839,2320312606,2183304521,674657930,928438885,1740858079,149780045,15205777131
"Canada",12009680262,5271191094,322985563,539788643,262675331,210874468,0,103470582,80964880,78584308,117499570,159822609,211833549,515131418,566264435,51424135,90514513,243537065,155518489,37396241,2531355749
"Japan",3147094530,28403034700,451514687,2627721340,1176230601,391896166,1841817891,0,257925882,82004301,97536835,75427330,1113943420,43228744,335181860,384011232,306350746,2207374944,593394968,81608143,8478632466
"Spain",588184789,4071805660,1871093537,3166791201,2758073224,636811687,116311353,63548563,0,646232746,700787016,963009786,170386094,41797375,926449616,604507859,282068237,327965619,814380694,88476297,7361005879
"Belgium",560816205,2899469102,3098645094,1302239813,3800171683,687625006,207160398,49934265,463696811,0,3130246261,565462017,84205849,32919534,484838311,413022780,186350888,533477639,541029431,95182277,5086462280
"Netherlands",577676221,2587003144,3782536084,946250013,778351206,779585673,129425183,76364203,235121978,2464670246,0,993256754,90715356,6345139,424127326,1187509522,289758056,333508937,656670973,95609716,3968521756
"Turkey",837434300,1365877261,872971712,1112558256,292775853,271901802,121518908,57291572,299258590,117865596,143049202,0,349012379,2439103,373589726,193699187,218216121,340303852,210919810,124931150,3236876458
"Rep..of.Korea",1733549487,5188519191,195966784,688244090,169971260,171712154,546702279,708488289,39957776,26978280,58586273,27054001,0,17451920,306110378,43905461,65070947,909348047,83102781,37196644,2727633950
"Mexico",11582093639,1094262350,218326440,362658581,99184874,45098227,453640333,100082008,436405325,41219850,23578335,51429425,220888697,0,131361367,31102251,56620363,178493814,68139393,19712786,2455727123
"India",390872103,1205690197,185102581,150429392,52609269,218648135,219449742,81504073,37474012,46757383,71252946,28338244,172426010,4705545,0,81975791,34242509,197416134,61137662,15081301,2325823033
"Sweden",140247654,763548110,1013021980,358286728,162538606,288749599,50544302,18944065,93618322,243839254,326502311,272448374,50146602,847773,215959759,0,76871445,42021708,779556921,38089860,3645558874
"Austria",91008638,1016232670,4864719011,1281962195,281562179,143842707,23635486,30927256,188536807,133791930,223557223,383321241,23326693,2162131,200232405,303352672,0,85062053,196799958,310967443,3481291176
"Indonesia",473176625,355229371,100102420,44484843,41009115,77607173,177945425,156177573,8984684,28836636,48518913,9531672,168108613,3122104,50721724,64915077,23989468,0,20541391,6300090,1097829914
"Finland",47353067,562987051,510423870,179764990,98350382,143373248,18750306,22284681,56102286,79956713,132398492,114739643,20095678,1170672,82928281,658667118,66402939,34051141,0,26518462,2173211283
"Switzerland",134036217,741166153,4634013940,2254365258,1309601031,226182119,77162829,18966140,196627113,245334805,297902787,158257762,12811526,641448,167311540,233732221,801163334,48680842,173525315,0,1181078922
"Other",11476418409,31381333079,16805172674,15488969297,6806367648,7672780413,1476500898,2509781805,6614317064,3229130546,3071178857,5047498527,4754821257,848393870,4695519710,6102100411,3803741362,4447927204,4004981059,1102368731,52410337270
