"Country","USA","Germany","China","Japan","France","United.Kingdom","Canada","Italy","Rep..of.Korea","Mexico","Netherlands","Spain","Singapore","Malaysia","Belgium","Sweden","Thailand","Switzerland","Austria","Ireland","Other"
"USA",0,61589021756,165931514465,122197252872,17209744753,26916191383,124015872972,14253298500,33826072634,108453201268,6102573485,2760843283,12174558824,30496142628,4481959449,8502298598,11255942927,8335299950,3228574533,6931965698,54426099819
"Germany",33254567000,0,32858286000,23317142000,37484354000,21441435000,1217482000,20703875000,10677944000,1848123000,18115439000,11892236000,4586668000,3741910000,11589548000,5144442000,1750114000,13302428000,17871659000,5080592000,79363751000
"China",25330229673,23046432378,0,66148532516,6182445633,3258020067,1541486879,4108529348,46928801395,1369292179,1332455811,795234280,10456174546,14741972586,989637190,2094531681,7837059220,3007765400,1189480357,1116821013,22913392242
"Japan",33129368150,11768124954,52835387060,0,2396522900,3269735669,1326646025,1853150543,12401002545,1318395681,962018043,358989590,4296404435,6305578481,660391995,1085670308,8615122743,2660187779,565952030,1772016712,13921740747
"France",17632355845,44355607667,15448170274,10744553418,0,11891663598,1145612078,18014012939,3934606390,589967054,5214561378,17645594912,1439070125,1325963223,7388576262,2686559542,843627028,5409912233,2086386960,3054619217,23958011919
"United.Kingdom",28385166108,44577058819,19661386504,19733061485,17448246988,0,2821176569,10669767944,5813804744,1496522449,17569218640,9805061188,2404406842,2838347817,10935516036,4069413367,1969050418,2494502764,2132257839,7569880671,28725069430
"Canada",101579411067,5297531584,14521086786,10713208674,1806009415,3120484578,0,1589313499,3436431308,9413919051,370646768,286296829,695170187,1840877665,429647907,1009733167,831459581,672671862,753547622,416051200,5527035024
"Italy",7051024203,36341418735,7730057341,4780049112,14972774791,7377928255,461062848,0,4125581697,143091160,9087067204,6427185772,148993382,358244953,6185271244,2058966885,673756683,2849181140,2769976433,1677563576,18624286312
"Rep..of.Korea",18549832413,6733946248,16943647173,27573049047,1285448876,1463195282,390997149,1238803301,0,228844285,1986486157,206294275,4334364882,2407488731,221288717,595433273,1255094824,669105611,373242495,654368735,5572910840
"Mexico",53845981650,6066212507,14155255037,11035156016,1290303303,939562728,3138637781,1676057047,5118024340,0,320832267,1450191303,2046719356,3450566108,387378187,659235600,1332158172,521619195,229707180,117450542,9539767340
"Netherlands",14947600977,19040110304,17905102338,6199159049,5688815400,5713386654,575561591,2285576694,2224722277,485874335,0,1681403546,3014274445,3905633529,7990227591,2314444341,1700565769,1051553965,685743743,3302479783,15252227334
"Spain",4982513200,26952479892,7400282196,6588170887,22888423466,8373465183,507520913,10916591546,3145437740,323467990,5102597055,0,238760310,520925063,3999424049,1903298793,849064215,1289563859,1313736867,1183569243,15374142426
"Singapore",18322884627,4554544466,15409831321,15254203348,1697320474,2773980071,618047542,1390379495,6971039366,385294532,849380275,144115198,0,19816389120,291717656,415110224,4581200796,1762873430,480904601,485416191,14585535494
"Malaysia",12167660917,4176910425,9951452010,11872385374,1108310006,1088679071,260685971,612699799,4348141169,98862861,432686497,60823730,6776274216,0,119682707,494987285,3449874743,379772693,106473820,616372940,5751621381
"Belgium",5535726702,21713607999,5192466691,7196162293,11389335265,6731306524,280354523,3706175131,1380201668,346731934,10797760165,2690131485,233977962,326310645,0,4411593936,582365424,832447559,620740360,1082048494,10294104693
"Sweden",2769206838,12742702866,1617405294,1822770516,2947111428,3829311444,178318762,1989998724,835925919,26462969,3844298884,779200212,174943349,135969548,2229207448,0,185205824,616771848,597849213,1040144256,13781602885
"Thailand",5085733615,1995206893,6485682185,15873641168,1221743524,621122446,174302356,581475608,1984823882,150992987,291890845,89175252,2835677767,3715228603,103164686,225888343,0,545786471,58310762,78533656,3993819104
"Switzerland",3418506742,18249796837,1292696656,1563334543,4093149778,2677140065,226856927,3577301158,491589440,24820249,2443316122,709030418,182857787,121741097,1302481900,659029906,287253086,0,1936176983,807466680,3919435483
"Austria",2643412596,22758541859,1892791448,2054144789,2354037855,1221028255,370407274,3117062725,920241195,140424770,1237978417,791176541,137248656,265141295,641229715,697130799,115044556,1456899473,0,321041433,8489533676
"Ireland",7606761259,3481598339,3787618459,2193921602,1154760603,8397362307,238665991,926736557,1075977404,153043986,1464039384,544529278,1056943288,644036614,494751947,362814020,422073602,176624768,163059888,0,1885520665
"Other",101840436095,146042544712,79377836111,84802334962,49566869763,34075116948,5725608506,47262423562,36497240366,6279787631,20110486016,22034655563,14666432849,10403844084,14361783508,26397385410,12631650839,10176518939,11802180579,6361356574,150978678314
