"Country","USA","Russia","Saudi Arabia","Japan","Canada","Germany","Netherlands","UK","Korea","France","China","Norway","Belgium","Singapore","Italy","UAE","Spain","Nigeria","Iran","Venezuela","Other"
"USA",0,8555337542,28132949232,590062127,66622511438,1990887109,3703842040,8800079206,1888188293,1667360450,1083348974,4781627401,1927255768,281368574,1261832730,261781980,815993420,24992589379,0,32712784327,103704923553
"Russian.Federation",15929641,0,0,12246714,939562,24457276,10215072,11177012,21068238,8938722,88780136,304157,25160522,5303062,1045553,9455,2134643,0,10829,0,1261818272
"Saudi.Arabia",21007550,25525,0,780338,43168,6512504,2732551,3478260,1701979,4724964,7887564,70055,3013333,1849383,1092512,40829846,452601,0,116264,0,37551150
"Japan",1277323746,2034826366,28255867953,0,806276428,17631985,58098145,2421427,3153264766,18708993,3360151842,506623,5262292,1141658397,683759,25039325897,290682,943576896,10253297484,56869654,54674138451
"Canada",8227917848,1023100131,1345869909,19108257,0,40310373,145174828,3200091272,9811840,52838249,68425664,4714574095,255762742,424,168736563,18099239,97094874,141032144,0,1278138429,8017519980
"Germany",371074000,15195900000,1413818000,55527000,238373000,0,9844468000,9282814000,1229000,1138983000,386954000,7295385000,2117695000,483000,129435000,943000,192316000,810207000,170139000,364675000,17810209000
"Netherlands",560499342,8825031144,4607683934,43190211,117491994,4896232386,0,4757663688,269437200,1466287900,100404623,3301490219,5018515557,162345566,244033022,111179177,371981318,746176723,968225527,483437722,8591623497
"United.Kingdom",747670053,6737263737,2021455588,1369651,211921536,912699295,848823142,0,39784783,1972762591,124699948,18913700600,1281947810,101074712,124691691,907534793,108567801,187336575,0,602737377,8878422346
"Rep..of.Korea",810206141,947743005,15368008943,671908364,451297483,9397469,20535705,134055721,0,28104689,2353183811,24636414,1587096,138000228,1683889,9817562303,229956,365232920,3416048143,56299916,32500411096
"France",498144684,8438602046,4244375612,39097545,86633750,3886614782,1382526628,3345170643,23414729,0,137830605,6743220399,8569592883,341211999,1257280600,794990886,560393172,1350709324,2593861204,336111725,18900858545
"China",325652303,6554997948,9284591954,1290783616,145364423,35225689,32500370,18642764,3506458126,26903454,0,231316589,10430941,2205758716,7732304,1742956506,11001541,503895166,6064960570,712846870,27854505947
"Norway",36296641,284662284,637,209521,319901,44366317,56313187,560825281,9837,63296400,15457903,0,115042874,0,171773,768,2988526,0,0,3802,1150982891
"Belgium",441877860,2643536786,76614291,87102529,33463085,1549256348,21113431224,1953929122,74060942,1490274380,102914093,4708596704,0,72917882,109989391,19315368,276796097,9776427,301778,268802811,4230784933
"Singapore",526104230,234542190,8324977712,76088565,3476634,8914037,432342863,92565089,578614748,53561479,1335377113,7248,11766352,0,104080443,2205205142,7714526,0,1266478669,232499355,17251474859
"Italy",590183007,6717798234,4614739493,83288678,158535576,242197009,94875028,946604132,1578188,975784601,102664678,818967801,168722591,17844031,0,33488169,173398271,600603797,3365987849,104071635,25826262348
"United.Arab.Emirates",34347320,5268736,149138578,14766719,2626709,8410057,6716033,3808536,14178648,18028764,1856738,1021,6993239,7708063,51235059,0,3831781,0,94309280,0,126200676
"Spain",485720080,5198719451,2658850411,9968509,166537990,461461406,374902108,592071261,15176542,696931836,39283841,1594423227,145634226,10258637,1860786649,51156124,0,3856405318,1743770235,611838003,19942019306
"Nigeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",13157,138053061,17783806,6306130,55587,3894075,261937257,679451,4413743,77196661,67994269,4493,1759906,241376704,844904,2099967321,389614,0,0,0,765034465
"Venezuela",84911682,1582876,0,1054485,853361,9186391,4902521,4054427,0,699430,2083692,1950,402526,38538,5034035,0,14130044,0,0,0,43088521
"Other",16324116252,70250612240,28071646386,818165251,713717359,11821191067,2608911736,5883069623,2726283463,3683270597,4740860400,8037083605,2562550096,19531768871,4791100270,11050617079,2919449071,10776976217,10651163488,4968618776,118898664334
