"Country","USA","Germany","China","Japan","France","United.Kingdom","Italy","Canada","Netherlands","Belgium","Rep..of.Korea","Spain","Mexico","Russian.Federation","Singapore","Malaysia","Switzerland","India","Sweden","Saudi.Arabia","Other"
"USA",0,91215229465,305778876099,152244039824,38082574458,54612972216,34100163151,307723064224,18068285312,14788624998,47636132257,10401726727,200499681947,20730747653,18068465963,37521096729,14746691130,22992712582,14229885188,33086758506,428659495051
"Germany",60373033000,0,62564930000,29939679000,77572335000,50865896000,51589891000,4942985000,68944811000,40980672000,14328357000,24726435000,3731278000,26384737000,5855950000,5071674000,31305702000,5258474000,15880929000,2021044000,285373379000
"China",59314269712,37879365204,0,115672580888,11288721815,6506395471,8600427622,7662114176,3650066874,4304298321,89724142142,3003141507,2607102793,17554327123,17672615941,23572434340,4268222470,10277448538,3448567704,15084532094,175720217635
"Japan",69384707250,18455301637,118525736269,0,8984656884,6712186322,7031763957,9616385128,2175913889,1847170555,27328400354,1942922235,2824693151,6659124287,7477483309,15487599391,5105271229,4054993464,2214833014,37191495899,200639464432
"France",31805570260,86144464066,30102974654,12909258520,0,32478401998,44828366709,2642508727,21641200343,44144973310,5222405790,36359195970,966604802,12588663182,3726637822,2111609138,12114829496,3126523646,6499935704,5106712087,123925444981
"United.Kingdom",53490012163,78267411734,41828379801,20932710711,44720571830,0,24146820890,11225278158,39629049580,27409222330,6685508688,20484909720,2022639127,11493625884,6344741898,4401718917,6561269130,6362079743,11318699140,1878499978,172265498128
"Italy",13311469530,72854378456,22465431492,6830411854,40855461691,15795660557,0,1686279063,22749450984,18571731512,4654835218,18783931632,364147791,9996723514,329572945,1172097053,13066126690,3729378423,4979896699,5319410309,136750631746
"Canada",192177944219,9849533150,30443272235,13521423752,4554662921,9595038479,4347023275,0,1401009354,1729078169,5085106277,1237917578,14131523792,1579018209,870117610,2594547034,1894821913,1693253985,2079301510,1516741894,42788915730
"Netherlands",29218337517,60116957748,28715796818,7939874673,15920429534,20450848675,7042490712,1776148331,0,34138741819,3258248718,5985240270,786000547,13744055962,4011493797,5686255079,2729463945,2048462300,5662935667,5455343671,70376263123
"Belgium",19247050179,61127041698,12946487968,9463376241,39068688609,23585760851,11829511736,1619054611,64259231727,0,2268150624,6485573274,1018373667,5962797393,1042612705,705892964,2517199817,3805684227,7248474453,1172289687,75471316477
"Rep..of.Korea",33796543284,11362539212,48556596186,51926274535,3244607509,2976429270,2915464019,3091214457,3025599461,939311521,0,778073676,797651292,4572967271,5886659039,7242465515,1325260513,3640789184,987830472,20552109786,89992549036
"Spain",10789955102,46830381995,18050438358,7433388692,42106007337,16688419327,27296469558,957371511,13200448448,9638793016,4872196390,0,3416556831,9325293472,736380103,1011298101,4405865767,2334861278,4286724280,3845216918,98644124782
"Mexico",130809817420,9437038164,24438280002,15295163624,2667349920,2140343321,4108548223,7376227250,1546774515,804935323,10621409183,3638151325,0,535086143,1955181970,4474394203,1148243347,1126093769,966467831,303623541,26406959083
"Russian.Federation",5624774283,18408912690,12887288417,7786891301,5369716280,3666022964,5642143928,823084276,2682356984,2177334647,6780459304,1946704966,184893442,0,436147731,894453880,1266425314,961140427,2136383925,6381071,54949330432
"Singapore",30279002984,6800036171,27211159601,19932136357,5373138078,4295546245,2620564918,915637242,2057252395,737529960,10480362018,498660982,520065796,733326947,0,31171488544,1839730246,4885587835,923073741,9302962966,57500568574
"Malaysia",16434446873,5744166202,15883589079,17341034267,2101114354,1857402850,1143314270,655707950,919572760,396291701,7061967566,331219180,216023686,220475860,15313893084,0,1272392769,1331339569,607845611,2331001496,27940935294
"Switzerland",8732661166,44843434721,3138034803,2478273759,14133709216,5541739102,14930035604,806290633,6642942203,4492923941,615029573,3244341325,94073609,1495031501,331780403,196396352,0,587677955,1412783765,285168197,25507075645
"India",11321477548,7187473875,15639063511,4743468573,4388425429,4030814902,2433238090,1245980878,1077148054,4159803470,4891838349,601458180,529524805,1900856893,5184561865,4655925087,7910233188,0,1850022513,10783078631,66319624709
"Sweden",4278868210,22926762911,3938724658,2464940194,6023997429,7964982314,4312398851,460825711,8063077521,5326308765,1133426247,1960188349,68516482,4365916196,183592619,377312135,1291917005,434087682,0,100149013,49532307688
"Saudi.Arabia",10114777598,5667113162,5978855663,5646377310,2692144068,2755240566,2817907283,684432821,1031938081,901346405,2645680481,769074370,426645438,708356559,806280753,589027113,1117481544,2633813186,1069265231,0,19455561122
"Other",203379621360,323314100722,200453162541,128537699711,108988691938,98022960911,120762842659,18686486184,61464580323,51490691698,63949055317,63969283614,16488821894,135295080051,49733605872,36477968757,36781786502,41243278676,55362776855,42645591172,729169495146
