"Country","USA","Germany","France","Netherlands","UK","Italy","Spain","Japan","China","Belgium","Canada","Brazil","Mexico","Russia","Australia","Denmark","Argentina","Ireland","Thailand","Poland","Other"
"USA",0,1278607491,3521525272,2490123904,1834853700,3185521374,1265253419,618388067,4634887471,424084952,16361500883,3522330124,10875587931,514029081,2657771724,423272171,1106966334,626343282,2979584774,271105591,26918092756
"Germany",1805359000,0,6402600000,12354148000,1254043000,5568624000,3869833000,37868000,1330272000,3530595000,426575000,2804390000,118486000,210095000,201488000,2954931000,950610000,1352586000,382447000,2473249000,16939747000
"France",870991073,4739578614,0,5810015964,2362914557,3177089579,5817183886,44774091,456769542,4917326511,181378945,1223233746,79992205,75904142,85175107,650978926,619408176,821391913,276241853,441156803,8559636754
"Netherlands",1217917179,6858524660,2805358185,0,1115884396,664062975,1314448632,33903726,644688342,4238382538,93605535,2257526676,69792398,30066990,117674954,482404748,979283307,437346352,251470728,531595107,8078093879
"United.Kingdom",1848490810,3980660245,6232906243,7350901866,0,2619949783,2957128171,40744957,588773001,2611318830,494223453,1427094933,143029639,141497040,1380009943,2314550060,524687674,4693323806,669779222,565561324,11250854230
"Italy",614230084,5829339923,6209425757,4585059895,847635792,0,3711018432,9831928,312039414,1136796502,242871231,1169055209,68152776,175524298,109373519,1223438077,914999920,524208900,249516282,636771083,9877353010
"Spain",895210077,2810814443,4484462926,2042503798,1872156175,1311800613,0,11980761,536538134,709976344,194314185,1141121729,105291527,122527556,55309236,613665763,1612854694,930092158,108750893,191111458,8581312515
"Japan",14071620054,602922033,1670425605,494284481,336616385,693461515,379974161,0,8723475826,147700912,2818896355,1571246340,552600059,1002131953,4302383387,957973618,238758330,91401730,2545068119,35679081,12014814003
"China",4374365622,97285116,484156413,236056533,173644553,70056223,76934233,390288926,0,44240327,681421429,3735860522,36084616,1283879425,738622712,112817720,2400918549,53630129,1240296435,27488192,7088313347
"Belgium",459216919,2927314213,6703897959,6152728209,755004659,859381508,837792825,10138178,173574031,0,345519437,967887878,43198422,15070171,91538635,228401072,323198343,339895315,62617066,161503392,5384661393
"Canada",11732867486,176160793,595193231,257419352,320970879,576610704,164742613,53742994,687087633,150223843,0,562062824,783354864,94011969,413620053,82927289,132185987,120001140,373831577,38068636,3333095210
"Brazil",183529220,54863180,110220800,61429436,78887130,71837209,81162826,5486198,83198448,65117597,43153136,0,11002076,4071274,9530691,25717922,1921002784,2590603,3151641,13545621,1433847637
"Mexico",11205428734,43786947,115753952,124059936,67916534,69428113,220512833,9072820,239311806,40048998,1166386238,136095365,0,919191,106438329,26922662,185585552,83380263,36062941,11988464,1724926715
"Russian.Federation",1078903322,1160984673,753276110,905390077,273141565,469528197,463770422,15908906,791476683,336232740,244654889,2652648443,26348982,0,133696777,610862319,888119431,149583766,131213632,586385934,8668533386
"Australia",711847338,146532975,195700878,179449891,274483633,325904581,134348400,44329240,423125315,65241794,188370279,177471950,65354336,2057933,0,148837641,56789261,389362566,411702226,18077566,2784242138
"Denmark",212411542,2146211451,672070630,1206840292,397070235,468644909,358022184,9129129,130239987,350154792,144262525,170286970,5537889,26610116,67261884,0,326158139,184528329,35756375,273341691,2853739749
"Argentina",71473429,10982885,20582227,14339907,15359656,14771164,11670119,761361,17148574,4944069,5153036,353390824,7215788,67824,6476204,10335803,0,1146505,17798742,729761,402883088
"Ireland",279055529,354644466,444243412,609181577,3237404064,109028198,157264392,2476858,14041316,169452003,14284721,110892208,8815142,1235760,93614557,53219704,94179828,0,27150769,29547702,530969263
"Thailand",576954317,58643510,92795837,106624746,145165170,26044501,39378003,189508837,388241339,28126342,76697912,516401562,6054886,28908685,294845158,29930617,217979367,20442600,0,8049116,1974609359
"Poland",130509487,1342314038,329643862,749093381,145773735,396854064,484187048,1466290,242530273,136089123,23879581,209721817,9101133,62775980,4699506,364519882,474819537,51337924,38360739,0,2861063783
"Other",21104348607,14722118194,11242343170,11036557711,5142371957,7058660697,8296996249,891741834,8075561779,4102557648,4178773006,11123674262,921383915,4815730446,8606230187,4654025888,9014951070,2111441979,4279212524,4034330641,79475576651
