"Country","USA","Germany","China","Japan","Italy","United.Kingdom","France","Belgium","Canada","Rep..of.Korea","India","Russian.Federation","Spain","Netherlands","Australia","Switzerland","Mexico","Brazil","Turkey","South.Africa","Other"
"USA",0,6987072315,28806527685,6355558515,5229808478,3963344619,2450933078,3771803291,33026736378,3880205603,8569193422,7089574681,1636687074,881514736,1974964361,1189872510,14202680916,6380509563,2428021345,5460744820,39018709266
"Germany",3671128000,0,4772920000,1083013000,8015138000,4908221000,8887731000,8215498000,1021003000,476932000,823170000,5121526000,3031928000,7459152000,454676000,4297453000,424705000,2753576000,920044000,2182272000,38927976000
"China",4661804036,3695504179,0,15143298213,930222205,919138681,838223316,1616460160,1859488318,8302261057,6542544677,1571318749,972636300,499020361,12249722065,311493020,451740142,6107480434,437430211,3046691822,19996643107
"Japan",4599733739,1163823188,10039646352,0,522197917,808534833,837699309,390175946,2098989613,4192979099,1296461048,2668885397,308542008,94039098,8097112300,289760388,682902073,2874071465,77932333,4785434974,19527228023
"Italy",1157861633,9805099189,3861489261,273264250,0,2180845883,6188924822,2538350426,234932053,479671309,912364931,2773669064,2802940892,2316058657,452142116,3035301023,90819867,1231885862,1280320200,2087203742,20426835122
"United.Kingdom",8354106599,6495716643,4269703305,1830627782,2762144699,0,4401407243,2557351232,5423560846,277418228,1252719686,2259988914,1776183002,1684046648,3628573430,1390309639,142453872,795882557,1010251125,5940289448,15469119154
"France",1502157453,11182329138,2092047699,376113147,7814273252,2858118922,0,8998844916,221064297,124169910,271042632,854441696,4407300405,2005049538,296316809,1196449146,112131716,1007284551,379878536,354033086,11167281418
"Belgium",1698701557,6679498715,2509659011,300176288,1299881842,5604885274,6109509919,0,481124999,332708184,2366213649,1853982954,961337333,7136104192,893022754,510914926,83104033,997855639,319967376,920286781,12064395737
"Canada",22365309768,1001789029,3393589681,714847453,569416961,406694754,375326976,238303503,0,568262152,352422440,350996757,250851990,112405469,193477611,89479754,672406994,745096245,223594562,369241344,5460312746
"Rep..of.Korea",2919062030,1286270692,11082922006,11795224014,255649804,493826784,436447732,139951447,658870060,0,741732670,1942152805,156869979,318496581,4119603329,108054107,357068900,1368001259,17532072,1221590756,9258354601
"India",1358894445,799542450,2203429392,637961820,396206275,2160960955,300547684,3588709964,274623647,882065427,0,794915255,128699565,243925404,3849428750,6613871336,29869510,396142119,53491142,2001727719,10852559943
"Russian.Federation",265517797,1554581551,1320644533,259689132,564301922,223175865,259801947,167661548,52117142,226237944,54580554,0,194824985,104783768,4175056,65447292,15110945,50415599,280078074,8886046,7160792268
"Spain",898566369,4164685358,2774682384,169678289,4428474420,2061157446,4766862441,1185699493,142289658,155789210,349544322,1169948791,0,1206298296,431663384,350359691,106998393,786804178,1018761087,396395466,11576607585
"Netherlands",924705936,7782194151,1615899935,269631776,1046725174,1416027892,1073760711,4196378203,350609001,131133679,219551956,1844044970,718121495,0,121531791,145385124,50468017,792646368,218237868,422721780,8889393740
"Australia",1244990923,511108694,2108971363,1100881022,428583473,706357310,179898511,101742049,282418701,434232028,276291933,9874457,89342972,68293505,0,120069516,53444315,124814661,97303451,120847851,5046259276
"Switzerland",2354083065,6367029716,275412449,504024808,2447567678,958748100,1974747913,856532040,27920071,28269923,113130347,1040226549,201865914,409241008,7513425,0,6426737,189843443,46067924,902550596,4367560983
"Mexico",15393206305,963571439,1593441689,1319580907,745215225,259362891,269306634,87000544,992415071,772829442,265561342,142382216,550267142,134780882,82210617,58077022,0,860497427,25553875,172044558,3540818534
"Brazil",830090375,665807117,521894852,277412676,260948679,145155428,218606591,105392461,134931540,100351193,60271593,206099537,145125668,67160563,18686339,42043278,126041901,0,17442854,233013695,4359060316
"Turkey",1004005252,1472119881,1114719322,208755286,1074294582,807513874,734159651,485624678,110179492,232809600,183469144,4054052310,506827620,316935426,96530996,2573896712,8688776,249980528,0,1400172254,8754050785
"South.Africa",267901624,463826184,713737037,154340593,180093583,235222647,132539041,150759099,64889690,63100039,268557343,176085554,60916367,51374620,98920238,42613009,14948844,162025645,39296011,0,1905403708
"Other",13902251220,41630659104,25477289644,20009968405,19751436774,11588736188,10377560477,11065114715,3150719951,7545589922,14026713461,18716899734,8739827053,6224832646,7881746798,7837253846,1956153257,7809438535,7574936807,4240738227,115070172052
