"Country","USA","Germany","France","Belgium","China","UK","Italy","Netherlands","Japan","Ireland","Canada","Switzerland","Spain","Korea","Mexico","Singapore","Russia","Sweden","India","Austria","Other"
"USA",0,14984096964,8908845468,3540541465,16400873935,12870022760,4114177540,2851468718,11198642559,20774088329,29272338341,4093638372,1812920803,3472844013,6072003332,4040409095,1685940087,3277648059,2369954830,1017093078,25116441960
"Germany",12487546000,0,12842087000,11564050000,3042415000,10829973000,7267024000,13304156000,2680231000,12823378000,564417000,8431908000,3536462000,491130000,228246000,474582000,762841000,2379863000,811722000,3417915000,15581969000
"France",8052465730,15388853641,0,7937082146,1723833202,7018733067,5995449070,5264482965,1454530760,4083907709,588147547,3658790528,4150646351,207706523,92096940,1860723065,615004968,1288625185,296259053,749696367,7916487407
"Belgium",9249592759,22769538689,7636730722,0,944800599,5886058835,4166386919,10857708052,1477922534,18449719443,189358491,1024527646,1122875999,253008811,373439403,771721032,407563175,1094831535,256817404,790210725,5605781350
"China",9578201188,4410285954,1396463284,1249173053,0,963088783,974800405,831305956,16697771008,246038674,1691279440,622428959,732952139,16238259196,269791528,3577276672,2188739651,284901575,1602546872,155681009,20306613102
"United.Kingdom",8348466906,10646961397,10275514704,5817766282,2348667212,0,3260276702,6973670474,1414295487,5446695587,936612943,2047461603,2217829007,367251253,101163434,3677399307,616907128,950895213,583652283,433725074,7401969204
"Italy",2473103478,13169644935,8409738200,7492928974,1427829775,3506424110,0,5068137404,1062211763,2583554377,125469319,4463474658,2959677148,369670656,38447960,114574992,237460319,590307066,414491096,1155275024,7813070239
"Netherlands",7858396182,11421730670,2982103032,6889580353,1191534912,3854535651,1514941286,0,840703548,416459135,300488978,1366541043,1309944804,163263508,68005942,764466339,297800499,432493270,236926562,232993091,5631391260
"Japan",10398078701,4198143368,2592302028,711464124,7848455332,2009973753,1158236428,425473551,0,1703677680,444152735,1902858576,622026891,2613415335,83410150,759078495,82440113,439281873,312627433,192575867,8769770782
"Ireland",1484890436,1051193597,746484955,565726523,169703386,3599556630,406713259,623255043,353539182,0,79383743,446146086,169432864,32544144,6157001,272320446,56032312,31496714,69915507,61210796,1047761670
"Canada",28853450404,2062138760,1291496978,320632034,1630357502,1612902934,621738806,313549317,775849384,1718769598,0,982125151,220908672,348338764,425739043,102498683,76374632,489245212,257167258,93229972,3528585624
"Switzerland",2665605665,8781858390,3185579072,1146933239,492994757,2134106644,3921136335,1300335451,487805458,2879489453,337307806,0,1708788142,73397422,33477344,10660217,290869810,173943256,164595950,1451064931,1166688174
"Spain",1818437401,7560150216,6638002408,2592995609,1260593647,3339829876,4119123888,2716170628,539389248,2391837527,76584203,2377984152,0,212737794,118014584,293574690,199018150,506315030,345181789,365257160,5594236002
"Rep..of.Korea",4642318839,2064600380,899337526,422421493,3609665351,630593717,508631607,307401556,10334989057,149870056,338297332,375662758,176851755,0,38860530,693262498,211687791,108680722,310985687,75250091,3884016540
"Mexico",24494980237,1655836205,836334397,237357409,1354069767,581917443,617271431,199467534,855069412,656316914,807985775,443564209,502005377,563789180,0,182180479,181641669,124880769,277663667,70744143,2216265471
"Singapore",3504871735,876729903,1431914336,219003162,1027872273,567801460,270112900,267690838,1689028523,227184230,55015253,398882891,171400509,406173195,29508150,0,6619325,38616519,419604299,11745060,4299922416
"Russian.Federation",902901735,3553778637,1902835116,606905481,936168572,730803953,953325062,723442825,303219463,145720848,74462497,546150172,290906395,746152157,6746189,14619584,0,312662674,424264248,397149877,7268711495
"Sweden",577835408,2958625658,1696027479,1223768029,232623439,1527235235,486494099,1359257881,328496782,277196678,22138874,381059164,249067584,88549923,289247,8117936,173623715,0,25468950,177139785,4110214960
"India",2340109011,1014423892,367732067,241964643,2655013479,350146079,308064318,327027033,609224100,26397010,176039234,394962629,205480595,558311640,19616052,806680136,547362996,59565367,0,55359527,6069872444
"Austria",794498858,7621496502,917906015,598692343,317522933,625100118,1115843571,943563995,198058898,221202397,39448128,1749716489,412698854,53579127,6186705,9961177,40113618,262674088,40568687,0,1989246702
"Other",33861118087,44766811605,22994344532,13338789248,19236176189,15304745764,15410430009,12356248548,13822663811,4343167081,2078185638,9175306668,10664685320,8035374672,3017416970,7932856645,8734505098,6625862005,7835678904,4456252639,88147475375
