"Country","China","USA","Germany","Italy","France","UK","Japan","Canada","Spain","Belgium","Netherlands","Turkey","India","Korea","Mexico","Austria","Sweden","Indonesia","Finland","Poland","Other"
"China",0,7125500347,845120436,1323475957,474603018,583055571,5097539076,1568547806,210709331,247617538,342361971,114127588,1193312599,3886006135,94317476,120137200,437647428,1534093030,356847110,24284544,14239854975
"USA",60415814177,0,2655565151,4971634081,1515352609,1345080372,1458994116,31174036310,855957298,484533611,490413732,1528950039,6340541480,2940485709,9312561402,412163465,646413618,5627566516,1356667828,160548338,49476570602
"Germany",10951526000,1356042000,0,6141041000,3193781000,1569656000,289193000,366093000,1100679000,2040918000,3357922000,4589313000,1966501000,335812000,34531000,3362363000,3451753000,1134917000,2939934000,2585745000,22924377000
"Italy",7337570590,1288697852,4652449948,0,3897122635,1131051743,182442276,439173881,1782284449,1522852173,1125256941,1450760770,1535569691,196741506,32015709,2794432970,996361187,546054870,557270959,555051788,18292500148
"France",7523136831,729764546,5543189460,6732012407,0,1323251938,197169966,290418246,2932267806,3469237970,1336664955,1429629480,1474396034,236019128,33680071,663716456,960650997,664083076,1121087403,608083133,13364872997
"United.Kingdom",11605752874,2126917237,4454535023,3503162407,2862760793,0,168383506,668877418,1231974546,2982405258,2314207706,3115993377,2498913683,277795718,30319207,724702795,2266269725,1018771719,1992059629,413488960,15690869533
"Japan",30726001447,3164580456,458828999,2697146541,1032404524,367656537,0,1952101668,241836366,78989682,107972256,88969040,378247138,942451446,45249527,330319829,418162228,2270585313,662834358,29788174,9256419752
"Canada",6425557678,12684464452,364118426,533510081,268929540,201763907,104964029,0,87852422,79388934,135514807,157546282,591960674,217278290,509356449,82843653,50160029,279853530,163244970,46592823,2693867427
"Spain",4874581679,623034980,1970471420,3385336133,2903583672,631184749,65665525,96558493,0,708137993,727535078,1194966010,1019259008,171702193,39914303,329250386,634505517,363293522,929064337,176411519,8244114049
"Belgium",3382319192,620482878,3263315664,1308888166,3810714232,670093334,53129833,227009806,475597256,0,3263075374,570457392,514907369,93992633,35663431,197442044,426048804,543651873,649659953,274922372,5447320308
"Netherlands",3142176798,605126252,4370291351,998301155,829448373,948334401,68353940,123446389,295841930,2720598249,0,960475268,569501399,79935751,6021435,286796579,1215785241,441108965,627748415,237588630,4237736786
"Turkey",1917606729,855887316,961206552,1197356406,313935620,305406755,60173889,129570398,326052255,121079382,128888678,0,461729023,295837758,1602291,237287152,202699809,423547256,313944631,51023925,3717138018
"India",1386176218,421537073,240886425,178746866,73730569,226855459,82107112,237378190,40534554,42028102,82351064,26498470,0,201779152,3647421,32049552,94491031,216250767,90423369,5782484,2490713727
"Rep..of.Korea",6639316171,1596879480,180846179,771583270,216592682,183515629,735246660,592068711,51062220,26363660,58424398,42607070,353532297,0,24449512,69377805,42508942,896797613,106609382,8061503,3064369820
"Mexico",1158664952,11498552146,221588737,425034661,88561474,54540284,95700135,540292798,496897196,42700903,29056027,71947185,163976711,260471920,0,77594149,37399629,185180797,103771619,12283754,2677571114
"Austria",1177922434,106866270,5315099499,1318993587,286348145,155619609,30430330,20311493,181371061,123169065,222243119,382864813,217890348,33320855,2655334,0,294803219,87872773,202333544,196084357,3813549439
"Sweden",938193104,162386694,1054965188,381012292,171138011,323834865,21136087,50026139,103045148,246063980,320731676,276793177,227901335,44761816,1669999,91695500,0,61428909,849938000,302368913,3493598994
"Indonesia",445436835,462046321,107302451,49065134,42008623,80530606,153768887,197562193,11639030,28315064,49159492,12742773,88346239,145649500,10168249,25854397,67694186,0,35258379,1170187,1169679728
"Finland",648850018,48765771,551678303,173676611,105022201,159222108,14385016,20450007,54868190,79786989,153309279,123089119,97081919,21817544,879714,64178309,654433333,23459857,0,92748705,2205093211
"Poland",1350257813,149419285,2822516392,1203539272,487546122,383009679,35646171,18180736,244310851,359082372,417318895,449088735,174946547,88033774,5940710,314477548,448459144,96688792,408956592,0,2495984791
"Other",39845049830,11324286255,20288758831,18244678325,8062323857,7838687136,2683142848,1675176628,7573515012,3398935298,3263111191,5347223867,5707104153,4359142226,638557678,4635830599,6397443329,4823554227,4702681560,3528826858,54202571151
