"Country","USA","Germany","China","Japan","United.Kingdom","France","Canada","Rep..of.Korea","Italy","Mexico","Netherlands","Spain","Singapore","Malaysia","Belgium","Sweden","Thailand","Austria","Switzerland","Poland","Other"
"USA",0,63417603860,194256773963,131499003733,27486923255,19544559373,123466867432,34134407442,14911476489,125993142823,6342351456,3337253992,13135390338,32805187563,4459667855,7531597665,12456976817,4974860931,8795011253,1283554189,64643625386
"Germany",40375227000,0,42237517000,25802737000,23443094000,44185819000,2222271000,12989158000,24408812000,2912983000,21688450000,12860820000,5239524000,4089451000,12703958000,6222984000,1929299000,21294097000,14911623000,13172731000,86341143000
"China",33285701607,28783216561,0,76774565447,3842159731,8072022588,1817742365,55257117798,5265811277,1754922779,1730012067,999390895,10846918153,16891167464,1131839578,2283305343,9813601404,1482915043,3247624931,179657045,30990515117
"Japan",36075418869,12015921523,58175510378,0,3159664115,2820509428,1249440080,14747271390,1946624991,1460488977,1018500780,390106647,4378238816,6410378787,511588364,1093579642,9061177033,720244396,2782903658,131117050,16022184672
"United.Kingdom",32186548493,51375447598,22963261259,17477175248,0,18710541015,3490762461,5750436652,11812869269,1550000934,19901043597,12192378562,2324418735,3267554789,11864029855,4920236088,2260594090,2751934399,2843027894,3670089536,44711471785
"France",20050813037,44878176805,18186683671,10650549409,13841478892,0,1286130414,4606225629,19854039821,648686292,5263134504,18471842425,1323185393,1559023724,7955866397,2994044526,869048740,2059146070,5947076582,3360182345,29477075324
"Canada",108261967201,6229553463,18247514044,11799806066,3471770090,1891091974,0,3901693470,1784180359,10849245856,382716445,349107054,677114118,2226176459,447971672,1072899344,1072429965,928593441,694892818,357135609,6156505346
"Rep..of.Korea",20956082207,7725721036,22296671485,27636542969,1390513789,1441191286,596544292,0,1282020010,330164127,2180211574,226285231,4630928081,2543230941,225968032,597670753,1566146066,419929417,785397218,113174513,6711172739
"Italy",6900839126,39147894021,9397752108,5264151391,7546787453,14942989189,488498271,3556534256,0,134391162,9513560797,7423070662,142227152,520829463,5685297503,2205909464,642717877,3280939235,2746864703,4673471031,20009720934
"Mexico",59482590615,6534844415,19981583076,12955633413,996787321,1274053618,3651649132,8846192545,1797736609,0,270640058,1492697115,1730550219,4206205153,379226226,618350272,1532303776,298077230,610896467,142443309,10140245303
"Netherlands",17927118658,21714507674,22042883962,6663676554,6936960388,6224572642,761703741,2536095761,2539084495,541882937,0,2008494423,2722668627,4540433094,8761595551,2875771196,2129239770,799172838,1001990900,1541789639,16968250156
"Spain",5869978967,29436724685,8556395712,6638784564,8139716321,22731988321,400686404,4200512612,11915162803,373639304,5914989284,0,329962044,661244540,4164335267,2355108944,838318910,1658385618,1374091692,1785238952,18210098973
"Singapore",24351345538,5183222545,20354993184,15252583202,2902900624,2838525602,667750805,8316053107,1650837793,454726362,1020931118,154711838,0,21637517867,283366234,508226144,4797114315,669968047,1251400806,62571678,18674030711
"Malaysia",13553781441,4778188250,11925456673,11323654998,1101473129,1689162465,288423692,5515071754,662925664,151147619,463070369,87883404,7809100345,0,107348749,469958578,3892409883,151806117,364721944,53304337,6106324217
"Belgium",6582254060,23555836878,5820171892,7447900564,7608328821,12756991462,339383570,1579188117,4040001981,482948740,11087907578,2983370468,233490189,298618139,0,4631639208,586877793,678065167,808861727,1641022504,10662489895
"Sweden",3050360826,14586746571,2265599992,1992449097,4250765471,2927589823,218782244,956231298,2377275675,38312521,4137532964,817657415,138597255,230568006,2841744749,0,270464387,674182497,662529202,2048300934,14594987727
"Thailand",5101505956,1913432530,8070529069,15397424023,681859583,822231557,173882690,2475298449,559737003,186316979,355360022,94766150,3094472752,3856632063,88687570,233245898,0,60654630,481664126,49865560,4328727554
"Austria",3045964728,24543885491,2581527812,2112343065,1315744353,2360686706,329019287,921176929,3229506790,178422743,1419901787,885036776,143743137,374134943,713495910,727211828,155858940,0,1547040047,557671397,8096955364
"Switzerland",3333732281,19664939878,1547084577,1455378726,2080030580,4578784481,322095962,500957279,4083354088,31832361,2498802929,679438286,224096761,143425035,1500076794,809063019,336804583,2100630606,0,414190874,4752794346
"Poland",1706799469,13344107689,4909220192,1765813562,1471976788,3025651830,102704439,2565015105,4373708668,154367053,1265805486,888701410,296761854,475527789,852617706,1036559203,253092965,926662454,475191853,0,11755577142
"Other",122018332504,159955763497,113733271359,93434553561,46255666599,54901826153,7520889022,45359477159,52580352363,9257321679,23449025277,24882522429,18970337761,13094407864,15832037815,29111999048,16221915403,12906742448,11152447953,11598506187,172852613293
