"Country","USA","Russia","Saudi Arabia","Japan","Germany","Netherlands","Canada","Korea","UK","China","France","Belgium","UAE","Singapore","Norway","Italy","Nigeria","India","Iran","Spain","Other"
"USA",0,10616861011,32499614244,1113452834,1892283684,5012412766,74421584880,2850206793,7112747510,1263998868,2141358658,2107993824,220590737,259218054,4454716843,1687545189,28908331706,420627255,0,1493654141,162375655549
"Russian.Federation",25975690,0,75824,25584510,33875457,17297707,2799072,32602021,14687193,102108009,10613401,33238521,639,14728105,638045,2798424,0,35122,0,1798712,1392742381
"Saudi.Arabia",31873863,0,0,7920689,6453178,4025386,2052289,4142258,3140089,7340688,6426414,4090588,42791915,1284605,68042,614273,0,5459786,3315166,697570,27430132
"Japan",1075275431,1919662837,36654746488,0,15662526,35643723,1052804677,3556201688,29740699,3012646934,31315990,7251527,31239919236,1549704806,595201,14096565,771161905,1127515553,11007622622,436162,65261656944
"Germany",677731000,19313190000,1587566000,46637000,0,10780983000,342626000,25947000,8860909000,230280000,2060317000,2925653000,578000,1280000,9060442000,189252000,1634906000,104239000,81869000,326713000,20799355000
"Netherlands",685073310,11366055297,4808107558,63605129,7969709242,0,146294687,338817384,6179105947,78612869,2005186591,7332206925,135212879,431687983,3168716101,279375627,1046663613,249186778,1183480785,338388986,11029889963
"Canada",8279884908,985145724,1486374636,72213826,15772679,199403964,0,10504294,3580935915,59165697,132624222,492558183,48139688,24563318,4497590193,261566364,624892363,87002312,0,164454827,10759220782
"Rep..of.Korea",906820479,1574878606,19804572833,1002015231,12173664,3670527,525418228,0,1674671,2189060422,3468866,2584255,12738835832,281039537,25878,530343,595123687,1754344826,4896668759,496528,40080393628
"United.Kingdom",625482118,8015871294,1170637829,1483731,1314090828,1405179289,211241037,1616786,0,52222150,2237441832,1576350873,411416915,65209122,23779724244,188418030,269064319,386670074,0,109416432,16250606792
"China",288696912,9464233418,11876934025,1569118218,47952958,11309986,43634818,5811860245,25308152,0,23253196,14967665,2385404046,2502023611,180307971,36061555,241776391,60196275,9028442466,10518609,42402545001
"France",599378421,10765532474,4893562761,186121147,4412336408,1961852417,75369278,37873599,5073904622,120503709,0,10866615370,1216053269,466673299,7006290588,1255502580,2387386437,377855849,2907085285,579955097,22565692817
"Belgium",636802006,3504816216,209137160,174108844,1931537539,25761708322,36658308,4236981,3061389928,115963243,2050844315,0,19262262,128192,4635970149,154971320,46421465,182665796,6649049,104599393,5258192842
"United.Arab.Emirates",62346591,2837066,263912183,8179035,7216329,8725418,580276,19220272,7223794,3485698,29910186,8456901,0,26548601,42476,63892737,0,48816419,156814536,66896,148792404
"Singapore",636452758,632235042,8657601202,167577166,8646686,537751407,16167422,962678919,167134591,1339547190,71292916,12071244,3612210727,0,20989382,168086881,0,2664622998,1702343649,18302463,20856767092
"Norway",62289337,229282511,0,107150,46155744,70770364,269196,146200,414677552,12129439,83046519,129579766,59561,841,0,784496,989,10765,0,2001913,1878557593
"Italy",876737357,6286824283,4527643248,38510246,249950440,141377290,155334308,37044875,582915576,128750344,1207261088,195505934,22150924,17286,1358073781,0,857590819,5946022,4129180232,104940049,32769051346
"Nigeria",63350328,4417898,321141,20705,31116458,73833132,0,457322,40535812,72363889,36678235,40202595,1057229,3367202,0,48926180,0,24391932,1988815,16842073,200124474
"India",441830526,103191108,9745803985,72260862,79825415,4912981,9428877,391533163,38011042,1164795277,42323685,4011719,3720913446,892200556,1888244,36765528,5602111008,0,5076957453,10438994,21584105732
"Iran",0,0,0,471585,0,447747284,291679,0,0,42759462,277670735,0,0,0,0,0,0,813807962,0,0,41575645
"Spain",684727308,7677850164,3370232383,7890305,887535873,592951364,46938568,74890527,644374760,47646802,581107569,277648310,0,66708747,1526046005,2136571701,4691156691,115152020,2254392599,0,26003939839
"Other",18950334406,87833615673,33121472785,1210194125,15389460524,4216150627,993156537,4416615682,6996816570,3168604911,4875809885,3252132021,15773405163,23402369293,9614102514,5709895677,12420084896,3132538228,15544398646,2820318111,144898466461
