"Country","USA","Germany","China","Japan","France","UK","Italy","Netherlands","Canada","Belgium","Korea","Spain","Mexico","Russia","Singapore","India","Switzerland","Malaysia","Sweden","Saudi Arabia","Other"
"USA",0,96631595724,340106645764,149423010124,42492266040,58070295574,36466828763,19133966199,317481896694,15676011410,49319146295,11074635344,212878005162,20219112562,18692293116,25113348871,15256360201,33701169226,13400941824,37164681640,452158387903
"Germany",61084980000,0,74787152000,32766776000,88441763000,59171144000,60238212000,81182661000,4671500000,51945171000,12257493000,28764959000,5063512000,28351343000,5246119000,6410882000,40410667000,5965654000,19154420000,1436412000,339077757000
"China",69547964495,45384335446,0,133950504404,13351621181,7776492840,10211075964,4924823590,10979291545,4973168688,103751686394,4430019442,3265309769,19688578673,17550372640,14617156071,5868268289,28723283216,4141799598,17560475696,230903124571
"Japan",72409977664,19428776236,127922365760,0,10050954078,7542517095,7262941009,2802059100,9989138364,1934386743,27307052022,1982731161,3157603438,10562819369,7052664222,4173676217,5220166594,17414809293,2242411029,35286964792,223645221300
"France",35571995275,101710832455,38728291308,13987372847,0,33410531594,52171514179,25010183201,3472292508,50697120146,5451962482,42665915156,1095323157,15135156666,4798127158,3820403338,14010041477,2330632903,7976562018,4005327777,142188171301
"United.Kingdom",60645662820,90882624602,53227609126,21995254252,45330931786,0,27222984925,47468016872,13994156898,30756410971,6531181402,21371580550,2296863425,13190188236,6973420065,8226225375,7778625748,4100423010,10997148876,1690287764,181398299727
"Italy",14769267057,86163827823,29713143650,7330457268,46399466628,16833186051,0,26918482429,2325367959,21841898112,4377594285,22160869766,585049554,12783566965,370479459,4640656163,15263133075,1263275068,5717930209,4970116413,159115234563
"Netherlands",32344503758,74197878214,35862773735,9781117445,18377121869,24405154034,8467180813,0,2239211884,40019581092,3115121600,7277310626,1063551425,14280134539,4125054049,2438635321,3051131847,6814321637,6884778725,4469432365,85483138154
"Canada",206439118653,10752357953,35824735099,14447453340,4751036855,10721473352,4734145822,1656267523,0,2183768925,5015415301,1183388959,16050278776,1384544918,1395042954,1849595254,2134931564,2726037681,1965440789,1748627437,45807947361
"Belgium",22863294186,72953935185,17296722280,10524613608,45896235220,26277626754,15428593128,72258769673,2466044058,0,3281505027,7523378392,1432062766,6720826084,1489256919,4555499508,3379141723,811899491,8803888438,1390005357,84944045031
"Rep..of.Korea",37392948839,13534213950,63025152474,56250095288,4051488339,3580725115,3582820993,3703068774,3254302202,1180116294,0,856260121,1012546112,6977472885,6859610201,4624421306,1997000218,8442220715,1192796734,21163501045,101617758704
"Spain",13802830207,59906153392,25382674265,8348635772,48041718039,19416325494,34108774294,15578788328,1232286681,10955636725,4946618725,0,4134270473,10830354449,597232355,3052848603,4238835889,1081007692,4870957774,4461669612,112658992925
"Mexico",139930555055,10687745089,29743657241,16342983645,3108229474,2294344100,5542432827,2465789909,7957348193,760653881,12613700338,3830473235,0,448962984,2086768398,1207000216,1276553315,4771244384,903017390,590012674,28176211493
"Russian.Federation",9407733151,26549268501,24406609582,12715798181,7700160284,5639568539,8524063982,3851392879,1220170597,3184226276,8838285738,3196421156,412065342,0,452310869,1309034645,1743169189,1463342568,3122802984,10488367,74037575227
"Singapore",32704237328,8134874367,31908128122,21547449824,6185826162,4808360856,3129016457,2938405776,1071264695,862918020,12795660564,607712289,503110141,747135037,0,5857616068,2286050637,34430420865,1114013942,8799676364,61720623395
"India",14206366180,8783955035,24575771745,5832826482,2545480774,4794535083,3476472499,1743066882,2005078597,4859263983,5437734735,840370086,1072988918,2684488332,6901607082,0,10638108915,5725557713,1970455815,16570153928,87978723278
"Switzerland",9366853108,52538285767,3993432649,2925447847,15306233753,6719772207,17406744939,7374807317,953682476,4936890796,666299562,3460623007,141521252,1294934624,399236276,792871292,0,246203845,1416280189,321144986,29270477263
"Malaysia",15776161255,6819416364,18841697851,18866751158,2247314523,2090873384,1311308118,954510098,749078265,515764282,7238239672,419470187,258242092,254892897,16715262478,2075913796,1633870364,0,643638628,1971942526,32758031078
"Sweden",4754866482,27986155931,5296175458,2627191832,7537628299,11099325274,5377734821,9279641274,512836159,6359817720,1095581236,2161769910,80779261,4428460464,168060044,594843366,1360717591,528771887,0,86584672,59416357062
"Saudi.Arabia",12253095777,8010925378,8715968422,7888545494,3068783758,3514121084,4104314810,1214528023,956469653,1096298018,4045672411,1181935961,402492726,912049093,902290724,3076336348,1420377180,860492876,1272365026,0,23868389796
"Other",225241338587,383556292673,247427270345,135214849319,123294043928,109186518432,143632282897,75538536311,23213027268,63125147232,72712323944,75868151561,19985704794,165872061167,45757596366,53411012392,43920864339,38393562086,64635574105,44638482403,874116071981
