"Country","USA","Germany","France","Netherlands","UK","Italy","Spain","China","Belgium","Japan","Canada","Brazil","Russia","Argentina","Mexico","Denmark","Poland","Indonesia","Thailand","Malaysia","Other"
"USA",0,1397111159,3975965579,2653748916,2085667599,3493476915,1345019449,5334868570,447266308,652459289,18166118577,3233386832,594906630,1189560552,11783974972,434562002,302331536,1750362312,3047214310,1117729649,29472958862
"Germany",1863145000,0,6971972000,13412267000,1543479000,5993567000,3910853000,1679094000,3779263000,41294000,448302000,3708941000,218370000,1181481000,154926000,2989059000,3145039000,881783000,485402000,120061000,21012606000
"France",925242576,5725439505,0,6631625942,2745827271,3815197345,6546585649,565857832,6105925450,45802539,242131289,1799882895,71512682,618381624,97889870,629372810,686785534,177271239,335549473,150324451,11100067111
"Netherlands",1414193933,8270159284,4026005942,0,1380326935,831729584,1554016946,821177628,5231130348,40877846,143357259,3218322960,70639633,1205510083,83970943,531011216,725267111,791570941,417595544,957233064,9408967555
"United.Kingdom",1983337876,4593363018,7046814419,8862541706,0,3030641203,3312190126,694517543,3071436814,37256692,595747872,1904713411,116658300,673927692,163112013,2421437238,846808516,302624575,824733616,205643167,19285488130
"Italy",825902996,6946356638,6981094890,5224062110,1000840791,0,4247837712,468842479,1281692912,12593227,374371735,1476920589,265241959,1151576980,106981819,1241072665,688738253,211433056,307061812,177506547,11306027997
"Spain",1514348006,2925549105,5487018777,2683058499,2133123364,1520056898,0,661772093,868868637,15450344,123025898,2180981456,110641225,2192116859,157263703,695680510,231024637,162168755,194604221,55104790,10922553925
"China",6559370936,129238502,885215709,263212908,182477298,91494046,87422455,0,34382667,371695351,1126285466,4786121328,1433667495,5150886377,40461119,193852948,22367652,1801198534,1297408402,3002809096,5450774901
"Belgium",584776240,3547352375,8234237053,7716453070,921625226,1037380473,965385106,235419930,0,10111742,539859283,1375805706,22537393,411427842,64827784,266388244,246494197,183048621,103248231,53258982,6297913382
"Japan",15550518388,1092120101,1781695450,563844876,324541967,750523688,401322520,8450994221,183399796,0,3287139687,1712510304,1048624048,411780756,622491647,905089650,53848177,934095863,2597714853,796176221,14972239723
"Canada",13926464866,213728726,658940621,305335215,374493900,656777695,172994193,782170906,173998316,60464950,0,641844041,91110028,175646287,1118918543,71919957,42679899,71391985,461260111,115100533,4113392665
"Brazil",314096702,97955417,113300721,93620528,91547249,87209740,88844346,110799911,74295636,6142369,124168333,0,7346547,2551020013,16890602,22331286,9736867,180154013,3984989,62720096,1710917078
"Russian.Federation",1380501843,1417227115,1080262356,1233769278,408326534,690141732,653620820,1100424862,476701499,18791264,303986166,3581235250,0,1022077057,47274879,617164924,672643323,246765328,183381299,317875083,10636296354
"Argentina",87332533,16689235,25518122,17574422,16874370,22261834,17648250,28071218,3959628,1019384,10208468,462594856,90798,0,11829826,16061413,1118480,10835458,26511705,18208148,975683721
"Mexico",13600032718,85042125,147118590,163026490,96252809,87528082,232556850,283744491,36498868,11571402,1395842756,100739885,1701371,240191227,0,31410404,35233836,24501516,65766047,2915238,2255267602
"Denmark",253585166,2531475673,694838490,1506180791,459820287,565734852,417936028,126283030,406017044,9478201,217080894,275211729,55636816,370310528,7755700,0,305807005,35086367,49116766,109837240,3367045141
"Poland",179274079,2046512152,445690615,1011156615,229663230,564705398,677622950,333025080,205416279,1795192,33839404,199439708,70082156,631055111,8535605,507922155,0,32040237,46972496,28021801,3725847203
"Indonesia",1203752423,37144858,68350053,133672166,25411219,8903048,4353006,840878014,50785327,29148185,420106484,283103336,25207663,433732123,5588054,23527900,2501683,0,898948561,297575540,3217110706
"Thailand",721609891,94773314,118294770,106471910,151075443,31632021,36959540,522753469,30934201,204475071,141303800,538276279,19020036,402165433,13376754,21553225,7660662,342240516,0,210899803,1997250323
"Malaysia",641842082,78620987,115492328,158865623,84333204,21159310,11971154,934539459,32232799,42512212,178007715,324562779,1168697,699921426,10873024,56206810,16578183,1441642844,910566460,0,2851172243
"Other",26654533621,18628168967,14169835077,14039256394,9411577082,8804885361,10361994628,8816151745,5984871908,986591449,5375244222,13987222519,7776908646,12140833788,1174790605,5697678080,5043514167,6106685399,4397084789,5709152074,93724632113
