"Country","USA","China","Germany","Japan","Italy","UK","France","Belgium","Canada","India","Korea","Spain","Russia","Netherlands","Switzerland","Australia","Brazil","Turkey","South.Africa","Mexico","Other"
"USA",0,31392919116,7601989662,6281581255,5286402172,4405634663,2617031320,4280084855,35547970796,9026688654,3660555559,1457147997,5335296921,804156638,1168068164,2226551097,5826352376,1602054094,6665301406,14805575975,38203145376
"China",6469584132,0,4493373571,17944111476,1105006263,1327618759,992703868,1656740567,3181098209,10566509324,8711445569,1900765126,2293241061,1013198815,703648771,17942070907,10333095722,868379206,4428251232,656204747,34486283101
"Germany",4465478000,7055022000,0,1368409000,10159625000,6344793000,10638325000,9531149000,1422996000,1086590000,533023000,3726974000,5974324000,8925029000,5554959000,459994000,3524233000,1253215000,2535216000,454361000,45757431000
"Japan",5363946466,10939583305,1100919788,0,497209535,1064460447,849665243,410122200,2306659401,1444657654,5099442478,340058933,3144987243,102789742,480872395,9784508821,3571028843,60384035,6003445305,705798470,24925763354
"Italy",1341463437,6154013471,11702579920,307049609,0,2318120427,6653207805,2937747901,672889630,1224685473,800704745,3424930049,2872093012,2960917064,3815084982,700302008,1545318143,1394553221,2718634884,194855534,25530043770
"United.Kingdom",10864418632,5685306419,8269308148,1915500185,3242162570,0,4426497466,3119097406,6563410759,1510040992,398971171,2210839663,2417399106,2396035019,1739542477,3850868905,1114514601,1479487854,7585373944,203557142,14561992453
"France",1879353477,2994192570,13927113500,449655730,9615965150,3475321673,0,10409298445,345729491,361907446,162192677,5534646146,991023592,2420914865,1497755783,332583446,1277856654,499740546,348916497,201765325,12936833862
"Belgium",2472991452,4430056715,9437807754,343554582,1666963260,5739184760,6824437563,0,1042541719,3036111289,652582785,986168319,2334874276,8564272294,784531513,1140229205,1369582723,568328362,1800841181,251613140,14992008768
"Canada",24408011336,4112486326,1072817161,744545700,627893032,497187973,405311747,264793669,0,390447465,496628862,218094919,158041079,122262947,88142692,284938701,437220071,180644977,444185623,723802051,5314710960
"India",2079954654,4045380865,1183005815,1026896715,526973055,2468383673,422882738,4104540332,312828577,0,1395917704,209327730,1064436768,364707037,9201495838,4239242131,460113148,130396494,2126381293,165203562,13695683912
"Rep..of.Korea",4079548160,15844350647,1463839702,13689446449,383164583,690348256,526065287,183259094,735374265,829592737,0,195769712,2011917526,626740682,608525758,5012572657,1509678673,34424629,1578243554,474060175,11326567439
"Spain",1164099619,4733995036,5331433402,166190170,5447638682,2283602964,5696323924,1555568609,291237219,505378261,280941876,0,1180981932,1589610733,255763492,484412430,967638903,1269934697,471690424,195947762,13405245772
"Russian.Federation",397121086,2945788525,2411564281,270199947,746621465,301465642,369609533,209024707,65048640,97809106,293177528,224741705,0,160210550,54769485,8336047,89407278,640454256,69488242,22019070,9952039028
"Netherlands",1137051390,2499315926,9526616037,356466121,1310561602,1580617809,1442433588,5072691807,524677024,305858464,139960264,801523103,2143687039,0,169992435,243890432,1147709028,343963812,454637187,108202834,11347086367
"Switzerland",1436164697,367858303,7594009295,823408818,2972026591,1023879251,2289956387,971905468,34713918,190300373,43208096,276287313,556469934,491200200,0,8672056,249158312,60228144,749299462,4752827,4678871953
"Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",1183600375,1107967629,877053265,361746104,343156788,273032581,284068185,147915251,149802081,75580866,121178174,186604056,122926767,92624359,90298043,19323518,0,35035051,256334451,126264565,5482946530
"Turkey",1587289034,1693502731,1683823912,172258150,1396428516,1138486472,942201712,694623743,226795425,306498742,335930990,547288439,4915136900,552769985,3526650580,189431624,409265326,0,1698112768,8024407,11640724678
"South.Africa",348764839,947015479,603698942,252903699,205809395,293178019,187144365,179927876,103850253,220882948,102109173,84287455,109605288,51053392,40538656,87055959,189002505,32472372,0,26025342,2436681691
"Mexico",16700150224,1626353609,1030161142,1373942078,983757972,427690591,307379981,98252274,1083477526,246166212,662519731,575423769,107441342,113389033,83428973,81654026,729609537,20076212,158825692,0,3013040763
"Other",18438546173,41486491805,52234296302,24551674877,24792593156,14751670082,12652064176,13115866734,5634587104,19107687126,10502606677,11205346144,23550655407,7721001863,9911149037,9868594412,9981404069,10990288485,6258073906,2665737905,142716956278
