"Country","USA","Germany","France","China","Belgium","UK","Italy","Netherlands","Japan","Ireland","Canada","Switzerland","Spain","Korea","Mexico","Singapore","Russia","India","Sweden","Poland","Other"
"USA",0,17080308588,9337203427,19029989174,3531689175,14500696480,4105019439,3464806260,11589021998,22279866888,31221547191,4146459596,2041949351,3414712327,6271346501,4634349477,1979547924,3083830564,2383690868,200932698,29079370935
"Germany",15197352000,0,13909734000,4022779000,13737098000,11518552000,7712447000,15253099000,3460607000,14538521000,617092000,12179922000,4126495000,620515000,269107000,966740000,1052580000,1083823000,2609762000,2691006000,20334839000
"France",9188157278,19405304939,0,2210880079,9521068757,7148885398,7175602974,6768513369,1787370954,4258986902,740731267,4122017122,5098211951,288475976,100917660,2854833222,833767890,364174861,1377383950,957389863,9898856347
"China",12350266533,5392017912,1745953169,0,1599513411,1189285523,1142834737,1128194955,20517007253,348346577,2456771409,766130210,899634604,19318655417,305226240,3886203189,2554383726,1558454470,417609508,265162121,21962390479
"Belgium",10164782840,27358500187,9288654032,1321518705,0,6585669613,5770036466,12434281334,1633211088,17982199686,244718942,1310450482,1414177393,324234696,321150579,1180028004,438278634,354833451,1346429557,438845321,7691661576
"United.Kingdom",8317408154,12809401986,8948556412,3012312709,6653258757,0,3761186211,8343284496,1480466146,7903846914,2280902639,2391753179,2900493511,456594054,128925928,4346724875,810137150,799510870,932820911,620449878,8255186949
"Italy",3044847173,15174350151,9602832031,1880890413,8877772070,3746608662,0,6080291423,1164729090,2536025431,108067596,5172511805,3626342758,430557376,60145542,159436974,308244550,613287445,647162429,649535491,10028289002
"Netherlands",9013547811,15241508504,3647870431,1520196613,8017675484,4915690299,1777448556,0,972185330,518721648,561227307,1448475436,1565514569,185294693,84279759,1417131132,284396326,293990259,561588279,414344038,6688162117
"Japan",11262697179,4406801724,2829282270,9566809474,749574473,2179126042,1270393128,472633133,0,2221482834,450025952,1824280979,639765369,2594797030,117953484,796268970,95833498,329537309,452336251,45646664,9859624372
"Ireland",1770182581,1248554926,941113888,235818919,641183001,4083212351,335435287,713827858,374565142,0,76814512,379299471,177571474,28813418,8002137,11252280,55640451,94785680,45941515,27251160,1291669980
"Canada",29838954597,2287397968,1423548492,2044003258,304413117,1653336690,599662715,401084060,800514683,1779825688,0,1126431258,259300727,349315659,427237959,617054045,87294776,417650564,450647814,24609470,4273545471
"Switzerland",3339399646,10910286702,3130654178,597774878,1380691944,2830094829,4484860579,1443427345,542970562,4227478201,393177288,0,1644175921,100465067,54838015,24656026,487606055,243828689,192215983,106442675,2857802724
"Spain",3236527447,8882102189,7519862882,1678449523,2953141126,3718939320,4586043187,3354369032,645754146,2841449586,80629154,2012229008,0,308440587,152602030,292206803,235773845,441382881,561455948,416391202,6956390454
"Rep..of.Korea",5663335376,2474629204,941838324,4795372083,549264775,729128748,652467000,338556209,11576320642,128661314,333184872,412188463,216637737,0,40967601,692466380,258780250,329206530,133792040,10899714,4361786076
"Mexico",25861290284,1919568372,947727252,1845981472,242142092,609593871,541508007,218593872,853114707,725065718,963556927,459188870,512728344,572163933,0,239444647,252679839,291724599,157655158,21368149,2563459525
"Singapore",3821635699,946682696,1413084701,1408206597,217692440,583563935,285323230,242467689,2086551155,189682594,71293112,440121329,151777165,494493259,35718343,0,9488440,465222654,45658378,2640498,4649262840
"Russian.Federation",1252619641,4556354825,2344539391,1605219755,806017942,993310823,1162153073,871505955,473056720,225816287,104132153,671024792,381998630,859779009,10144568,47614500,0,538572039,454486733,1095599731,7850512531
"India",2775912388,1224955138,404842920,4517635108,293651316,399627616,378306173,371649647,710203910,34454021,230356520,473185337,243612386,773242691,28028060,957777126,511996236,0,71357798,12558916,7606590650
"Sweden",543840111,3457685968,2213888485,319276640,1535949003,1773070342,505741217,1804477919,357445873,294172184,25117070,424153067,279327440,91255328,886795,12831653,288054555,48200271,0,252451474,5119304448
"Poland",693851409,7555075822,2507457063,627531005,1433208253,1386266801,1597187640,1364697844,218676118,296836980,53934359,629881412,581567349,151742751,13317789,31463619,472554148,128545329,575440054,0,5770673984
"Other",36921371272,54547723381,23641441316,24723576501,15542209039,14796239273,17401548380,13723748888,14369176727,4408799071,2528157335,11853759626,11831140255,9261123286,3854787474,8337749665,10814110085,9430883160,7084515335,5440852630,104643280522
