"Country","China","USA","Germany","Italy","France","UK","Japan","Canada","Spain","Belgium","Netherlands","Turkey","India","Sweden","Austria","Korea","Mexico","Russia","Finland","Indonesia","Other"
"China",0,7559067765,987912016,1675845455,631524231,795281893,5252866099,1909057399,220966279,314650117,430398657,168168306,1428294833,454880162,144950295,3825953685,97528351,3783144097,387296615,1512012125,12867884206
"USA",66756150680,0,2503365799,5408691685,1515045164,1377888390,1513340616,27402664382,783841493,431305150,527362618,1370514729,6399468026,438490420,333233707,2539290422,8459100781,203429840,1348744043,5931369984,48233456298
"Germany",13679769000,1523024000,0,6192095000,3337789000,1585142000,331601000,390419000,1197391000,2082413000,3448778000,5233842000,2263877000,4028425000,3383371000,342010000,27144000,722658000,3302178000,1177797000,27161317000
"Italy",8813678774,1418645404,5337679673,0,4444192867,1259864261,220500240,443410718,1973582542,1763270282,1330866051,1749667200,1672315466,1112101127,2905183321,222927736,54752784,425718991,568119041,594450061,20352581132
"France",9622044063,731344567,6535610939,7890875270,0,1561811533,232796744,338250602,3209130018,3903992864,1420816137,1702885165,1665578561,1129881966,757351176,240842489,33079229,201499056,1309625125,627341472,15670213706
"United.Kingdom",14034609797,2207842948,5164749310,4286844218,2990850616,0,164808549,876744188,1457692083,2950962213,2652388273,3808617295,3034834157,2549991817,636365538,297332621,34911147,397960616,2157415467,1009202568,17324808180
"Japan",31532354260,2991251089,430219014,2695324030,1075410480,348631241,0,1676158861,237561595,81601035,111690042,97559311,370253862,385432861,394548673,833157565,41865698,1023471260,693571787,2081986465,8911039534
"Canada",7594615723,13033041194,323337964,602078483,312233126,202894810,114776528,0,103835242,74824080,155628307,172343800,593386377,68070022,91592117,202056275,489040258,27056842,135243124,317875601,2891382387
"Spain",6186008413,680440165,2177090826,3965227887,3445505932,757940765,67225993,135123578,0,806986775,813430679,1575716326,1105513039,722261506,380522131,177123755,46859519,69630681,1048841170,434648205,9816417026
"Belgium",4170628711,603905664,3845214859,1489512351,4432777199,749209616,55883253,286834237,585919720,0,3856260554,781819523,603124822,428432015,195911729,100494207,21988166,138444015,794226111,591961705,6285646103
"Netherlands",3892473206,734726537,5395308777,1098421737,1011477912,1001171638,69466124,122022765,335742402,2885383247,0,976873866,618571305,1457310367,334901051,88689676,7311431,140750836,708875072,433048777,4950346583
"Turkey",2714556592,1282737967,1072522744,1338905569,323501162,313044168,72011401,155161667,393392650,128599976,121908722,0,923042274,251318483,272774896,339173298,2096767,417966594,331429347,614626292,4117244113
"India",1739880961,569481115,287534608,259534271,93395087,236920243,95349170,209307490,49098858,43595245,68108387,41455147,0,120222888,38084888,177411399,2090792,106711730,83875065,216156682,2914553059
"Sweden",1133533219,188607064,1251200339,421574599,199402920,372188227,19454111,51142153,119393967,299570855,433390505,319877779,260461999,0,118490404,40335764,1500396,225886090,932097911,44926139,4550840221
"Austria",1550949603,112284881,6166857718,1465321830,303130781,178692889,35679678,17916062,187170831,136895607,248695378,447838310,227762189,371571686,0,33780922,2064904,69890065,233621171,94756979,4612213595
"Rep..of.Korea",7658937934,1807656569,236039611,873469141,252000843,180848616,778542262,696619985,47926384,25942913,58511904,47554370,313844380,47794282,80986309,0,26552818,271052106,131316113,961938510,3316171206
"Mexico",1198752775,11062754888,253267689,425996844,92041839,63780535,80907084,566948289,503346746,45455542,39778020,102881353,194071348,40840862,71296230,199544178,0,2889548,94473209,213686263,2957603996
"Russian.Federation",4143940182,158183345,1335996523,954500033,245802527,198130237,26010198,41985975,134148012,138053361,113990332,692887958,140518862,216647956,191101473,199974210,4286872,0,828252255,101556283,3625736191
"Finland",795443129,55965042,668376978,193490436,101966860,164345045,15457457,26632352,63184213,91573053,180194068,135594390,118004290,797192996,73321775,27960374,1426554,969314429,0,28934259,1899738689
"Indonesia",595164567,590580972,151716203,49699913,49204789,116135536,181319821,247490047,15832734,35723964,56990445,11015639,122385399,51799757,28977561,150300470,8955750,71080767,34136374,0,1371570529
"Other",42398592095,12739386474,25758568888,21394669824,9211268206,8423216407,2792430138,1812261857,9051331995,4293158051,4256235649,6450555321,6898859891,7704790699,5921933354,4549929503,775321180,4324018260,4910303207,5046887229,62643381754
