"Country","USA","Germany","China","Japan","France","UK","Italy","Korea","Canada","Mexico","Netherlands","Spain","Belgium","Singapore","Malaysia","Sweden","Austria","Switzerland","Thailand","Poland","Other"
"USA",0,65799239931,216867820625,127966779841,22786181934,27716861770,16254374696,35215559357,125061920554,137041544948,7850924263,3680991787,4335867993,13060537268,28685105605,7815780294,7361831702,9160037101,12695423109,1408251238,68275779567
"Germany",37373407000,0,48104600000,27526340000,51525262000,28196550000,30047354000,10710687000,1518068000,4141813000,30994682000,15384682000,19879516000,4130633000,4755439000,7703828000,26018845000,18109331000,2656755000,17894645000,106990624000
"China",36197295237,34320310217,0,87767048164,9054649920,4170447679,6184796243,65064191649,2075913181,2165157441,2071977596,1304086754,1352241207,10973473471,19188230496,2683585227,1716872605,4300114479,13134362330,288542853,39831305228
"Japan",36196328397,12383769527,64629219041,0,3476953875,3614463690,2007332754,14623933550,1125330647,1669494139,1307178863,363468088,501837024,4335696213,6681181969,1103209359,679582656,2753883790,9872628611,227899965,17153305540
"France",21876097372,52172369262,23156029286,11454816782,0,13173856567,22537756090,4732145752,1712577941,661408921,6051028561,21662483039,9322767686,1386973784,1636641610,3861974377,2343468758,6868301442,1021209540,3959128576,35677165074
"United.Kingdom",36719640814,58111067923,29609421317,18256852355,19016007510,0,12736393391,5364906990,3364208626,1564952457,21421209421,11383373901,13623401051,2080680282,2754953232,4604131990,2848999179,3311197854,2557818248,4751324657,40962028573
"Italy",7237032490,46779362459,12279994756,5549892491,17497105856,8124254390,0,2864063254,511353418,168123974,11203967731,8723939625,6751606832,152702000,562584588,2538261762,3369153561,3105934158,897964683,5918556297,24632305599
"Rep..of.Korea",21412593856,9222932386,28470735612,28669319204,2007941190,1663719857,1522478083,0,496734832,416426444,2351654013,233196741,279087030,5649980000,2663892808,723219899,530625567,916746034,1877065177,165981588,8494682902
"Canada",115093090031,6837669002,21230612028,12573367369,1868806601,3801965923,2065783525,3891614407,0,12576976926,407990794,263209736,413121109,715046861,2321350943,1094203745,950581745,778482300,1150098982,416612471,7112403740
"Mexico",61947805178,7383564413,24658709940,13504178104,1500271960,1019143362,2087780849,10823713948,3856946218,0,304595270,1689931852,305980195,1664078024,4468458708,553965302,380607807,688012651,1795830998,160210184,10872201768
"Netherlands",19450954860,26655309038,27043786513,8174944633,5784847208,6758346041,3126369426,2320333467,669987383,610529695,0,2279461112,10559260995,2539637899,5262097207,3606171815,866144220,1149185865,2174151557,2193637263,19380202753
"Spain",6498670493,39364918119,12110361036,7439901951,25244311507,9304524231,14583971738,4099167671,554074307,411252886,6425761952,0,4515092311,256209381,668383810,2715635866,2346978472,1707794112,1033505116,2594004140,20251936011
"Belgium",8361921637,26884915023,7021402623,8274019441,14916878510,9201790423,5265708023,2174787839,318174482,760517522,13158696619,3388126199,0,252142589,323640837,5635576346,814214525,1061381362,808775741,2012118429,12620187720
"Singapore",25619862243,6273894162,22929540726,15379179660,3478377831,3145754212,2159219538,9917035558,710115147,430969426,1434074699,243723392,331189357,0,22436921338,681636658,833124321,1591417839,4620681881,79038770,20861066830
"Malaysia",12075677649,5643823821,13364923504,12561263783,1797492204,1201514412,954921317,5372212548,264541155,172816839,475926923,96290226,153154888,8020686927,0,453212989,296757124,380375060,4264648412,48605845,7043390858
"Sweden",3413726460,17968533924,3057603951,2080683327,3628687743,5290273590,3022774294,876392839,232569397,35831160,4372835821,870732106,3221979258,118190503,244327130,0,803289775,660233282,375806481,2712536983,17350049384
"Austria",3428467661,29838858065,2535428285,2190305150,2406346142,1647643170,3917428713,639284229,374019826,203700733,1673453621,1084460037,933152706,117154922,189804028,898002553,0,2537181277,199399645,698479852,9454295431
"Switzerland",4183961220,22697470875,2042634354,1515729326,5103879175,2466048794,4943827393,509811250,403654603,49741325,3037800349,816979864,1579733568,246890691,165059580,761582223,2459869335,0,460003584,453334733,5775933063
"Thailand",5290341596,2340618789,9042668534,16738160477,563867199,756848946,602398281,2366086664,158405559,234947753,418941230,126756065,105323461,3308484766,4500361275,201559819,108329800,541205886,0,31273593,4359124927
"Poland",2014891380,17478241015,7220997716,2749557537,3823581902,2082904283,5784583315,3384546884,139643021,190552400,2086044891,1434110627,1170790043,303296740,455735384,1350103721,1100233253,677553202,355215375,0,13747712925
"Other",132250223128,192843998263,147547809536,101659987629,61308697658,52863349730,65314454814,52101267685,8053319313,10843497806,29672184350,29971708017,20169789404,19558256152,13501007024,34156980291,16695666922,12358498194,17116786645,14937835676,219606938018
