"Country","USA","Russia","Saudi Arabia","Japan","Netherlands","Canada","Korea","Germany","UK","China","France","India","Belgium","UAE","Italy","Singapore","Norway","Nigeria","Iran","Spain","Other"
"USA",0,11519373751,36451904622,1419827125,3832967504,80081675194,4112380725,2249580585,7983546672,724897599,2260838616,1024068927,2649797929,285232967,1918863856,235969764,3898830800,33666481045,0,1765685267,171811570703
"Russian.Federation",106134651,0,0,30733176,24633026,5180242,51508858,61482736,20293310,162915696,17280506,296139,40050522,252585,3887314,638898,942898,0,0,3778078,1784815111
"Saudi.Arabia",37915917,8227,0,7157502,2561748,1684550,7765292,8232906,3894436,21466286,8392853,8573118,4578285,36354892,892058,2194644,1507,0,642739,1234201,45414799
"Japan",1045236145,5209766955,34666288920,0,243922444,1143823816,2934892299,14946082,11293708,2803405459,37946760,996490734,7852215,31954879707,42157874,1055888347,61558613,629626023,12454533338,554656,74552539301
"Netherlands",594029227,11488913215,3857394266,167177391,0,217940146,365883002,9108976574,8769001312,85823849,2464486788,382519351,8253439211,629572077,322649908,92711168,3376098569,1011928098,298932714,741052494,14691115898
"Canada",10139556629,976253439,1739779923,153784110,263966200,0,34934893,17407132,4191594056,60846858,82196268,449673,952618634,4884,181950372,39197,4654005007,235078168,13,165954142,11466258681
"Rep..of.Korea",958698765,3718293551,20416248785,1022991363,115135854,610006348,0,14641899,2362624,2631302366,12835621,2592060224,3841571,12445518913,19816117,164287340,15231370,399974633,6289368579,619322,44642002664
"Germany",662574000,19919491000,1146455000,38525000,9148806000,274623000,35429000,0,9982628000,245888000,2058681000,33288000,2935732000,14469000,133124000,2257000,9134551000,1087976000,246146000,418564000,23621149000
"United.Kingdom",553014396,8996381248,1183270599,140370325,3792557957,313142814,2046505,1934734217,0,191441341,2902205363,817133792,1338254730,741016447,165757332,142127911,25682076616,501511661,0,106991266,14811819970
"China",412379892,9353663904,13644628708,2097776061,17840659,230165881,6531799152,61483228,111381688,0,41574284,31663615,15640719,2464602322,11099220,1842332011,91367690,489234787,11642790519,17144224,50410784326
"France",971800005,12873075903,3779377183,16930098,1717284327,92871918,11968420,3944994310,5304829152,179287478,0,463761171,11434066944,1142345870,1136117350,477445247,6790175934,1696166655,3228273998,614858353,25527984807
"India",562983330,217933518,15130362909,161772967,191261942,6466280,455230246,39174414,72169850,1231204094,7941697,0,10537180,6335368116,37877785,1787979103,616706,6910731142,8368162661,10090823,31131663759
"Belgium",674916353,3723043946,34907180,207833502,26528805802,33915395,15337266,1880144987,3080147116,117695596,2199250863,80735240,0,99724959,198992555,9919247,3746613294,18223060,373340,183601655,5330095896
"United.Arab.Emirates",47275567,9064683,307114277,8349237,9715837,1496816,29625153,9704642,10428928,6451402,20479687,66266014,8495272,0,45270683,7975486,11383,21770,138043966,1937091,226125416
"Italy",901375557,8810288224,4171618522,75692611,118378050,215274862,30503125,223498982,383497520,115723757,1221033179,40827422,229808115,60521136,0,3096173,1223650631,992737115,5016922263,164237080,36535370914
"Singapore",1120568957,614538285,8098646108,766989191,991643916,82413346,1395721117,7827226,209872530,2289743192,81779035,2913184628,17902697,4064900328,113122179,0,36027421,0,1327801697,23632847,24398777040
"Norway",91678608,198128353,0,94127,74361913,3795906,1177817,54750699,984296222,16944229,79107264,10244,152798961,425,259627,0,0,0,2095,1617796,1698795919
"Nigeria",92339142,33273216,5002490,0,11329264,0,336467,44911352,62625073,20056715,50446483,5324394,42454150,2300717,55229986,2276223,8288547,0,7196218,8666588,145324400
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",708744477,9147499709,3970761684,14113168,712557433,48196525,7607274,1225059751,1218194850,12088164,648695017,116861969,255979267,24628354,4005835902,3754850,1800258165,4929905914,1851079292,0,27419632489
"Other",23880233430,104641686635,32581120175,1672242868,6507544622,1340809490,5388992848,14529810634,9450574259,2915202864,4829407126,5361577088,3462650914,16778992762,7544584052,20834410750,9413880492,15079680822,15621459535,3209774854,161166360205
