"Country","USA","Germany","China","Japan","France","UK","Italy","Netherlands","Canada","Korea","Belgium","Russia","Spain","Mexico","India","Singapore","Saudi Arabia","Switzerland","Brazil","Australia","Other"
"USA",0,99758479283,356304560710,143351759163,44886713687,59740052569,37492843241,21813287951,339074076152,49823393852,17758479936,27931764911,11572987249,218066232793,26931322410,16161164311,57005380622,18247547895,32072884601,10925971419,525997954743
"Germany",66387534000,0,86360220000,33715002000,97785667000,64664206000,66918099000,96192563000,5387869000,13132016000,57631631000,37065266000,31741239000,6179597000,7674134000,5474644000,2182749000,45273399000,13711110000,2684824000,396443740000
"China",81585556125,55789930102,0,150600041097,15644105129,9541781621,11639033821,5299419951,12673350929,112137921096,5336972091,23832761729,5423981851,3690254865,20258886260,20171264550,31022697923,7384708321,29863442631,37435132805,277660034656
"Japan",78937218521,20852098010,143229984361,0,10642732382,7473342158,7962315341,3822934514,12775759839,29475955872,2061221417,13417764907,2503835099,3812946489,5256077919,7886221711,51116474051,6422374047,9109977601,47531823339,270053526487
"France",38295740994,113901584837,45461942221,13998662833,0,33670661860,56494217514,28179661221,4007228532,5743522954,59139861615,20159582797,45316840280,1145884627,5092806150,3963806243,5763080587,15699978071,5848540066,2142311677,176147822590
"United.Kingdom",63856136860,84615733274,58220696067,20709057596,45021985667,0,26867922837,47943911472,14973215456,6799894851,30156090622,14356025550,19332456725,2746079897,8661930969,5355640588,1110127612,15695084152,5937117088,8629558565,203860920941
"Italy",17040230624,87906770182,34637287876,7367388780,47798968076,16630659915,0,28373416230,2575434882,4461728046,20762789101,13123636202,24345173454,849247204,5029549407,348519109,6279736728,16586397336,5643845701,1749921317,180016297002
"Netherlands",39394234075,81450839169,36641208274,13910263056,22248954438,28268955283,9299625770,0,2263417104,3073907016,43401734938,19194335361,7881511172,1785497570,3392738604,3749129369,5093391326,3037833112,7141437719,932541767,119717882116
"Canada",214046444020,11975257799,40152202567,14404326523,5701051279,11826068922,4824265934,2050962635,0,5663204816,2083425387,1802727702,1618981769,16857733834,2107082594,1184169668,2073083274,2964261242,2529391879,1550064982,55385966423
"Rep..of.Korea",38555952398,14769086614,76926965196,60956291440,4885112410,3637053210,4151373385,3239607852,4403413199,0,1314366643,8340054751,1129870094,1049283647,6581241185,8361727556,33781495173,1913570770,4380459596,18000175985,125727679239
"Belgium",25594258421,79859448180,19729995991,12569906709,51928596916,27261236563,14681551544,89845870873,2979331187,3595103809,0,8097970364,8941996990,1718988190,5551026726,1861210030,1466006000,4193352153,4251410366,1665749816,97911492141
"Russian.Federation",13315142475,34022036205,34764801629,18589753071,8864546981,7599377804,10986528887,4813181502,1592549851,10520855620,4058215228,0,4241584359,618116342,1714031963,464882501,22763072,2371727273,4666169131,1025157980,98002787635
"Spain",16709311577,58377627339,30279433300,7566558694,46502457604,19245904894,32189091069,15908011117,2093307694,3974540286,10524447801,11071565387,0,4730522268,3478301432,616791362,6209752045,4262598714,4623535617,1154172218,135666716456
"Mexico",151746429617,12605734177,34690315433,16282453585,3517281074,2595531923,5219285879,4183574005,9442479042,13527288227,884437484,821267610,4055841862,0,1360595057,1697747758,588714741,1440489948,5182663434,806567626,30241537257
"India",24487129829,11418567838,31586024208,7784411155,6404518478,6216829071,4575537631,1881000380,2332252649,8350676521,5262434369,4451326284,1092962462,1800095214,0,8304750687,22982841189,12920218843,1159829657,9568942371,132672370305
"Singapore",37893444337,9235763590,33754833145,25942796043,7891264223,4685108644,3455837883,4127089463,1131200682,17967951895,1668639208,2241846595,751088491,703136874,8455544872,0,14675126092,2583355065,1300085245,4580810624,115286837948
"Saudi.Arabia",15774320519,8545907216,12677689715,9400239218,4065528813,4059951741,4610270295,1460997026,1812379332,5124822140,1509260821,1075528278,1350348621,431492806,4803130269,761109485,0,2065409249,2893554283,2473122024,28384248011
"Switzerland",10654756485,61112690793,4641568232,3874510580,17323547349,6718897521,20134877650,8382237426,1051001909,634765713,5808747041,979574762,3634569337,217594847,1023967828,488722722,239765163,0,908422987,218192206,33170088477
"Brazil",25849679698,12025395819,20040022368,6806891705,4700839531,2551929664,4612158357,1476783205,3209883255,5412420144,1643467519,3331870149,2471872189,3125007158,3563603506,1744783458,2911979067,2258530285,0,1229952300,59250823555
"Australia",23899920300,9873689081,30818262323,17512252407,4318150029,8622659752,4620822128,1593601264,2355755527,5282361241,1672864846,541048061,1818467205,1227380685,1615080694,13607477541,691692317,1950545012,1151318251,0,53081579905
"Other",270362549531,467809970032,333961882492,181606369442,147709713624,128653172431,171737073717,96655395708,28147052997,92635375698,74104948334,230805372754,89373557521,22410164423,71582609104,80295568904,62009082536,58397446410,71086545911,37220345350,1190229775486
