"Country","USA","Germany","France","Netherlands","UK","Italy","China","Spain","Belgium","Japan","Canada","Brazil","Argentina","Russia","Mexico","Denmark","Australia","Indonesia","Malaysia","Poland","Other"
"USA",0,1467613713,3961462085,2484038630,2065064993,3690976807,5990632021,1358206609,474976839,743784651,20869814819,3402536230,1331131599,465908750,12496796707,421746124,2550260255,2288205543,1849827062,331162806,32217952945
"Germany",2393572000,0,8434968000,16193465000,1472804000,6979183000,1910749000,4569389000,4251545000,47894000,466330000,4313719000,1521241000,307701000,190742000,3601549000,232721000,1344422000,180863000,3602129000,24315155000
"France",1053592572,6727549111,0,7726540036,3103102370,4668158091,726426197,7424962292,7017188641,55793703,333377138,2328263178,1036286429,86362728,103612878,640303649,97556831,345901802,131298282,725900162,13382867677
"Netherlands",1825692812,9910483273,4966239742,0,1844476822,1028057601,975757660,1645853756,6073211399,54398183,185125929,4379039064,2106013354,89115003,106179456,635763853,243122368,1172525608,1250506947,925212646,12887287467
"United.Kingdom",1945440584,5176399132,7494161734,9345065228,0,3549511703,836067458,3659941602,3361307325,48474346,716773827,2086213392,943726326,144990325,188736445,2410221229,1427435736,386290270,188760501,993062434,20238264837
"Italy",1070192463,7827269825,7890861373,5226905125,1027198941,0,475687219,4728159924,1446069529,16170733,349288519,1663147714,1603128088,319577955,182520300,1233673987,62968324,526180334,193917701,768618898,13458201818
"China",11711592091,156001793,1213246044,435689811,188279384,109657951,0,116526249,49681089,365208176,1630139839,8746463095,8384587455,1318990612,37930925,396247765,1099712709,2622257485,4045206813,19448714,7457109221
"Spain",1798921225,3268184384,6059727393,2909714666,2160508307,1580131334,711759064,0,1016910213,13262476,141865399,2107728763,3064454637,118674730,148488283,676483111,31697200,253625468,116864085,243923160,13117476101
"Belgium",595994914,4242803120,9722347420,9382616247,960176975,1221612285,300794851,1104974678,0,15581197,614108402,1352760951,571073718,37524081,85985585,295014054,72072311,254826870,57707752,319956359,8016007389
"Japan",19999377484,1355214115,1861722455,877611197,357644841,853584307,7535224575,517910816,178405860,0,4717842503,2509090221,318487567,1291600718,745253972,1026177187,4732814822,1047664283,1124656532,65609281,16043073479
"Canada",16207779457,254728606,727765900,312789875,395661606,735077733,837672967,182065524,181084890,66335547,0,653634317,188335502,75737433,904912374,79183609,411929328,101518005,119728445,49133548,4647065976
"Brazil",599660172,157137373,136218708,128286740,106969162,117241706,290877227,117440856,103557869,8288653,184416305,0,3145113121,401286,27141161,39436359,22280494,248629927,93856954,15898195,2321417132
"Argentina",114710597,26305327,26187889,19643136,24207823,24171216,37495262,17036642,4967684,1029142,10402540,556330785,0,86254,18630873,19642206,5153357,15971400,22849822,1918383,1798017206
"Russian.Federation",2175939323,1912119444,1344482028,1611650422,420026085,834986329,1352938461,849499301,464792389,40945691,502159187,4067741277,1099090405,0,57350646,622847579,394295806,320420352,677868441,733096262,13797665638
"Mexico",16721197061,57250571,149826235,166323233,92083885,95266405,315445782,258972259,31650980,9498025,1765387622,85298496,233189793,2393451,0,30292718,98609451,27494549,4724766,20965291,2466769833
"Denmark",293441627,3076430669,745498663,1695206774,543341032,677861898,153917833,444187949,407074226,11626244,224336761,221509657,588518499,51912425,11493935,0,85908666,44551782,140954246,367605072,3932966253
"Australia",1075184507,224205694,302704022,248052275,331790622,429884772,707119589,133244345,110657123,58969769,217639068,271412357,193128821,2389111,106671416,247562672,0,208480915,424578464,32513858,4502630618
"Indonesia",1957743326,50900219,88126074,126056296,16276621,10686914,847765192,5548015,81647364,57550853,608361755,288196613,588253903,23114223,10968976,41322395,1671006408,0,334016954,99514,2740043712
"Malaysia",683730293,52032952,126099403,153133390,117468296,23824909,811498238,18301281,36138073,71654325,209749529,313917025,626793200,10300119,12520481,43499724,857743051,2323353852,0,4806337,4540989312
"Poland",261372437,3269578800,614902072,1372542202,375089266,700999515,458320449,885195416,319714503,2957878,48874086,216558195,746476685,68950007,11256396,707932136,8226274,40269373,47867146,0,4915266964
"Other",33329678043,23775242071,17935503847,16738300597,10442641389,11404200760,9799683852,12200298420,5662838235,1403000923,7241514643,19505645342,16803061129,8481822697,1879577505,6495395693,9051469875,9196714846,9352970295,6635712159,124313465307
