"Country","China","USA","Germany","Japan","Italy","UK","France","Belgium","India","Korea","Canada","Russia","Australia","Switzerland","Spain","Netherlands","UAE","Brazil","Turkey","South.Africa","Other"
"China",0,7274158778,5044088075,21125882689,1309864954,1476045388,1303629550,1593039585,15730288272,9501111499,3497819798,3171444869,29452242170,808352761,2561125521,694809711,360233215,16441792852,1393731326,7018547003,41107060131
"USA",34427266230,0,7872992004,6547547163,4755516686,4275019091,2636198169,4219011877,9423125532,4591647571,37732823906,5581866598,2392547984,1686148918,1468843696,801889743,544702635,6060719620,1808467207,6186343833,55067600968
"Germany",7941809000,4611628000,0,1464810000,11265343000,5961425000,11454104000,9906903000,1227570000,569251000,1711268000,5938191000,512287000,6899465000,4099166000,9609766000,265938000,3969297000,1449664000,3265470000,50632597000
"Japan",13190960580,5951196741,1260019116,0,496789095,1243985604,991795050,475401416,1711603092,5923484371,2254412877,3403099276,11977546560,639793185,299828902,116447446,388002469,5781015091,33429593,7478759298,24123708847
"Italy",6825670571,2118904083,12184327927,356797906,0,2101895343,7324148573,2880185690,1200974738,723825079,559083173,3222263977,486147323,3576333027,3587424431,3053946511,234771870,1898968940,1459265981,2606259029,25332361919
"United.Kingdom",6034635818,12589509891,7921733965,2753556476,3298277681,0,4767491525,2949058110,1529969685,541339068,8103340269,2708326407,5292850706,9005845069,2169010733,2306533795,434543008,1525886456,1295945378,11682568399,14730693438
"France",3480401298,2035622154,14765081026,461000534,10209404746,3496723149,0,10832151761,393358496,182684775,500815709,843119247,242624879,1740412831,6197484625,2463763856,43528371,1592117841,557782310,422688316,14185258182
"Belgium",4794477445,2292994892,8487097004,399512052,1771795550,5792377370,7561117570,0,3251562096,599357961,1000537459,2171066638,411082046,877257600,1047793207,8783938134,1938462730,1518493685,597963796,1402524690,12702952415
"India",4782085584,2449345102,1428544487,1272284971,637786320,3064909639,516465818,3997420377,0,1961829211,330310091,1320839250,3538622002,11140739399,206624316,273308654,6803492526,504950225,242113484,3632172011,11178164972
"Rep..of.Korea",23159513916,4780999570,1513582262,16043145685,450787482,902005477,695990118,187583305,872797538,0,814890023,3128808016,6196717138,351225419,181953046,312568702,163357451,2995974439,50590363,1931666068,12572620575
"Canada",4872265580,27453479715,1148791817,935004049,670108298,551459350,374310505,219864388,478240344,498783013,0,171598412,205886710,217202786,207095523,105626366,124407899,370337847,221123227,358846354,6855937569
"Russian.Federation",4108233727,667153154,2641448088,355216569,1100112975,423628120,443111908,349909509,176132158,395325366,80365980,0,14500703,90051298,272600437,179062235,7136165,90360148,1238295930,172000913,12079439050
"Australia",3769796407,1419833439,684031327,1278965303,572537279,3229409336,214358501,186112147,384488593,649527913,507350556,23178276,0,132200299,115510485,80079407,73597664,192230002,66963715,239848890,8296074957
"Switzerland",410734554,1937747305,8632033065,1503663378,3261763599,1558993776,2592382311,1020806339,255577987,63160135,61465457,634359982,26749514,0,285494163,516686478,352430392,213108056,114049261,476603439,5155522564
"Spain",4164813717,947465536,5458701586,223802613,4892137769,2080783847,5894534184,1452099427,582315458,381935560,390575481,1203122248,293135041,203391678,0,1551574032,32575780,1336665996,890385106,615387586,13411048343
"Netherlands",3055694720,1284033191,11654045411,359912399,1391879160,1647078225,1745427571,5178787259,386345278,196868143,364232663,1417654863,255735413,223775486,631769230,0,194942296,1184699555,337320901,393011333,11957507008
"United.Arab.Emirates",5242078536,1356242329,905969336,1068332413,1695202590,3261106912,695298678,1602541512,11796233121,982770320,422494678,645840201,1452066743,4358889804,378474050,144574283,0,272657172,6722992438,2880761469,11528899231
"Brazil",1908806013,1840556145,1147787346,557209282,482364510,257969549,391927666,207403206,157358782,206984353,575264952,309352788,48822524,70503164,254439932,84186180,52491789,0,53853145,397401107,6909459996
"Turkey",2258659668,3103291553,1926109672,257134756,1635178425,1181596553,1170588195,1012178780,348634429,480471113,398812419,6472754508,134504793,3790264747,717215613,705717730,470612881,536147422,0,913851144,13605405253
"South.Africa",1179336617,376522423,637541516,226128741,238001691,237577238,227453821,180877432,252015105,115834963,327062286,102099077,137255046,42959615,76343931,62089367,122601646,126045899,49010120,0,2345083302
"Other",50388931504,37679046756,58866137190,28820636652,28383453950,15441510604,14140620917,12364634589,11984734186,13480358988,6418081211,28208391575,10355920334,13439655063,13929700038,8883431140,8310509681,14072649634,12639209349,6581205571,166742123479
