"Country","USA","Germany","China","France","Belgium","UK","Netherlands","Italy","Japan","Ireland","Spain","Switzerland","Canada","Korea","Russia","India","Mexico","Brazil","Poland","Singapore","Other"
"USA",0,18331152711,23455747367,10610872808,4713668579,16169525448,3442766168,4853461450,11798060841,22124108054,2191778542,5317642599,33565885427,3861706046,3198670388,4385292632,6658209680,2284567191,244871720,3835757811,35817397918
"Germany",17827300000,0,5588351000,15967601000,15364711000,12032682000,16930674000,8798391000,3296536000,15605408000,4743661000,13137383000,668765000,671663000,1150446000,1345660000,288893000,965677000,3556497000,1037166000,26134481000
"China",14161114663,7068210686,0,2480530810,1957720606,1458766941,1230290311,1528928167,22015279054,448613729,1055244709,1019007044,2657591706,21148753486,3092137026,1530993925,300366864,302337924,193139685,3864838576,24624755048
"France",9555913360,22265707034,2701576318,0,10867126520,7898484545,7698508361,7472083034,1868503326,4687786452,5857764115,4172343409,686381157,333973899,1201589918,498997423,98043084,334293646,1206347817,2024083252,12130461529
"Belgium",10540692424,30914440930,1660139249,10130487983,0,6362347874,13456930889,4477292854,1831431708,16489168055,1542782210,1803309538,335675040,373735129,866331418,478979131,371551804,326902708,543911312,1476876455,10091912063
"United.Kingdom",8695273456,13306127910,3381017566,8997192320,6981248859,0,8699322532,3489367890,1286248107,7643744903,2682050360,2699441153,1345415245,455782573,728395990,879797615,111505946,192590354,853283036,2422058830,9657754339
"Netherlands",13913540092,19017537584,1800332635,3925915365,8981410094,5540585723,0,1840436523,1278497300,671491487,1503470731,1204750762,224233740,249616023,393199939,379110458,91497633,467397364,494469737,1848306415,8736666857
"Italy",3338231080,15853955886,2353740029,10018766182,8350601031,3668787275,6777110504,0,1320811799,2614656456,3743135868,5997342435,105668784,509245940,347693508,690873871,75764198,274604439,709392478,101045141,11250563448
"Japan",12417478480,5206722557,11806229062,3269355916,907863834,2434691232,566816008,1566742523,0,1913345860,958890618,2469483067,710439512,3575661445,138330233,448332359,178503900,211773139,63735415,1071343473,12570149629
"Ireland",1658055557,1158718838,297403329,1085893084,870195711,4153682221,834058537,397125671,383289227,0,226030096,493404055,213708551,32593105,118796887,109168773,9357667,5352715,59933372,12400355,1311574020
"Spain",4617249222,9541828722,1927573045,8155901645,3278803792,4269172059,3697788367,4500148857,750252225,3693984194,0,1981834474,89074828,326094192,261975043,453056626,183541121,207413516,487999660,304425903,8531156076
"Switzerland",3644908284,11916512533,751538372,3358831361,1388931041,2311519748,1691194540,5092091039,639838938,3735092561,1696545247,0,322273009,111673474,168577281,364803443,70661215,138262102,118372255,19479389,3252828752
"Canada",30814267613,2556280760,2445429216,1658880453,375387916,1422297235,427465615,568837964,771826377,1346931668,401797743,1691140249,0,379120771,181721848,558188623,452713542,656378373,23187854,337737611,5149260054
"Rep..of.Korea",5287193417,2709486811,5896571763,1061619050,738394941,702373038,404267058,716504241,12414314112,152339552,252216548,453887005,618953697,0,467006556,482124369,41694751,41076217,14417200,785396920,5746533541
"Russian.Federation",1635278754,5980524108,2326935161,3211145142,1147552349,1044644811,1017526202,1598297130,714910196,296591075,519644530,856075315,142000442,1055154858,0,665452405,39952423,37927005,1424299102,43586651,10012337817
"India",5938891735,1601848011,5930478607,495778602,409803674,485418859,458977902,485026008,889552420,45787897,287050919,583747742,691582399,1250405363,1994706022,0,257225962,118449794,27367554,1119055547,13254624344
"Mexico",26656399049,2297698654,2303622527,986064286,326513385,699695424,263188119,656020772,867968467,768475070,542872134,570700584,1200450261,677212226,315316577,358833856,0,572015056,28805395,138051364,2779444076
"Brazil",7810289857,3480266596,2841213816,1309921661,771417209,1006425476,470644526,832900647,763606330,308074664,755328206,1182506986,1418744972,557330424,2072449213,818647866,804643167,0,227984499,91938686,10343285207
"Poland",804465237,9582479049,818004115,3209533225,1758791052,1791039872,1717502217,2056053507,280209842,371847745,772227996,887748272,72808638,218024098,739162590,182441478,23979924,41290814,0,114100769,7793456807
"Singapore",3994572333,1146934425,1751533175,1387640997,296109913,575353014,299253652,282944538,1864202257,222927565,266243005,452313344,93668814,658067255,10895553,451578888,53164964,47478161,4620755,0,4977815031
"Other",40637148893,65474184484,34625171431,30808615582,19122425609,17822429260,17508112072,20752982761,17683547597,6072237966,14203960818,13443673471,3413303689,11688231594,14631727091,11214919140,4151448400,8272496094,7343294922,10136733299,132709052771
