"Country","China","USA","Germany","Italy","France","UK","Japan","Canada","Spain","Belgium","Netherlands","Turkey","India","Austria","Sweden","Korea","Indonesia","Russia","Poland","Viet.Nam","Other"
"China",0,8596041893,1032061393,2091438592,699563124,978558366,5473616080,2151596130,336661171,351688080,571505216,196238440,1558366173,179779139,472879115,3595917528,1657216485,3885638524,33122279,621070082,13747291063
"USA",67442477824,0,2317429832,5095493373,1553947865,1229541908,1527313501,23746044762,655449769,341190473,503952621,1120683836,6430821476,307520741,333025434,2246160651,5873011811,171031593,113183338,7292013533,48112442970
"Germany",16300267000,1575609000,0,6065847000,3505025000,1646534000,345658000,329607000,1155403000,2224682000,3531451000,5151149000,2515114000,3519770000,4161437000,278889000,1297004000,582731000,3088665000,1879489000,27832714000
"Italy",9915790911,1394746669,5151630975,0,4487524432,1319432907,232321567,402784717,2119443182,1755967036,1311218155,1779559705,1716679623,2786437084,1068444824,204568454,615013712,391542420,523686109,551646016,19572184041
"France",11371592069,720576442,6717896280,8531258660,0,1559354786,269430613,338476886,3121538678,4131215352,1442670583,1877470991,1864386394,782857924,1161665703,215004309,626623766,152299936,768892186,1035321296,16161139115
"United.Kingdom",16537873527,2175742717,4910407380,3889907354,2764587774,0,157188089,617893569,1314733647,2676021680,2444670643,3146732083,3185195714,549898111,2163208811,200208620,1007247701,244279026,441295809,1409355775,16561738926
"Japan",34242229016,3084973500,448658707,2625036212,1103414155,330584491,0,1715229630,262555579,75525228,108664504,113013894,412966538,292677944,308751974,879706506,2042248651,645536772,24390608,1580542890,8604625798
"Canada",8211660512,13090768818,310681960,594944472,300190783,211322716,107274402,0,94718355,77586527,167037740,174487362,562927524,98025350,62184540,204827017,292724915,23904658,34514804,415433479,3186124630
"Spain",7493774379,631481314,2022968504,3901508829,3379529724,853441319,60934624,125280879,0,771845647,838510502,1771388258,1256327988,302983888,661460001,154711882,532134974,41896624,199027010,975379340,10487718141
"Belgium",4834467279,727667788,4178269761,1509451456,4571506659,717815696,87915219,253047909,641978022,0,4049965941,820487203,652300452,226254990,570007733,100370667,603372315,96164052,380222589,772503034,6071874480
"Netherlands",4665772217,809185876,5556490539,1302616807,1002774040,1116142638,107661783,186661302,608091775,3131418680,0,1013319786,710893997,368647231,1276066046,65710140,430132885,122238986,478374840,385113446,5323935922
"Turkey",2794522692,1143314693,1106580359,1290944537,327062444,281614390,73547646,207768018,414101793,123074155,131003536,0,837955540,251233021,279736289,301508564,633051792,395980032,73062859,211807144,4563579789
"India",1944793002,663766270,354860765,274472288,116694474,337578940,115183729,278210136,62766420,56298050,98958200,51370554,0,39838541,137908528,294054397,271534744,188971920,17164717,27025232,3480067314
"Austria",1863950759,99115733,6435634800,1641556693,301992533,172940753,31293161,16877317,204727607,165004324,282385033,470958013,282412687,0,379715665,31353898,126018491,76657904,245593510,234005387,4812257839
"Sweden",1308773184,195741463,1313670898,438610058,177396983,379411997,15668710,35764818,116427433,313855097,406891005,326941320,287167999,111822070,0,41868254,41846085,210095147,526206509,133487838,4940779559
"Rep..of.Korea",7346593392,1927117585,234579789,835023875,341710915,167176221,902149925,728333842,66658156,26384151,61782763,53778515,332456144,93204558,48051745,0,1049763277,225919256,10321585,591529869,3155687140
"Indonesia",1358124421,917866029,233144365,101267949,60815301,139934736,334483878,292214053,17808153,54885205,80515380,24429617,236989433,54544306,117687197,908558086,0,39913346,3711277,94592613,2263975120
"Russian.Federation",6218556224,236457594,1527512964,1193041478,322226246,239871612,67679391,39976861,164158565,184361386,159731834,880142145,233271534,226229693,235263278,234787983,165770300,0,750817467,270821805,4516091749
"Poland",2845370814,253814977,3962126523,1531265032,552626550,500716056,52290035,15284960,299317140,447249244,542174653,753883796,344721881,489065727,604458562,100262418,155880854,198614113,0,179115976,3990196339
"Viet.Nam",2298921678,559493742,100155307,108637220,43718522,45632641,635953906,42519634,9394469,11839854,19213340,14965428,192517321,9928444,9029463,1422594424,278994058,9085168,1899677,0,2139892380
"Other",54746317331,24340935700,25466602717,22445298994,9665204697,8383925145,2698722084,2600690101,10030570906,4280580116,4451730499,6931531673,8952211868,6419639290,8634131914,3612484841,5685798424,5071300465,4739575416,2744427345,73663097885
