"Country","USA","Germany","China","Japan","France","UK","Italy","Korea","Canada","Mexico","Netherlands","Spain","Belgium","Singapore","Malaysia","Russia","Sweden","Poland","Thailand","Switzerland","Other"
"USA",0,67665924135,222800856629,121953770153,22565776097,27263395201,16662235903,36489950230,110077834823,133243525786,8592149371,3942246058,4669246090,11641317078,25921363509,666956069,7241923550,1633257228,12960217980,10161042629,79129768918
"Germany",38401228000,0,54287337000,28545447000,56106789000,30758895000,33589927000,11520869000,1819547000,5036570000,33819903000,16830535000,20977429000,4000524000,5054930000,511110000,8387459000,20851879000,3004786000,20187012000,142308198000
"China",39138638628,42408242418,0,96821512093,9897382015,5317864420,6577615463,67618241832,2453345977,2210385178,2285911940,1335857273,1363690684,10996351764,20650211912,417644645,3284434006,460980229,15272888397,5418104755,42286825811
"Japan",35474389728,12560382520,72093045922,0,3394275633,3097137538,2341745756,13948358036,1078849368,1962030378,1666460960,464014267,413247178,4465921312,7520347976,41317348,1098148883,293293050,10009146628,3019058163,19785375775
"France",22691022581,57390637318,26782157532,11207548413,0,13090901571,24169658111,4950313764,1729140633,783472369,6297067509,21881472387,10025345203,1126780825,1935799091,215726318,4588865169,5117304396,1112694263,7802293635,41627238694
"United.Kingdom",36787484206,52012622456,31376586014,16317986152,17745304745,0,12458745951,4473213155,3727651292,1706653186,18705437816,9381099135,12714800131,1878213904,2474235424,207070747,3904232359,5549980226,2494147824,3660841935,43022616044
"Italy",7556192197,46601982761,14905656359,5354866208,17055900612,7776561078,0,2805610827,586831973,273728309,11839767820,9718194112,6088537528,156685182,458674674,142394227,2819980047,6839451178,809830058,3334458410,30161983628
"Rep..of.Korea",19172279802,10169371606,33326340296,29683065004,2427582239,1557138500,1860691808,0,511880475,473270407,2120816812,293293805,251464632,6649801528,2568848180,126329200,770240102,200356014,1808815362,1037776020,10550321646
"Canada",110419883106,7687571722,23502364480,12477031839,2434320404,4031097054,2142971673,4363389872,0,13165425943,459068747,378296527,626014814,676965663,2320610802,47317754,1182942816,528211593,1256815252,887030257,8230457392
"Mexico",62873877791,8809248184,28423558373,13300302847,1363029705,1111213639,2213266816,11423861861,4488099373,0,334659281,1592195082,287650953,1422372679,4296222119,258257821,631951773,213639225,1832769115,742883131,11066017364
"Netherlands",19248602407,29137566882,26031412609,11996125676,7592731347,7288465173,3495614504,2241554983,830930122,1095201443,0,2967743768,11496560621,1736234486,5246082872,134485136,3845474775,2455231189,2992949232,1282704106,24236371197
"Spain",6623483309,37447005188,15918374326,6471266433,22226867238,7736114727,12715648964,2991034170,581737979,647432403,6175867966,0,3651614360,220906661,644950682,117568928,2227830762,2669929509,1026900726,1721628629,22870795077
"Belgium",10004532828,29306083641,7792061840,10063675212,16935038466,8785574166,5549094385,2290180095,546267212,1003767443,15464691870,3934598644,0,293136331,331464369,76859270,5705609847,2222988535,820940863,1252438763,17279709843
"Singapore",29540999677,6996521704,24220974557,16909208170,4955736183,2994614524,2202278982,11936037368,703993813,502873552,1429687965,242277185,997797701,0,21580647191,27111051,793747977,182750917,5839344569,1793194618,23217699457
"Malaysia",12887801676,5209810617,13933345773,12506662841,1727285349,1219423152,1032107919,4798825720,220975006,140112615,588058354,103779225,113785815,6917805624,0,12937798,485256545,22792264,4237886080,562963376,7208764542
"Russian.Federation",8307448869,21876026690,20550019146,17334315251,3526132968,5445576929,6250782711,8642793388,820021206,498263252,1805807012,2430850229,1850081692,350655506,1100842737,0,3411873339,3372325961,892698509,1165193099,38919425618
"Sweden",3498350865,19003693450,3160715061,2052976548,3521510083,5395331101,3301851670,1113107616,370943914,59616957,4740367738,941643648,3153295983,132169422,236584577,42322554,0,3251555821,343481993,713321786,19358545934
"Poland",2521725871,21219402900,10761451931,3832036132,4343163180,2542256241,7142994769,4455180121,149260378,327968572,2844108200,1959614354,1461235703,311967558,476651750,3406098118,1624386573,0,620868151,789552061,16909533707
"Thailand",5341015543,2571761337,10710248239,18399325810,518152456,813996369,821529069,2664156177,283608665,192499558,471905519,157505161,139654467,3945538168,4761570518,1247133,257190603,47288502,0,699564684,6176269693
"Switzerland",4631941214,26333360246,2362755144,1680447231,5578650208,2384125053,5723490213,432933214,525564679,104637019,3387590559,799298427,1775992665,255028728,256515633,69687110,805944562,676163231,500442217,0,8293162480
"Other",176393033623,242526927437,202648880933,128974302097,72368618282,56480850510,77704736039,58164813008,10583107975,14056062069,34032090207,33367595418,21633306415,27660182444,17987262651,13720829521,37227779956,19151421580,27157224482,18345293492,260633008480
