"Country","USA","Russia","Japan","Saudi Arabia","China","Korea","Canada","Netherlands","Germany","UK","France","India","Singapore","UAE","Belgium","Norway","Italy","Spain","Iran","Australia","Other"
"USA",0,17847331513,781282854,56255529719,2187580639,2226586681,113081672415,5988491418,2103366888,8737505928,3558456663,264649129,43692472,215348293,3340386078,3784840148,2435159022,1956462575,0,1229421931,271780076385
"Russian.Federation",292864781,0,76685973,0,208118910,65521952,8026175,39403797,84404911,25630247,17448689,22101549,12621934,304309,61517903,2365376,9308264,4831297,0,48443,2971265803
"Japan",2009802588,7897880560,0,50431006124,4362295206,3704673381,2298985949,486934399,21100995,9298452,22169173,1230288333,1299501840,46617185269,10777901,296247602,78417448,634917,18069225353,28765381108,95718765365
"Saudi.Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,26724300,0,0,0,0,11237347,0,7985344
"China",704010072,11946906053,4798543005,26400192376,0,9945119998,282857479,81212962,81325737,122267122,49753586,218019485,4324504561,4003875060,21152047,3870206,21528694,18566928,16799167994,1727968100,77886191447
"Rep..of.Korea",1281432328,3995049880,1410259695,32978440260,4135221429,0,1270425030,108481021,20996853,14854153,34549670,3944861878,545133564,18993309636,3057279,199744241,146649824,184131791,7638874584,9022163399,56237606780
"Canada",16060265311,1302447597,46854309,2050048609,282809812,168568562,0,578974292,17202934,5214230961,205583234,528617,78448398,165144621,603486852,5401017287,112325794,355008097,0,10796,17727227013
"Netherlands",2313179697,17037641434,113667715,4468702206,112238433,301777454,472233348,0,6174715480,10832206702,3015866373,922193470,32235470,441838263,8540346885,9696020225,241021175,524581912,407656318,140499909,23350273796
"Germany",1578197000,28575087000,14657000,1829465000,331707000,77809000,392352000,16107304000,0,12791866000,2317180000,1003000,282659000,41903000,4906361000,11996217000,219408000,343085000,391465000,1175685000,36046641000
"United.Kingdom",1662686006,10322963055,145604426,591494458,54515684,1115516390,462141254,6442881458,1288442431,0,3253247569,736874331,744038057,350649248,1473654517,37198127290,182112258,125621248,22876875,822168778,19567282503
"France",2239013885,17660484650,136386244,5513733647,399788807,37252777,419037009,2551110876,6034714068,4522095439,0,957198324,730812779,990826315,16266834138,10308284773,1443654872,833618183,3365355612,1319790348,41147597100
"India",1276739866,460613893,419625610,21196916171,1498495048,760444701,20005769,23782926,22203368,151420643,26558651,0,2869839104,11268934813,224706657,63064743,99487286,14460486,12627084317,5035545867,56798676862
"Singapore",1953794163,2034638590,3317391432,13682850710,1601648335,4124535591,137410566,1990862393,10356674,127596613,69551754,5046767007,0,5700617633,63521984,35986405,248262303,6011081,1494137784,1685356681,39102786152
"United.Arab.Emirates",57561859,26372133,10279866,310823184,17682586,39116676,1918725,16994507,20477563,6848040,55356700,118778764,8674127,0,10620120,8199628,75408603,6351023,160728478,540143,480826962
"Belgium",1432375575,4850024905,171791321,137138400,348055327,216068519,229695165,38707727792,2730753724,4642944482,3008098818,378150392,47912321,65784636,0,5680715520,152305014,669870229,40,708705924,7300825724
"Norway",189750601,364311298,337192,95428,13104143,2262679,39747322,78380553,37476427,668364133,96005626,11500,232,1589,217209791,0,303694,8905247,0,8731395,2550073163
"Italy",1561964132,8700164115,86420567,5448160380,160742787,186548440,571777716,164468115,287602808,736784371,1021766904,70485466,33501793,110387483,241428287,1428300890,0,448815937,5299109036,656723601,51818649404
"Spain",2090710971,9328327814,47040323,5694607263,63138769,64573693,764773128,734555584,638938955,2145884635,785897420,151618270,58119814,244705269,353174362,1789371603,4599515316,0,4318952657,669343547,46686011063
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",409229335,422080167,1259025953,413967621,128775163,982644283,4673216,28602356,7778936,5309557,5842147,2922834,9499292803,1843202977,2721877,558981,1290633,2173097,22594958,0,13623216854
"Other",40681255261,151197834610,3113069890,46544551781,3909395470,7439759912,1944232795,9371858322,19431113057,11125976758,7663090093,7281160521,30665021566,24757740453,4853587748,13780829143,9762947526,5549114949,19179105785,6784415496,242691102171
