"Country","USA","China","Germany","Japan","France","UK","Italy","Netherlands","Korea","Canada","Belgium","Spain","Mexico","Russia","India","Singapore","Switzerland","Australia","Malaysia","Brazil","Other"
"USA",0,309530233196,72632756092,98401031288,34582355372,48249946912,27275830871,16573999196,40543872268,227577354210,13997086578,8190323367,178321648369,18993424402,22042749853,15856691045,16282605578,8220815311,23888396480,21017804644,364278185217
"China",77755100817,0,55764084071,130937524825,13031124186,7877356924,11020282280,5122250178,102551711648,12026170244,5849392464,4292253015,3881899420,21282952148,13714288921,17796637195,6949483242,39438780145,32330690825,28280982512,229653513295
"Germany",55375685000,77496153000,0,25233960000,75743040000,45848154000,54831634000,73810853000,10585739000,4382289000,40425110000,26786865000,4445532000,23133262000,7087011000,4608181000,39582099000,2467967000,5598647000,9794874000,306547555000
"Japan",60590108585,122574080732,16756897505,0,9160757118,5690461764,6372368817,3460312504,21983612032,9191204303,1818937924,2348536299,2798507717,8847997987,3728109808,6114724003,6277036649,34751479228,16702854572,6351163496,185569768018
"France",34722666549,41252582745,88206761559,10767918758,0,25172285713,42959186670,22853692771,4400111753,3304693220,44696188232,34255166616,970828591,12938862235,4032523880,3313476211,13725118939,1409435428,1840136468,3975281771,132643561657
"United.Kingdom",52234704843,52101299293,63240202735,14379757294,33934945317,0,20145197565,35660863129,4544924358,12866458558,23572634407,14760471386,1789333127,7547288477,7585631799,3935723980,16631481003,6111011753,2831231582,5056326657,152371248935
"Italy",13175021578,26914449800,69147023164,5433761149,36629140915,13664131713,0,23535540848,3009060246,1636246498,16650676710,18284528198,696063936,16910775093,4044577335,256102571,14583249240,950252799,939035871,3363284533,140807516252
"Netherlands",31811493969,30412099910,62725751057,9898462968,16484323678,22408057587,6982311599,0,2421678553,1543067405,33099393024,5867636280,1516652690,13424292530,3309737186,3000603974,2363463520,729825595,5977846613,5418481503,87413189250
"Rep..of.Korea",29160307242,54245677647,12297619307,49427291028,4013561024,2895597483,3512912835,2059773952,0,3534785518,892681473,875666874,971992303,5788759295,4141621968,7871715080,1668240183,14755930701,7574058921,3743503108,102073401824
"Canada",164245761454,34872190730,9515791795,10860575300,4950577714,8257927810,3910365324,1645479321,5215056286,0,1272737964,1169375774,14531602921,1349446680,1761385671,1009086384,3029419227,1428777550,2036074256,2267414309,41516683635
"Belgium",20942785249,14792626934,59496626368,9611556236,40872938188,18804977797,11529631257,63459539778,2315953068,1915027704,0,7177279149,1308570185,5577817580,3718702931,2645106594,3634297552,975619132,650224974,2553069502,80690406906
"Spain",11816251378,20123250404,38615675492,4423596336,33672478877,13818036079,20822925811,12857594194,2540819231,1140240183,7720701657,0,2865421965,6382567714,2539443000,484396726,3731228591,590207580,658924145,3169519816,96200592971
"Mexico",112788739681,32528971963,9727216789,11397111010,2507086412,1837826821,3146738889,2170939525,10946193620,7303741526,612603100,3004042060,0,468780144,1139536057,1377829063,1232031993,787755605,4035543064,3495275120,18796880897
"Russian.Federation",8648775785,22859880131,21151101615,7255705807,6200134063,3523329675,7870039312,3585005463,4867899482,1092807361,2540144897,2276937590,259499354,0,1524454878,693148003,1967944191,585276690,1137527238,3505384292,54329756358
"India",15998423042,30613370690,10969452168,6688835507,4397220463,4053593955,3682610584,1982407286,8229752476,2302975255,5499046535,1058517699,983382449,3437687125,0,6141634235,10211743322,12017048674,4990269046,2897270993,120588392096
"Singapore",29215348815,25927368793,7880711019,18727159426,8410121606,4515019209,2736848121,3178626665,14030167562,966435107,892800253,583261728,599688563,2400206622,5626542071,0,2472691720,4003549392,28514864973,1226328505,66810045831
"Switzerland",8991832119,4750958546,50642281963,3311236683,14481427702,5775823727,16638539601,7040866046,383155486,764742230,4384298849,3524825398,363050122,668105738,737184247,563636455,0,259892448,290106884,608087035,29612072474
"Australia",18669858034,29211722242,8623970189,13476040129,3321695395,5044259766,3975279389,1250156528,5293359764,1585440679,1281070217,1313176387,1002823408,301243479,1667570474,8792367333,1991875198,0,5961526540,534183871,38629331398
"Malaysia",13835476469,17245921356,5236738652,15430300995,2009711752,1705663202,1253308235,1000918067,5694372161,646604799,444555958,246670471,329955412,262086493,2236693365,13622422565,771451564,2697153040,0,938428732,28764083879
"Brazil",20214137728,15911144513,9865610837,5367569973,3624808802,2407992481,3663599182,972460284,4818447232,1601355613,1153955924,1954977651,2783411348,1412107608,2190898627,658701413,2060254472,844224924,1225629230,0,41566391686
"Other",216760834936,272086559134,343304962744,119202925277,119970837371,94596724799,127428205215,75160449105,75423195416,20648202198,55463581684,71592377721,17022550154,145516013680,62272943279,48707372813,42455033720,25866957144,37395187495,53769117695,860989860725
