"Country","USA","Germany","Netherlands","France","Italy","UK","China","Spain","Belgium","Japan","Brazil","Canada","Russia","Mexico","Argentina","Australia","Indonesia","Denmark","Poland","Thailand","Other"
"USA",0,1324974204,2181647254,3169229578,3294308956,1915687769,5206357169,1205346207,404700403,726783629,2807873532,17354195648,480666609,12899181296,1126755757,2450169244,2061902721,402108600,327783514,3495656783,28385221719
"Germany",1789923000,0,17899270000,8139805000,7263570000,1439313000,1689202000,4671019000,4694167000,46084000,4135043000,271902000,248168000,181207000,1216995000,258158000,1021004000,4138710000,3741484000,469127000,23364274000
"Netherlands",1313718160,8219339625,0,3946711647,987974797,1435882557,902007360,1507990528,5639163007,50794312,3449449087,126001694,62985503,104865178,1540290214,317290430,1018115219,553021227,937133058,388421993,12439426903
"France",866874787,6058599375,7344591316,0,4214718196,2854589932,630897152,6640784794,6490510712,52148312,1957707514,208908317,92029865,94476830,561592306,124247114,267278841,563899088,639882785,441417454,12150289075
"Italy",773297028,7080655307,4657642368,6918801032,0,870859063,426100200,4209438164,1366198605,16656265,1240773630,412558141,222477565,152641679,1203536168,184755519,651082311,1024251338,959472693,373780969,11983623417
"United.Kingdom",1550177332,4494153656,7768038380,6242604248,3184258685,0,716080945,3304957946,2907991948,43330049,1712920502,531008762,138720425,180891218,854255968,1151662046,324791482,1959222105,908605042,1063194545,17396624005
"China",12393927004,140941953,388772271,1052262109,129759389,162345686,0,146735925,53387004,413735347,8365866110,2530964163,1284360215,48053403,3446639598,984263760,2244943675,273903022,20985849,1695741188,10159599835
"Spain",968142914,2972044580,2699656537,5225667783,1459286202,1841578286,616859159,0,887958137,9868190,1748644085,202760129,132982158,107887854,1462930959,67266591,369879351,644212059,370202362,207572420,11132358540
"Belgium",488401136,3683265722,8209989312,8086642552,1142993771,835462426,255303459,1076988371,0,11197890,1233028909,426058616,59105673,86378465,333407558,90278144,194972715,260933141,311968897,112039286,7107526785
"Japan",14951754968,1332086693,1698894081,1539469901,785507886,293183744,7442415919,385402327,171000329,0,2024584106,3533865961,1051495603,662848981,378366612,3942022353,1016013320,889530294,56421755,3374918437,13414329048
"Brazil",318920999,161098067,107783441,130012722,119979806,119793874,232685537,124277882,111404813,7222082,0,124452047,713213,31101367,2492599187,16482693,250284298,11293636,8973555,9661557,2652783145
"Canada",15516778284,236455898,281717562,640370179,692416078,380005917,832329587,175208838,157417405,65128311,689075156,0,48330885,952065787,202304808,363920210,77451216,68395262,43849925,517931394,4069096946
"Russian.Federation",1797225666,1684523500,1333409078,1005838164,675916403,326191405,1155665009,740130813,382864935,33487827,3319377113,323474460,0,40299898,1059630299,169358092,293770238,549671586,817271509,190274344,12418180040
"Mexico",13101302679,45906002,122686035,131390342,87379817,86716347,259520147,217882672,20734648,8664492,138247138,1311412856,2102727,0,175265230,51984191,20646188,23275593,25110360,33260771,2084605459
"Argentina",91117849,14433682,19521741,18217516,21900491,19996474,29871096,17957154,2469123,1110397,457663619,11037391,39674,22142234,0,6060251,10257091,13537991,1823836,24556406,774379747
"Australia",1066579728,221722148,250923634,270738652,419254782,307943151,670243267,148842089,87559981,65105364,170276185,243487321,4857801,123450393,224444597,0,170173426,247449389,29357919,616078317,4063666762
"Indonesia",1457596261,40219819,134851575,78671313,14599528,13191217,988563725,7120571,63032036,42615866,375221817,343073013,69592467,14015484,617228221,1730274132,0,30347466,5853565,664746422,2081723536
"Denmark",176701937,2711544017,1464902430,545965868,573406702,376174911,142982623,379520607,320243142,11300242,136009497,136945494,32013836,7404266,492978932,49958196,52786205,0,288378053,53721045,3147722606
"Poland",222600772,2877810493,1137381791,514095185,572587818,351523765,373188932,748337470,337598174,3020268,224586102,30798800,49304358,10202464,690122320,6364007,37977508,653929533,0,53068269,3978178140
"Thailand",1017279370,109392602,114496125,135982429,56688583,153586825,687731907,49262326,34499998,208839143,876295583,127079843,37966678,24486105,359265215,390849810,327365826,29622473,9628932,0,2177929129
"Other",25265057257,20911996529,14649217605,15305564873,9933255597,9159511483,9249270798,10938867737,5122797499,1016523518,18827384122,6245658825,7527701332,1474150078,12024200908,8510438686,10317084748,5568626758,5956846586,6631701797,114280298273
