"Country","China","USA","Germany","Japan","UK","India","Italy","France","Korea","Belgium","Australia","Canada","Switzerland","UAE","Netherlands","Spain","Russia","Brazil","South.Africa","Turkey","Other"
"China",0,7446254060,5967101315,18242759723,1186709985,10059831413,998351199,1129606372,8897251229,2032943868,27703583871,2739391787,449060219,233622527,681950126,1836368808,5069119079,15204815381,7091888470,1178473526,41126599911
"USA",23054176980,0,4761836517,4799159468,2274495490,6631940314,3098317790,1819722924,2641077380,2735888104,2076718051,22781955092,1591621518,305022471,526704694,893980796,2654796423,2722988267,3059634239,1006088778,37142967987
"Germany",5450276000,2806151000,0,1019900000,3899070000,810198000,8666127000,8092065000,388143000,6617311000,524392000,1144896000,5911334000,179233000,7078444000,2866488000,2935631000,1968591000,2044615000,1013513000,36126221000
"Japan",8342823650,3224955209,728409120,0,505620423,1069818580,348130034,688188045,3967551161,231586092,7656238960,1096058377,492106170,121215997,57653896,284428844,1199312884,3533274667,3974120739,18613353,15931058587
"United.Kingdom",4040475759,7811306728,5111936979,3295098908,0,1041821825,2433607906,2843689604,498060915,2005029079,3308080370,6727486999,11399973210,194936689,1492923190,1533064699,2074168038,1354390298,9915032037,753172825,10294387294
"India",3287300974,2660335608,1265926166,1141206549,1822435439,0,653679028,601721538,1545805143,4384613449,7381123697,283158078,8646263819,12663065119,215381122,211378566,990413969,527987345,3338800393,278155071,8238273284
"Italy",2711708604,1368825652,7408824840,220382531,1220222173,639815767,0,3966553042,516790834,1522715685,146608881,193491252,2294267837,143238975,1472973147,1957425910,1291546378,754761799,1402695221,1008612937,13591580329
"France",2628019863,1328235795,9677204005,350257839,2236203825,295128194,6865847542,0,137399395,6297754046,69897505,444098987,1178010290,41703939,1579095108,4189196448,445385620,651910817,188785721,445839483,8446287613
"Rep..of.Korea",10437979741,3384472168,1306890859,12975399047,555803287,621952533,358427666,472424307,0,196247432,4886639444,601672597,77004187,175948107,167220419,173810133,1310895074,2051877039,944183053,47317903,10116359123
"Belgium",2230121698,1253589828,5948647107,318713428,3816978880,1898403937,1269938335,4800269040,275000104,0,336015824,524639590,433934836,1124010817,5411141568,760246237,1865246020,451636697,656529554,319379208,7834614925
"Australia",3091846633,1780797580,528051503,1015643179,645180222,341679508,404043322,201307463,643752322,142766880,0,224725205,129425283,51348031,68407809,69246127,12255017,69858900,105328667,48783628,8696605646
"Canada",3502495714,18617172101,673812602,621196892,621910229,328078439,468145774,373010258,396246194,111711562,315698224,0,320809443,59045575,79810097,127604494,108030955,317877789,174332184,147321845,6514447585
"Switzerland",409004594,1846340054,6565324905,1067304315,1074228753,91056682,2354657817,1823618427,21443205,617273137,24871767,27844154,0,415892826,351748861,309621800,228397996,98926572,1395392915,70889676,5453136038
"United.Arab.Emirates",2482852803,945951166,675887237,701705918,1272995579,12568783725,1098221361,537749024,1370039711,1003700460,283892476,115243456,1535869474,0,124141007,192897228,377228112,283034465,199166182,1877989058,11951387995
"Netherlands",1917130576,629011127,8699086761,352262692,1034214845,191550971,830243921,1220701031,128766331,3685294262,67266370,184117692,148195520,65121054,0,442148327,712142788,519475916,185822229,208229472,6652804876
"Spain",1966721523,539697386,3155879512,226552299,1173687577,263215327,2904871702,3674438518,219017661,960331156,103249227,201071972,143567339,19641433,923895808,0,405714924,687700854,216673373,413433404,7688181012
"Russian.Federation",2267962210,431236590,1933072683,235823604,211264282,91352009,790970791,338179514,278358739,156439603,6766070,58252939,50271985,4452555,126326012,210451776,0,53866858,73635048,303459003,6261267333
"Brazil",1287726859,1116675174,743858522,472253236,305960422,121399594,358770383,330856903,235280335,101428210,50781195,164137106,50362406,9500678,45740372,197253813,170684049,0,158119901,104546366,4002651035
"South.Africa",931642688,243246415,526813748,134746350,128055920,166071442,146564066,140875528,82980896,94258184,109769636,76644366,24895653,28869026,45687793,53940634,49653304,76122979,0,23560062,995615401
"Turkey",1247318808,1359971197,1283660535,124257903,499339352,213666956,1095573663,888872378,338693151,698683716,23722216,187455631,618865865,592517816,625982280,578621978,2846910131,509435161,553006348,0,7618701942
"Other",32207332835,25243606135,39649078621,20455567493,9453309753,8683286508,18358638722,10143338354,9868715106,7379395192,6303091082,3612875020,8486053721,5099345317,5176361924,10091226818,13995166356,7472786668,4844285287,9726093679,105614362153
