"Country","USA","Germany","China","France","Belgium","UK","Netherlands","Japan","Italy","Ireland","Switzerland","Spain","Canada","Korea","India","Mexico","Singapore","Russia","Brazil","Poland","Other"
"USA",0,16040748368,19473775790,8534890952,5272434411,16065232343,2794201964,10236436730,4226830376,20063565470,5885879677,1714296968,25825511449,2896114696,4100346273,5639540476,5718743221,1469731882,1748560193,198440337,25220905659
"Germany",16401589000,0,4586139000,13910955000,12549832000,11011091000,14433049000,2839746000,8325572000,13357940000,12374790000,4565165000,498175000,643917000,1128086000,284966000,1424293000,757433000,670853000,3512077000,24224713000
"China",13529256400,6972295239,0,2289619171,1992340134,1426116605,1206944889,20727717688,1396650981,585918199,1182817466,950244026,1241559385,19210417207,1223508102,327326810,3554579484,2146981510,552570017,231466751,25646383382
"France",9478796969,17918061485,2475096171,0,9118072548,6312950786,5735199888,1555702484,6277710563,4919608714,3962741579,5030115060,842120581,251442254,429508783,93512200,1845749368,1073016910,214483740,1045972572,10528113138
"Belgium",9558733070,23084455297,1365412014,9665671527,0,4864540795,10318967202,1568549965,3600281893,19774941193,1916750080,1427320675,353235368,277830148,391329821,234351554,2294483150,398930959,310309609,475503391,7594413113
"United.Kingdom",8258806087,11433578570,2860351031,8039520306,6272220633,0,7571618796,971274921,2973751351,7807680868,2248808004,2399813114,1107232038,371823242,803409660,88401717,1699275447,372047117,278904661,880383611,7592404499
"Netherlands",13378172439,16616983107,1600018687,3210963419,7236711377,4834517804,0,1071866660,1574661286,789019834,949527905,1300479414,285181843,212546605,293438097,119914465,1444116493,204971050,462262401,399693964,6669809782
"Japan",10791637828,4876061117,8794696484,3242901415,997384282,2503241175,503111925,0,1570975512,2916268574,2914953140,1124882295,563491342,2799222790,374330956,152361411,927338950,93110137,246595080,57047490,9305126576
"Italy",3250143586,13433452797,1866419837,8331658209,7400152091,3177109428,5269112227,1059632015,0,2733682532,6050730199,3239443646,84969825,393606533,528971939,72789970,71070546,211618050,182521682,643172178,8570566641
"Ireland",1457513682,871068209,261219033,985855824,585368695,3200766271,776187504,418804539,280988894,0,357655241,180443375,306565908,30332590,122474750,8470782,29329033,34970476,13217887,41714106,1192484464
"Switzerland",3188291127,10717799061,643072977,2789945839,1289208967,2283950866,1377805221,605823878,4500976564,3100788838,0,1662501497,309842464,81652532,277568070,223808917,21225245,287159481,52407758,104915861,3217896551
"Spain",4562323430,8283690786,1499592698,6766930247,2661442721,3842082263,3137012153,521683333,3698181700,3647961519,1825407028,0,89991501,250242248,337358665,128207405,248392393,89186657,175014646,463448268,6304164766
"Canada",26968823189,2056905756,2215710529,1608655470,372124609,1354760444,343598563,741401828,576236584,1500830662,1756533127,456512400,0,284998698,408554637,396385408,343368465,82758174,703599006,24193465,3689015040
"Rep..of.Korea",4642966162,2149513924,4729545002,885428680,391147965,699923778,304677811,11727191494,608501766,139117573,472906288,235140491,462688088,0,390373387,28322235,834905434,383931729,71872592,13822432,4110937212
"India",3780770811,1562354894,4911577426,484179630,432656188,407305485,395701551,916751030,469518474,46651190,611133874,268597228,540081394,1288597113,0,73709386,940269238,1115553044,137926170,40043331,10078953132
"Mexico",21470077781,1752769824,1975340439,810540592,286461156,606881820,208377658,688398429,529689437,646981303,513272977,493179865,844255407,563435069,324385990,0,123937440,170041802,442653638,19286782,2149611722
"Singapore",3526392009,969714982,1203815176,1346087227,214228691,480763642,365982608,1629825577,237363726,222991015,386214261,164816378,95485444,546421776,399577362,33872118,0,6106801,41549258,4319890,4089315677
"Russian.Federation",1346440561,4727759655,1772291131,2649971500,1052442755,885379912,850590986,609709231,1297461403,296754232,880882044,405486139,98615162,634948429,589828157,21719910,32534934,0,25047323,1086769434,7504049577
"Brazil",6392011919,3295600811,2069317658,1196812200,530572683,1008868868,399769348,702574310,689265342,332596802,1189483221,672523956,360942987,478500045,675179821,649123534,73203101,1006767745,0,50190252,6223581253
"Poland",723291992,7183658822,634429555,2510279978,1355176622,1507210264,1372238699,213865214,1579820928,344724198,604242334,566136484,41629545,165366741,140958186,25231682,84903477,403450898,37863229,0,5676483710
"Other",35179242083,53932674077,27939224810,26406279482,15755900954,14574889566,14023857340,14657118184,16860091728,6036060135,13747121107,12214617591,2090651190,9514208972,10286236619,3869188429,9285421849,8684455529,6989009167,5770288535,106005395478
