"Country","China","USA","Germany","Italy","France","UK","Japan","Canada","Spain","Belgium","Netherlands","India","Turkey","Austria","Sweden","Viet.Nam","Korea","Indonesia","Poland","Russia","Other"
"China",0,6422972285,962656652,1800912314,712060038,747162780,4881104525,2170491183,333442051,226765434,460260644,1065586386,203810490,187622065,618174400,690879823,3216314071,1280886568,27180340,2957359207,13580579009
"USA",61887835917,0,1643920540,3295282529,1144158634,838228735,1071496769,17381122881,450631193,205442370,392639805,5718594796,776698203,221399520,223079315,7191240285,1567088195,5494063250,89931250,102442396,38969893585
"Germany",15997341000,1264656000,0,6621616000,3665708000,1878321000,236182000,227463000,1150614000,2574886000,4313592000,2518192000,4546908000,3914035000,3662906000,1643966000,221609000,1240682000,3676485000,475453000,25454090000
"Italy",8774867664,1005806939,4066938706,0,3518834197,1040298998,164232861,283428126,1867474410,1527377836,1220005646,1386400290,1473355893,2243401110,939587661,450452789,179284859,485865093,424422890,250321296,15015437025
"France",10891703680,599311417,5605113639,7075986979,0,1440007955,213910517,216864087,2651995428,3434411662,1223579688,1721883937,1592619356,639166597,993802054,965569622,162429811,548875846,669723855,135050972,13189183064
"United.Kingdom",15489709723,1800911952,3973979232,3032064837,2442505611,0,126844280,435261528,1061342174,2197736378,2048542004,2985547776,2521402616,369847272,2049346648,1223270760,143224713,901827130,365288952,152873919,13706353509
"Japan",34327783990,2496299717,378631217,2043327402,1072232369,278735880,0,1192181092,231850664,51700469,92068384,367798871,108337149,231670906,390728723,1751942300,896063665,1841719385,21198012,449542811,7060150093
"Canada",7403465067,11187534124,256470342,432692381,270322899,176140671,83629146,0,77794779,60695780,162953514,524502814,128927876,98675410,43073148,445937475,149956927,302420279,28528466,20449120,2933139333
"Spain",6274731145,407956172,1610271185,3003934941,2416411056,637194428,42859848,92480967,0,588598779,702963732,1186333504,1482276867,223311236,507816449,744542326,114741573,376231214,147444611,25377284,8256977101
"Belgium",4091611805,679872315,3533187441,1274069610,3883959971,665416474,55475204,190292029,549580274,0,3440622792,515945962,688816657,231984510,460454374,545043308,61105931,608849802,320083049,93285721,4974310010
"Netherlands",4357786385,671180940,4770123481,1007822448,805062271,928207267,107712113,143116788,455191790,2712311564,0,645692422,808970707,341636548,940251995,348723900,69694842,359085016,465078648,77400124,4297491606
"India",1823078537,594043385,337998444,238908389,108308868,305885424,107024318,182586636,48886332,47196680,88658878,0,38167456,46094278,115665262,49037209,231413445,228117069,11245355,125545280,2798686568
"Turkey",2300360311,948875528,927925424,915063483,236152864,236314996,60067267,96902707,301192735,81571912,90481859,653285577,0,238723084,259132196,300066921,270988005,526834112,68889362,241589628,4095079909
"Austria",1687255123,81581352,5652444251,1326812358,255338661,159209429,29822161,13106040,165422462,144353509,259448943,261828444,416038784,0,339673788,204659818,19358249,125522512,200695666,49834892,4039685287
"Sweden",1162785014,165857026,1101809098,315050079,152165679,322568967,11208584,18517379,88113477,244783403,395829867,257076163,294621596,78504354,0,105757567,42396493,30375339,407946915,96945732,3751883710
"Viet.Nam",2345872265,478364729,69280168,106493645,32246845,25334773,625157964,19590258,12637924,6572278,9460209,149263830,14007626,7927970,12130342,0,1465169134,323193807,8492388,19895044,1825065555
"Rep..of.Korea",5818249112,1516229933,184364191,712521950,320456885,110664239,728955687,484160057,60392830,15716008,45336328,306688911,46259186,92642321,50199155,726037042,0,822851527,6687595,169714526,2686179217
"Indonesia",1320219430,562825341,156548654,94006815,42449713,85503489,263804286,152393587,21426972,36078751,37727284,124644073,15211729,42402933,90897787,105716562,765950898,0,2300145,41849740,1854025743
"Poland",2643467782,193662165,2925541665,1156832790,435267531,385301564,33623871,10435000,227945851,329023579,392780584,351293680,624266074,390442429,511641953,142807476,70808692,137057770,0,146627184,3172324052
"Russian.Federation",5046030110,177344686,1146169150,1070480249,224340712,196085180,71284939,25288396,117188399,137759109,117670261,191733251,654976206,171056585,215079954,222080556,161978369,149874856,577191501,0,3769328065
"Other",48068619922,19725231580,20535207199,17365736725,8089496136,7013345490,2116969708,1848303810,8357792119,3539332907,3577081699,7483150089,5682358566,4864451278,6718683419,2733200586,3155522407,4845582350,3743852806,3394922727,57698539322
