"Country","USA","China","Germany","Japan","France","UK","Korea","Italy","Mexico","Canada","Netherlands","Singapore","Spain","Belgium","Malaysia","Thailand","Switzerland","Poland","Czech.Rep.","Sweden","Other"
"USA",0,199589532769,48057232048,81246986456,18524908910,20769656212,31337214676,12294951229,114845778295,79292624196,7519043996,9603870381,2720544578,3784403497,19813034867,10410689612,7864115895,1325355303,1312518766,4642669538,64837065525
"China",37251847879,0,41637844244,84550218735,7806969355,4299406251,65427157008,6680682995,2247971518,2567284497,2314251989,10384500899,1009849903,1532766918,21424606589,14638356497,5168410160,502242992,863693607,3185970239,33833511615
"Germany",31977801000,49666965000,0,21009532000,39816494000,21610566000,9135786000,22826491000,3667266000,1870342000,18601218000,2972542000,13419699000,10884604000,4549248000,2480965000,16942449000,15368906000,22124620000,4810658000,85982062000
"Japan",28046544521,62296817081,9422322208,0,2592753775,2106583131,10471173572,1615888343,1349424271,1000469433,957980358,3835304673,321422643,359294817,6242749182,7867225826,2243889378,217887071,271657122,781927296,15398780390
"France",20409459211,24577467109,45809190791,8505246596,0,9879241937,3791929900,17500813913,725972194,1446053896,4926005804,924409764,15075249756,7224795377,1289597853,979739276,6781806756,4575703553,4624999616,2692734736,31148203145
"United.Kingdom",31223359204,28981009488,37213810368,9863619487,12343538606,0,3242209083,8404951539,1274107733,3994667285,13669122344,1555862738,6389505660,9400648985,1762648390,1438879046,2735016620,4206258706,4095544188,2461742512,31262588642
"Rep..of.Korea",14561525920,28993504846,8518335276,22559170111,2077724755,1296292297,0,1671639330,459301514,640089832,1230634122,6046490321,213139589,196074827,2399275231,1661242549,1037844862,157985540,268606426,757708290,9877658449
"Italy",5754691642,13128621084,35697026477,3896068833,12848384880,5721460044,1753938346,0,251045763,509116554,9837211379,140170139,6693291296,4441568322,461608125,497385045,2713941740,6566217395,2668465089,1505365116,21343865638
"Mexico",47083489264,27258043899,6958726852,9299023015,1198849074,798880617,9454694178,1519658375,0,3803754799,247834596,1149271469,1186428903,168126843,3765699560,1689541874,619597537,174917638,245059188,366099911,8563020321
"Canada",82521064438,20872444106,6269270260,9320548843,1888615304,3457819761,4081341122,1671110211,11577767755,0,369473635,500562845,227412673,357501875,1696478525,1023170480,778062042,519134404,126284215,791155356,6101674637
"Netherlands",14127307266,21599586238,21181525978,8234607905,5657233591,6258695978,1684525691,2388953434,1128198618,627839436,0,1460047337,1799636215,8047263872,4722442527,2400210063,955583047,2091101961,4166515782,2090440789,17043369386
"Singapore",21219446659,18160939191,6115458994,11939049749,5733203165,2822394177,9994635373,1762283211,514174675,749988093,1422684075,0,190158167,425310222,15444468406,4516233841,1612884502,97004549,77311584,646952046,20479608844
"Spain",4107323088,9749793027,22393387770,3591028268,14952927636,5294626447,1660324728,7586970341,418629767,360648961,4554912646,195167512,0,2346672843,343702489,560929335,1441199968,2185590526,1884265088,1297498435,15815064321
"Belgium",7924825633,6652352673,21956570921,7548877031,13415620230,5668556862,1584542637,4124073614,860208316,393435296,12423037731,228452060,3119856589,0,255712798,626729563,1062371906,1836892956,1843763940,3415817351,12225875983
"Malaysia",10674920610,12484743015,3861704359,10273896311,1498140137,938410045,3876133460,887555722,253920213,205496315,586155910,6861509756,77489947,98678381,0,3982996562,346972969,22049414,33126649,364467215,5341254126
"Thailand",4307025104,10358131587,1977437480,14992437602,1064888221,923787731,2270105507,688498454,135642377,228267775,362540982,3393436194,133327633,120279265,4453125608,0,504302074,36762053,63085487,183458398,4187523629
"Switzerland",3573482332,2633201395,20902242322,1601122512,4822646937,1997881786,265669769,4919682583,93051224,302690955,3073381575,244135425,701187128,1472465074,215751830,382013742,0,574554258,1137550883,623771656,6333808232
"Poland",1871786946,9117195815,13607983798,2527456924,2564696434,1728317642,3925859371,5438565549,174282897,101322238,2064558521,288632820,1362327865,816362402,420686125,505836839,601992189,0,2042319514,925272007,13599938728
"Czech.Rep.",1463615889,8381010416,13555761376,2918074294,1840032106,1008132001,1136323475,1961301535,142109177,83947396,1813006443,697464552,891990209,452925106,658620000,996270772,534765345,2471671381,0,404004552,7619119998
"Sweden",2850235199,2551061413,13333744591,1301094433,2371103527,3440435194,687120171,2015021689,29977152,302929609,3783531038,142301806,596902491,2239423893,150947677,303725585,554631657,2319713295,1130864751,0,13307345438
"Other",144086010427,187244999785,172761772167,90758288332,57130860290,41270361226,53544758762,58780644159,10637735100,9494091001,24320941266,23421646944,25789395635,16217651727,14766859046,23162018828,13962678561,13272116200,14938995183,27123048801,199814450054
