"Country","USA","Russia","Japan","Saudi Arabia","China","Netherlands","Korea","Canada","Germany","India","UK","France","Singapore","Italy","Belgium","Australia","Norway","UAE","Iran","Spain","Other"
"USA",0,13772406386,320168236,22691442312,318554571,3159761483,1688074975,64941944944,804044415,453794402,6386646363,1389444374,72713588,1066139991,1594217793,312031731,2822590821,738935670,0,1205523625,153335456542
"Russian.Federation",50242737,0,23778923,0,73327327,34144258,47165666,4437280,75821596,2131891,28347305,6362374,4283239,7366555,57916959,809218,1086400,232876,0,5751028,1795613421
"Japan",1078916342,6024847537,0,28798140024,1369543608,150603860,2293430780,1805138098,19387150,917475572,3097411,25211613,621315444,8539640,7971935,21751308734,84927931,22489902107,9178051117,549526,54606486857
"Saudi.Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8739945
"China",710843189,9386240944,2121988807,19351190063,0,70070259,5489774864,776479229,83244668,93595406,55615617,40607141,2906778425,13925402,11189106,6432285113,124921175,2052119171,10567447246,15612302,57771202252
"Netherlands",1692104037,12265214208,81219286,1645640809,35570664,0,313405708,176809952,3238692105,1042405541,7916539136,1643651719,3615512,192655713,5778648942,101631862,7477315859,181387926,1371735122,362190006,13841282923
"Rep..of.Korea",1004338191,3333448885,955521174,19232647959,1704090751,140569793,0,990578516,19764791,2289797855,2367905,4459985,678057345,29778968,9568667,7433243583,103987280,9083480580,5420931309,69632280,38993731977
"Canada",9434389318,1053559034,28670280,1341108458,45745727,407925950,254865750,0,22876937,420673,2267290788,169603604,98717759,69764296,213286733,10131,2799589141,91684189,0,104842590,11729203051
"Germany",1135565000,18095846000,82516000,634439000,106230000,11485280000,181138000,369511000,0,29428000,6009793000,2118013000,73410000,1128258000,3104310000,996658000,6235401000,201000,400889000,113880000,22759520000
"India",759359749,836632394,170878753,13012971302,277366285,388026175,980715375,35268110,28096194,0,55647106,53461938,1247115426,6801621,11368843,3849552233,1356730,5912361708,9584413271,11957648,44749979372
"United.Kingdom",1590143540,4698835846,79589649,441122145,13672347,3110618415,274904700,70801946,1012743930,219747475,0,2023086942,475572992,116563247,789007384,796380720,20695394220,170560324,273084606,71787793,13236708025
"France",2039988370,10961313878,90653010,2962667351,49398770,2045220967,35198584,146647352,3138592264,407637360,2449291278,0,469698461,1024109477,12130643887,568869362,5156476033,535008768,1320087100,667825130,25521659422
"Singapore",2611416160,2158202680,2378707781,7232153552,2694553470,1063364202,2544837461,5662601,42367444,2530075001,358815263,104940730,0,91238194,7208631,1461988692,48981,3697684612,1378824268,33930049,25067705738
"Italy",1022256731,14831235776,76788644,2171251224,6732411,1078596081,138175663,152682600,1460125037,179216716,1634182007,1044909555,3511576,0,392664171,310356455,2484902431,50639120,2349533527,317454772,43045519569
"Belgium",1037363267,3125797940,108742718,37918466,197825285,23655781173,109649103,27366805,1290499880,376730308,2954022360,1020774868,77630662,118274034,0,251002224,3790377221,34490282,0,243287003,5172670871
"Australia",321799130,229668028,1117721474,337238572,155160750,9927418,996218656,3563245,6803196,6031697,3645519,4771190,5106592992,845318,2889763,0,912234,1620527772,17384026,1539911,8654823912
"Norway",199706863,325095053,286444,0,4261604,155118263,554481,33149096,29285834,52679,429521234,69333617,0,625402,153114318,5202101,0,10873431,0,5053424,2007439526
"United.Arab.Emirates",44785808,30548603,3026148,294223510,13559724,16226668,55647603,1530216,15181417,59352395,10166359,52364896,22410108,138150483,10801302,316966,4123116,0,213986178,10502738,502245129
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",1230808388,5678108580,31604398,3155388660,15552852,839153318,242951585,193286653,200401659,116209564,1028867078,636103637,21350416,2169680925,275698021,202088186,1732316302,16605170,2579829335,0,26677135079
"Other",27922518406,97979297832,1524864391,24804903937,3479961743,6317121924,5070031712,1208853148,14431763455,5184328280,7863071227,4761739868,17503233606,5538323124,2971009243,4507948921,8839476428,14910830128,10043831382,3424648635,153386856275
