"Country","USA","China","Germany","Japan","France","UK","Italy","Korea","Netherlands","Canada","Belgium","Mexico","Russia","India","Spain","Singapore","Switzerland","Malaysia","Australia","Brazil","Other"
"USA",0,364923936049,82439089083,120551956421,38336913088,49764315182,28508140086,48875026025,19048980631,276524826719,15532966122,229980863747,25689087871,29532772116,8553370032,17427400485,19276370957,25900917092,8503856096,23957863716,437192943432
"China",102734184535,0,74251272075,176736084144,17116565094,11305193076,14006239062,138339223044,6479120129,14921961381,7839464848,6875187863,25913993644,20846313421,6236378004,24728920282,17108295862,50430149705,61105168266,38099447351,337708232753
"Germany",59593627921,101377132938,0,29232371036,81673853210,50601466823,57673922201,14708967489,83427398877,5319736409,44161405803,4868889021,31369295586,8202100380,29485767832,6313890573,43552071971,7520076740,2749624864,12461709874,347366070048
"Japan",69114692547,153203233772,19291528323,0,10300605348,6387969488,6795696661,28600524054,3970288033,10942480661,2348200660,3479874025,16128248211,5698041776,2617823521,8169189178,6804799898,22700683647,45096684247,9817179279,236224500545
"France",35234555671,48872681511,103433887940,11719338237,0,25974017417,44962056644,4189881555,25188400874,3345697503,46993292375,1217568123,16136083044,5470427040,37184798158,4070017388,14600135470,2546184664,1684505657,4884501480,146580797010
"United.Kingdom",56611555485,61733671527,76551720189,16463605711,37227452313,0,22186427799,4507474612,42288747451,19081710124,26543791560,2330511168,9404716734,9415861701,15785021285,4628614896,13102133831,3214627190,7012472802,6464489380,171387957672
"Italy",14723616425,38133067293,78066504968,5681875533,42501051069,13231409526,0,3957876869,26425786928,1983137675,17682503695,822369731,19383140452,5062424404,22152936117,306560066,13539906227,1099037112,1116896721,4384219739,171427369076
"Rep..of.Korea",40588437883,71573124941,14304294507,64295813008,4289205024,3265434855,3723303831,0,4189284469,4350863363,1154766061,1521026127,9899447745,5674455876,955129993,7849428906,2011408151,9530963975,20454635393,4712085317,134866384048
"Netherlands",31511860734,40899877051,68152833736,12072320537,16881792562,27034127916,7778680006,2505745682,0,2202975861,36986974817,2096345586,18589734261,4314037484,8439452518,3239633026,2779446700,7333053278,711595858,5819304916,103399274344
"Canada",197547488643,43240159893,10961191122,13054186896,5277690738,10405155139,4528335158,5970679091,1620653193,0,1669885852,21465147374,1596041315,2062031074,1421803622,1104653316,2860055027,2225107286,1572237782,3197836489,52170423464
"Belgium",22632279944,16750297632,62838639875,9220756485,43135054073,21870916107,11811822705,2196205807,72764479364,2158352567,0,1457077126,8216431045,4880815732,8151315077,3843715974,3855254951,748258640,1323094436,2877009154,88534628446
"Mexico",145450398186,45607547925,11076773079,15014690580,3033219268,2004959141,3996919611,12730677322,2810777833,8607441640,780367266,0,854729367,1797065476,3232306313,1456453247,1480091033,5276224897,770322654,4327470261,24972271348
"Russian.Federation",9833583089,38960930035,26601382393,10259743285,8206799869,4567404702,10024387992,7281531772,4438054990,1212589266,3264755277,479469913,0,2143334813,3040630832,331879440,2426513098,1342982694,768518391,4067239398,83726146896
"India",19096286951,41249115782,11444687266,8265086223,3820409232,5166816838,4305811248,9922318152,2022700406,2065959346,7445630022,983249813,3591553188,0,1429765153,7263136242,22197741286,5995904364,12061235449,3220988260,164478516765
"Spain",12572256378,25005965738,37029706542,4601202752,33872078107,14298001734,22126564878,2186156333,14178986642,1249440558,7933378797,3893957699,8118599571,3349148267,0,547972698,3576344032,798948028,859853635,3898170161,109465486099
"Singapore",35618975919,33665594497,8903576525,24425409503,7442243590,5583320309,2812640250,18002111149,5345884648,1052805173,936799325,1272756512,3353313723,9227885318,640670282,0,4539185072,36342484743,3459198279,1292227297,83594936119
"Switzerland",9448429232,5848179345,56285670947,3537323244,14992673818,6842668128,17969457749,422394046,7988234902,908940179,4926763398,474061668,1000165955,969537708,4724402669,831063053,0,332587350,307795578,816203491,35243086648
"Malaysia",17551424502,20679866299,6643038970,20704520364,1950104165,1816582188,1415704582,8891364866,1057765550,891544719,624477141,269117143,410145044,2483597009,321727366,18731504735,1048182068,0,3175401777,1212409048,42349062261
"Australia",22311757204,37462209904,9924268422,17063972938,3615023022,5512979570,4622446905,6586650810,1257348343,1726486876,1470772517,1370050597,347812645,1899336846,1570994965,9508102338,2063901504,8375139072,0,780769563,47821005280
"Brazil",27200503124,25535684189,11750508707,6970198467,4778490229,3150808600,4820286062,8417970396,1766136016,2710411010,1503952581,3816138235,1910422671,4234158696,2760426696,848073488,2862194712,1748505692,1352975173,0,57526161277
"Other",253518846187,357977660562,386959545290,157086914529,127391728848,104587689245,140842018970,102108144398,84810290160,23506834639,62853958940,23926147621,181056351315,84625265361,76867134723,60367056692,53012708381,48773983523,32533340922,72059507884,1046812616562
